NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTGS1	PTGS1	852	0.07673104107379913	0.049829636	No	
row_1	PTGER2	PTGER2	1017	0.06988081336021423	0.12578766	No	
row_2	ALOX5AP	ALOX5AP	1973	0.0464399978518486	0.13399321	No	
row_3	TBXAS1	TBXAS1	2313	0.04114696756005287	0.1666047	No	
row_4	TBXA2R	TBXA2R	7102	0.010168865323066711	-0.060394127	No	
row_5	PTGS2	PTGS2	8193	0.00697507755830884	-0.10645912	No	
row_6	EPHX1	EPHX1	8408	0.006385812535881996	-0.109462164	No	
row_7	CYSLTR2	CYSLTR2	8412	0.006377545651048422	-0.10193203	No	
row_8	PTGFR	PTGFR	11556	0.0	-0.25897995	No	
row_9	PTGER1	PTGER1	12000	-1.179832688649185E-4	-0.2809735	No	
row_10	CYP2J2	CYP2J2	12575	-5.019110394641757E-4	-0.3090504	No	
row_11	PTGES	PTGES	12615	-5.263880593702197E-4	-0.31036526	No	
row_12	PLCB1	PLCB1	13525	-0.0019306642934679985	-0.35346076	No	
row_13	PTGIR	PTGIR	14384	-0.004074272233992815	-0.39142653	No	
row_14	EPHX2	EPHX2	17790	-0.021937280893325806	-0.5351484	Yes	
row_15	PTGIS	PTGIS	18145	-0.02631950005888939	-0.5211421	Yes	
row_16	PLA2G4A	PLA2G4A	18740	-0.038530196994543076	-0.5044235	Yes	
row_17	PTGER4	PTGER4	18819	-0.040605321526527405	-0.45942277	Yes	
row_18	HPGDS	HPGDS	19010	-0.046936433762311935	-0.41239426	Yes	
row_19	ALOX5	ALOX5	19534	-0.07936844229698181	-0.34294924	Yes	
row_20	CYSLTR1	CYSLTR1	19814	-0.12722596526145935	-0.20368063	Yes	
row_21	PTGER3	PTGER3	19926	-0.17822445929050446	0.0053965338	Yes	
