NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS6KA1	RPS6KA1	122	0.17028960585594177	0.17964728	Yes	
row_1	PRKCB	PRKCB	139	0.1644749641418457	0.3582493	Yes	
row_2	PTPN6	PTPN6	524	0.09792471677064896	0.44587156	Yes	
row_3	PIK3CG	PIK3CG	1314	0.06014538183808327	0.472047	Yes	
row_4	MAPK1	MAPK1	1577	0.05367860198020935	0.51750433	Yes	
row_5	RAF1	RAF1	2098	0.04443180188536644	0.53998274	Yes	
row_6	SRF	SRF	3611	0.027883771806955338	0.49483863	No	
row_7	SHC1	SHC1	3681	0.027349811047315598	0.5212224	No	
row_8	PRKCA	PRKCA	5100	0.01803465001285076	0.47003272	No	
row_9	PIK3CA	PIK3CA	5341	0.01680484414100647	0.47636926	No	
row_10	STAT5B	STAT5B	6124	0.013509848155081272	0.45202667	No	
row_11	MAP2K1	MAP2K1	6377	0.01260243821889162	0.45317975	No	
row_12	STAT5A	STAT5A	7199	0.009791823104023933	0.4228328	No	
row_13	PIK3R1	PIK3R1	9034	0.004662676248699427	0.33626902	No	
row_14	JAK2	JAK2	10533	0.0011945629958063364	0.26271316	No	
row_15	PLCG1	PLCG1	11248	2.2911684936843812E-4	0.22728269	No	
row_16	IRS1	IRS1	11881	0.0	0.19570006	No	
row_17	HNF1A	HNF1A	12452	-4.251853097230196E-4	0.1676795	No	
row_18	HRAS	HRAS	13015	-9.398608235642314E-4	0.14062011	No	
row_19	INSR	INSR	14300	-0.0038736306596547365	0.08068058	No	
row_20	SOS1	SOS1	14666	-0.00495092524215579	0.067840844	No	
row_21	MAPK3	MAPK3	17666	-0.020693304017186165	-0.059455436	No	
row_22	SOCS1	SOCS1	18702	-0.03735952079296112	-0.07042697	No	
row_23	GRB2	GRB2	19809	-0.12554669380187988	0.011243877	No	
