NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3CG	PIK3CG	1314	0.06014538183808327	0.03725273	No	
row_1	RAF1	RAF1	2098	0.04443180188536644	0.074151	No	
row_2	SRF	SRF	3611	0.027883771806955338	0.04631436	No	
row_3	SHC1	SHC1	3681	0.027349811047315598	0.08966008	No	
row_4	CSNK2A1	CSNK2A1	4259	0.022986799478530884	0.10016011	No	
row_5	ELK1	ELK1	4864	0.019294017925858498	0.102993116	No	
row_6	PIK3CA	PIK3CA	5341	0.01680484414100647	0.10796257	No	
row_7	MAPK8	MAPK8	6063	0.013799975626170635	0.09555014	No	
row_8	MAP2K1	MAP2K1	6377	0.01260243821889162	0.10147354	No	
row_9	PIK3R1	PIK3R1	9034	0.004662676248699427	-0.023249498	No	
row_10	IRS1	IRS1	11881	0.0	-0.16544285	No	
row_11	HRAS	HRAS	13015	-9.398608235642314E-4	-0.22044237	No	
row_12	INSR	INSR	14300	-0.0038736306596547365	-0.27796683	No	
row_13	SOS1	SOS1	14666	-0.00495092524215579	-0.28773254	No	
row_14	RASA1	RASA1	15383	-0.007338883355259895	-0.31094953	No	
row_15	PTPN11	PTPN11	15514	-0.007866548374295235	-0.3039857	No	
row_16	MAPK3	MAPK3	17666	-0.020693304017186165	-0.37605062	Yes	
row_17	FOS	FOS	19362	-0.06389082968235016	-0.3514255	Yes	
row_18	JUN	JUN	19680	-0.0994211733341217	-0.19716267	Yes	
row_19	GRB2	GRB2	19809	-0.12554669380187988	0.011241544	Yes	
