NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VDR	VDR	425	0.10709214955568314	0.11517326	No	
row_1	PPARA	PPARA	2146	0.04370990768074989	0.08489336	No	
row_2	PPARD	PPARD	2434	0.03969496488571167	0.12111348	No	
row_3	ABCD3	ABCD3	4293	0.02280079945921898	0.05730328	No	
row_4	ABCB4	ABCB4	5336	0.01682460494339466	0.026660286	No	
row_5	CYP27B1	CYP27B1	5628	0.01562421303242445	0.032019485	No	
row_6	ABCC3	ABCC3	5635	0.015591420233249664	0.05157979	No	
row_7	ABCC2	ABCC2	7015	0.010406296700239182	-0.004080344	No	
row_8	RARG	RARG	10173	0.0019634233321994543	-0.15935047	No	
row_9	CYP2C9	CYP2C9	11475	0.0	-0.22436796	No	
row_10	CYP26A1	CYP26A1	11706	0.0	-0.23586223	No	
row_11	CYP24A1	CYP24A1	11811	0.0	-0.24105962	No	
row_12	CYP2B6	CYP2B6	12046	-1.50041509186849E-4	-0.25256264	No	
row_13	RARB	RARB	12236	-2.649651141837239E-4	-0.2616704	No	
row_14	ABCD2	ABCD2	12303	-3.174011071678251E-4	-0.26456448	No	
row_15	CYP2E1	CYP2E1	14780	-0.005265342071652412	-0.38159567	No	
row_16	CYP4B1	CYP4B1	14982	-0.0059096794575452805	-0.38411298	No	
row_17	NR1I2	NR1I2	15537	-0.007942276075482368	-0.40168238	No	
row_18	ABCB1	ABCB1	15905	-0.009488191455602646	-0.40793726	No	
row_19	NR1I3	NR1I3	16758	-0.01372916717082262	-0.43302792	No	
row_20	NR1H3	NR1H3	17841	-0.022509120404720306	-0.45842907	Yes	
row_21	RARA	RARA	18958	-0.045425672084093094	-0.45633852	Yes	
row_22	ABCA1	ABCA1	19121	-0.05159619450569153	-0.3987119	Yes	
row_23	PPARG	PPARG	19834	-0.13245059549808502	-0.2655802	Yes	
row_24	ABCG1	ABCG1	19965	-0.21630392968654633	0.0034482596	Yes	
