NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	CDKN1A	17	0.3186032176017761	0.26886177	Yes	
row_1	MDM2	MDM2	45	0.23169496655464172	0.46365255	Yes	
row_2	GADD45A	GADD45A	168	0.150201216340065	0.58470994	Yes	
row_3	PCNA	PCNA	347	0.11713479459285736	0.6749779	Yes	
row_4	BCL2	BCL2	1065	0.06800078600645065	0.69672745	Yes	
row_5	TP53	TP53	1232	0.06268330663442612	0.74149936	Yes	
row_6	BAX	BAX	1442	0.05700637772679329	0.77931756	Yes	
row_7	TIMP3	TIMP3	1741	0.050483886152505875	0.8071684	Yes	
row_8	RB1	RB1	2081	0.04474346339702606	0.82811177	Yes	
row_9	CDK4	CDK4	3909	0.025648266077041626	0.7585608	No	
row_10	CCNE1	CCNE1	6935	0.010645984672009945	0.6164666	No	
row_11	ATM	ATM	7035	0.010347376577556133	0.6202808	No	
row_12	CDK2	CDK2	13674	-0.0022811151575297117	0.29062685	No	
row_13	E2F1	E2F1	14954	-0.005858052056282759	0.23169664	No	
row_14	APAF1	APAF1	16501	-0.012295643799006939	0.16487879	No	
row_15	CCND1	CCND1	16748	-0.013648014515638351	0.16414407	No	
