NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IKBKB	IKBKB	1732	0.05065363273024559	0.014159385	No	
row_1	CHUK	CHUK	2463	0.03924860432744026	0.055701505	No	
row_2	EP300	EP300	3017	0.03331123664975166	0.09428441	No	
row_3	NFKB1	NFKB1	4300	0.02277430146932602	0.07551182	No	
row_4	TRAF6	TRAF6	4924	0.01895703561604023	0.08206959	No	
row_5	TNF	TNF	6434	0.012368878349661827	0.031277813	No	
row_6	RELA	RELA	8343	0.006541811861097813	-0.051025186	No	
row_7	FADD	FADD	15560	-0.00802321545779705	-0.3955188	No	
row_8	CREBBP	CREBBP	15635	-0.008393557742238045	-0.3825331	No	
row_9	TNFRSF1B	TNFRSF1B	15833	-0.009217347018420696	-0.374054	No	
row_10	IKBKG	IKBKG	16435	-0.011971382424235344	-0.38028115	No	
row_11	TNFRSF1A	TNFRSF1A	17980	-0.02412724308669567	-0.40945172	Yes	
row_12	RIPK1	RIPK1	19160	-0.05347318947315216	-0.36206615	Yes	
row_13	TRADD	TRADD	19592	-0.08516377955675125	-0.21433365	Yes	
row_14	NFKBIA	NFKBIA	19782	-0.1189255639910698	0.012587463	Yes	
