NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYC	MYC	477	0.10149788111448288	0.12739475	Yes	
row_1	PPP2CA	PPP2CA	714	0.08421657234430313	0.24108297	Yes	
row_2	CTBP1	CTBP1	1195	0.06397711485624313	0.3124228	Yes	
row_3	CTNNB1	CTNNB1	1408	0.057826779782772064	0.38799015	Yes	
row_4	MAP3K7	MAP3K7	1839	0.04876098036766052	0.4391567	Yes	
row_5	NLK	NLK	2274	0.041667625308036804	0.4795545	Yes	
row_6	PPARD	PPARD	2434	0.03969496488571167	0.53075415	Yes	
row_7	GSK3B	GSK3B	2458	0.03930241987109184	0.5881645	Yes	
row_8	FZD1	FZD1	3000	0.033515166491270065	0.61106884	Yes	
row_9	SMAD4	SMAD4	3669	0.027467595413327217	0.6186165	Yes	
row_10	FRAT1	FRAT1	3761	0.02676449902355671	0.6539479	Yes	
row_11	CSNK2A1	CSNK2A1	4259	0.022986799478530884	0.6633638	Yes	
row_12	BTRC	BTRC	8718	0.0055261156521737576	0.44884238	No	
row_13	AXIN1	AXIN1	9780	0.0028833304531872272	0.4001229	No	
row_14	HNF1A	HNF1A	12452	-4.251853097230196E-4	0.26729318	No	
row_15	APC	APC	14439	-0.0042244745418429375	0.17435203	No	
row_16	DVL1	DVL1	15117	-0.0063576302491128445	0.14999673	No	
row_17	CREBBP	CREBBP	15635	-0.008393557742238045	0.13666971	No	
row_18	TAB1	TAB1	16432	-0.011966276913881302	0.114725	No	
row_19	HDAC1	HDAC1	16647	-0.013026832602918148	0.12344161	No	
row_20	CCND1	CCND1	16748	-0.013648014515638351	0.13878004	No	
row_21	TLE1	TLE1	17270	-0.017022574320435524	0.13811016	No	
