NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFE2L2	NFE2L2	170	0.14941610395908356	0.046462722	Yes	
row_1	INSIG1	INSIG1	178	0.14690008759498596	0.10015634	Yes	
row_2	CALR	CALR	198	0.14295247197151184	0.15179716	Yes	
row_3	HSP90B1	HSP90B1	303	0.12228740006685257	0.191582	Yes	
row_4	HERPUD1	HERPUD1	359	0.11583947390317917	0.23144662	Yes	
row_5	HSPA5	HSPA5	396	0.11119506508111954	0.27055335	Yes	
row_6	ATF3	ATF3	424	0.1071043387055397	0.3086055	Yes	
row_7	TMEM33	TMEM33	457	0.1032482460141182	0.34498876	Yes	
row_8	ATP2A2	ATP2A2	473	0.10180622339248657	0.38169223	Yes	
row_9	CXCL8	CXCL8	528	0.09743163734674454	0.41483474	Yes	
row_10	DDIT3	DDIT3	532	0.09702527523040771	0.4503798	Yes	
row_11	TMED2	TMED2	573	0.0935833752155304	0.4828071	Yes	
row_12	XBP1	XBP1	654	0.08733726292848587	0.5109349	Yes	
row_13	ATF4	ATF4	698	0.0851021483540535	0.5400919	Yes	
row_14	SREBF2	SREBF2	884	0.07499270141124725	0.55842394	Yes	
row_15	EIF2A	EIF2A	910	0.0739382728934288	0.5843745	Yes	
row_16	CCL2	CCL2	972	0.07150837033987045	0.6076297	Yes	
row_17	TP53	TP53	1232	0.06268330663442612	0.61773026	Yes	
row_18	TMCO1	TMCO1	1811	0.049147091805934906	0.6068881	Yes	
row_19	SELENOS	SELENOS	2021	0.04567234218120575	0.6132324	Yes	
row_20	ASNS	ASNS	2095	0.044492967426776886	0.62594825	Yes	
row_21	ATF6	ATF6	2152	0.043565358966588974	0.6391735	Yes	
row_22	GSK3B	GSK3B	2458	0.03930241987109184	0.63837045	Yes	
row_23	ATF6B	ATF6B	2772	0.03578764200210571	0.63587403	Yes	
row_24	PPP1R15B	PPP1R15B	2876	0.03477124869823456	0.6435121	Yes	
row_25	PTPN2	PTPN2	3089	0.03266622871160507	0.64492136	Yes	
row_26	EIF2S1	EIF2S1	3242	0.031101904809474945	0.6487576	Yes	
row_27	INSIG2	INSIG2	3389	0.029828129336237907	0.65242535	Yes	
row_28	ATG10	ATG10	3518	0.028746433556079865	0.6565959	Yes	
row_29	MBTPS2	MBTPS2	3718	0.027096068486571312	0.6566065	Yes	
row_30	NCK1	NCK1	3924	0.02553591877222061	0.6557428	No	
row_31	MBTPS1	MBTPS1	4761	0.01996654085814953	0.621255	No	
row_32	EIF2AK3	EIF2AK3	4918	0.01898251473903656	0.6204323	No	
row_33	FBXW7	FBXW7	5867	0.014682537876069546	0.57839596	No	
row_34	SREBF1	SREBF1	6754	0.011315570212900639	0.53822345	No	
row_35	ABCA7	ABCA7	7769	0.00808720663189888	0.49045813	No	
row_36	CCDC47	CCDC47	9437	0.0036830680910497904	0.40839636	No	
row_37	NCK2	NCK2	10335	0.0015984486090019345	0.36409852	No	
row_38	AGR2	AGR2	12828	-6.942457985132933E-4	0.23965418	No	
row_39	BCL2L11	BCL2L11	13174	-0.0012129341484978795	0.2228366	No	
row_40	PTPN1	PTPN1	14063	-0.0032492633908987045	0.17959644	No	
row_41	AMFR	AMFR	14796	-0.005316300317645073	0.14492299	No	
row_42	PPP1R15A	PPP1R15A	16323	-0.011424936354160309	0.07276508	No	
row_43	LPCAT3	LPCAT3	17545	-0.019337797537446022	0.018780492	No	
row_44	WFS1	WFS1	17878	-0.022800488397479057	0.010555401	No	
row_45	ERLIN2	ERLIN2	18566	-0.03365105763077736	-0.011442024	No	
row_46	ARHGEF10L	ARHGEF10L	18781	-0.039489101618528366	-0.0076227244	No	
row_47	SCAP	SCAP	18885	-0.04292553290724754	0.0030152672	No	
row_48	BOK	BOK	19059	-0.04900524020195007	0.012387155	No	
row_49	ZBTB7B	ZBTB7B	19060	-0.04900749400258064	0.030416796	No	
row_50	ERLIN1	ERLIN1	19075	-0.049666877835989	0.04798846	No	
