NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0D2	ATP6V0D2	7	0.37964504957199097	0.11621759	Yes	
row_1	ATP6V1B2	ATP6V1B2	62	0.2108687311410904	0.17826249	Yes	
row_2	ATP6V1F	ATP6V1F	72	0.20626983046531677	0.24114622	Yes	
row_3	SLAMF8	SLAMF8	85	0.19058187305927277	0.299063	Yes	
row_4	ATP6V1A	ATP6V1A	126	0.16942203044891357	0.3490822	Yes	
row_5	RAB20	RAB20	180	0.14636936783790588	0.39137298	Yes	
row_6	ATP6V0A1	ATP6V0A1	194	0.14358629286289215	0.43481004	Yes	
row_7	RAB32	RAB32	199	0.14268288016319275	0.47841987	Yes	
row_8	MREG	MREG	250	0.13238908350467682	0.5165681	Yes	
row_9	TCIRG1	TCIRG1	251	0.13200296461582184	0.55709887	Yes	
row_10	ATP6V1G1	ATP6V1G1	269	0.1278584599494934	0.59550667	Yes	
row_11	SRPX	SRPX	522	0.09813445061445236	0.61303324	Yes	
row_12	ATP6V1H	ATP6V1H	551	0.09542562067508698	0.64093256	Yes	
row_13	ATP6V1C1	ATP6V1C1	590	0.09251618385314941	0.6674383	Yes	
row_14	ATP6V1D	ATP6V1D	600	0.09169469773769379	0.69514245	Yes	
row_15	ATP6V0B	ATP6V0B	610	0.09068027883768082	0.7225351	Yes	
row_16	RAB7A	RAB7A	732	0.08322426676750183	0.74203616	Yes	
row_17	MCOLN1	MCOLN1	833	0.07791392505168915	0.7609572	Yes	
row_18	ATP6V0D1	ATP6V0D1	860	0.07638057321310043	0.7831089	Yes	
row_19	RAB31	RAB31	877	0.0752972960472107	0.80542815	Yes	
row_20	CORO1A	CORO1A	1003	0.07026208937168121	0.82074916	Yes	
row_21	ATP6V1E1	ATP6V1E1	1204	0.06354712694883347	0.83025694	Yes	
row_22	ATP6V0A2	ATP6V0A2	1749	0.05022911727428436	0.81846863	No	
row_23	PIKFYVE	PIKFYVE	4772	0.01990102045238018	0.67341864	No	
row_24	SPG11	SPG11	5400	0.016517722979187965	0.64712775	No	
row_25	MYO7A	MYO7A	6289	0.0128896189853549	0.60666764	No	
row_26	RAB14	RAB14	6369	0.012617533095180988	0.6065902	No	
row_27	CLN3	CLN3	6534	0.012051654979586601	0.6020873	No	
row_28	ATP6V1G2	ATP6V1G2	7180	0.00985792838037014	0.57285124	No	
row_29	ATP6V0C	ATP6V0C	7359	0.009264180436730385	0.5667922	No	
row_30	ATP6V1C2	ATP6V1C2	8243	0.006842290051281452	0.5247254	No	
row_31	RAB38	RAB38	10037	0.002303785178810358	0.4357469	No	
row_32	ATP6V1B1	ATP6V1B1	12244	-2.715465670917183E-4	0.32548612	No	
row_33	ATP6V1E2	ATP6V1E2	14161	-0.003567479085177183	0.23074317	No	
row_34	TMEM175	TMEM175	14338	-0.003963252529501915	0.22315654	No	
row_35	ATP6V0A4	ATP6V0A4	14616	-0.00481041194871068	0.21077801	No	
row_36	RAB7B	RAB7B	15302	-0.00702129490673542	0.17867015	No	
row_37	RAB43	RAB43	15439	-0.0075471107847988605	0.17418472	No	
row_38	RAB39A	RAB39A	16546	-0.012455242685973644	0.12268691	No	
row_39	SYT11	SYT11	16887	-0.014480475336313248	0.11012625	No	
row_40	ATP6V0E1	ATP6V0E1	18575	-0.033919624984264374	0.03615731	No	
row_41	ATP6V0E2	ATP6V0E2	18945	-0.044938813894987106	0.03149812	No	
row_42	RAB34	RAB34	19478	-0.07465946674346924	0.027811214	No	
