NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICOSLG	ICOSLG	2786	0.0357048474252224	-0.109929964	No	
row_1	CD24	CD24	3217	0.031373389065265656	-0.10569852	No	
row_2	TNFSF9	TNFSF9	3760	0.026765046641230583	-0.11084012	No	
row_3	STAT5B	STAT5B	6124	0.013509848155081272	-0.21782817	No	
row_4	IL27RA	IL27RA	6130	0.013499630615115166	-0.20701294	No	
row_5	IL23R	IL23R	6716	0.01144547387957573	-0.22685969	No	
row_6	GPAM	GPAM	9794	0.0028546254616230726	-0.3782546	No	
row_7	IL23A	IL23A	9862	0.0026843282394111156	-0.37940183	No	
row_8	HHLA2	HHLA2	11277	2.073554933303967E-4	-0.4498789	No	
row_9	IL12RB1	IL12RB1	13882	-0.00278087449260056	-0.577702	No	
row_10	AGER	AGER	14536	-0.004569611046463251	-0.606582	No	
row_11	IL18	IL18	14721	-0.0051079136319458485	-0.61158836	No	
row_12	TMIGD2	TMIGD2	15374	-0.0073082405142486095	-0.6381737	No	
row_13	FADD	FADD	15560	-0.00802321545779705	-0.64084053	No	
row_14	HMGB1	HMGB1	17361	-0.017612777650356293	-0.71633667	No	
row_15	IL2RA	IL2RA	17659	-0.020617567002773285	-0.71427625	No	
row_16	RPS3	RPS3	19350	-0.06305650621652603	-0.7470284	Yes	
row_17	PYCARD	PYCARD	19943	-0.19116133451461792	-0.61991996	Yes	
row_18	IGF1	IGF1	19999	-0.26710307598114014	-0.4037357	Yes	
row_19	IGFBP2	IGFBP2	20030	-0.4946407079696655	1.998469E-4	Yes	
