NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PHIP	PHIP	3787	0.026584820821881294	-0.16176295	No	
row_1	TRIM72	TRIM72	6059	0.013813236728310585	-0.26096383	No	
row_2	IGFBP6	IGFBP6	8371	0.00646910909563303	-0.36973143	No	
row_3	ZFAND2B	ZFAND2B	10117	0.0020905346609652042	-0.45473978	No	
row_4	BMP2	BMP2	11379	1.0545402619754896E-4	-0.5176181	No	
row_5	IGFBP3	IGFBP3	12275	-2.9424193780869246E-4	-0.5620202	No	
row_6	GHRHR	GHRHR	12844	-7.060578791424632E-4	-0.58966416	No	
row_7	CDH3	CDH3	14480	-0.004336520563811064	-0.6668633	No	
row_8	IGFBP4	IGFBP4	14936	-0.005802116356790066	-0.68361104	No	
row_9	IGFBP5	IGFBP5	15619	-0.008312481455504894	-0.70911026	No	
row_10	MYORG	MYORG	16771	-0.013793845660984516	-0.75238705	No	
row_11	NKX3-1	NKX3-1	18170	-0.026650656014680862	-0.7947515	Yes	
row_12	AR	AR	19682	-0.09962102770805359	-0.7675582	Yes	
row_13	IGF1	IGF1	19999	-0.26710307598114014	-0.50807035	Yes	
row_14	IGFBP2	IGFBP2	20030	-0.4946407079696655	1.9980274E-4	Yes	
