NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGR	FGR	14	0.3331906497478485	0.20894402	Yes	
row_1	TDP2	TDP2	284	0.12567690014839172	0.27457273	Yes	
row_2	EEF2	EEF2	288	0.12483912706375122	0.35297167	Yes	
row_3	SQSTM1	SQSTM1	383	0.11290799826383591	0.41931444	Yes	
row_4	SFMBT2	SFMBT2	450	0.10412884503602982	0.48153308	Yes	
row_5	UBQLN1	UBQLN1	574	0.09357348084449768	0.5342608	Yes	
row_6	BAG3	BAG3	731	0.08324869722127914	0.5788425	Yes	
row_7	CARD14	CARD14	755	0.08199578523635864	0.6292846	Yes	
row_8	EDEM1	EDEM1	1637	0.05223318934440613	0.6181086	Yes	
row_9	PSEN1	PSEN1	2058	0.045176342129707336	0.62553775	Yes	
row_10	TRIM66	TRIM66	2139	0.04384259134531021	0.6491244	Yes	
row_11	DVL2	DVL2	2735	0.03621925041079521	0.64216954	Yes	
row_12	HSPA1B	HSPA1B	3105	0.03251143544912338	0.64417946	Yes	
row_13	STRADB	STRADB	3357	0.030109284445643425	0.6505767	Yes	
row_14	HDAC6	HDAC6	3419	0.02959355339407921	0.66614765	Yes	
row_15	EPS15	EPS15	3433	0.029475755989551544	0.68404394	Yes	
row_16	ZBTB14	ZBTB14	3755	0.026808962225914	0.68486536	Yes	
row_17	CABIN1	CABIN1	3972	0.02511221542954445	0.68986815	Yes	
row_18	KLF8	KLF8	4117	0.024087291210889816	0.6978254	Yes	
row_19	POLD1	POLD1	4239	0.02316843345761299	0.70635414	Yes	
row_20	ZDHHC17	ZDHHC17	4388	0.022227047011256218	0.71294093	Yes	
row_21	XRN2	XRN2	4493	0.021486395969986916	0.7212612	Yes	
row_22	RNF32	RNF32	6741	0.011359155178070068	0.6160809	No	
row_23	TRIM37	TRIM37	7030	0.010363285429775715	0.60820436	No	
row_24	RANGAP1	RANGAP1	8018	0.007411606144160032	0.5635276	No	
row_25	UBD	UBD	12352	-3.571159322746098E-4	0.34714562	No	
row_26	PRDM16	PRDM16	12558	-4.8529368359595537E-4	0.33720303	No	
row_27	URB2	URB2	16051	-0.010098278522491455	0.16899179	No	
row_28	HSPA1A	HSPA1A	16614	-0.012824487872421741	0.14896658	No	
row_29	PRKCQ	PRKCQ	17237	-0.01684555597603321	0.12847205	No	
row_30	PRKN	PRKN	17403	-0.017959272488951683	0.13152368	No	
