NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFT52	IFT52	2958	0.033822644501924515	-0.104892954	No	
row_1	CYLD	CYLD	3856	0.02605094574391842	-0.11658689	No	
row_2	ARMC9	ARMC9	4380	0.022261077538132668	-0.11439885	No	
row_3	ULK3	ULK3	4565	0.021073361858725548	-0.096765764	No	
row_4	HSPB11	HSPB11	5008	0.01852862536907196	-0.09527924	No	
row_5	GLI3	GLI3	5232	0.017434585839509964	-0.084231056	No	
row_6	WDR19	WDR19	5915	0.014458559453487396	-0.09993322	No	
row_7	DYNLL2	DYNLL2	6012	0.014013574458658695	-0.086888894	No	
row_8	DYNLL1	DYNLL1	7435	0.009040686301887035	-0.14650746	No	
row_9	IFT122	IFT122	7692	0.008298703469336033	-0.1487447	No	
row_10	SUFU	SUFU	8188	0.00698004849255085	-0.16461664	No	
row_11	DYNC2LI1	DYNC2LI1	8960	0.004869471769779921	-0.19698267	No	
row_12	DYNLRB2	DYNLRB2	9296	0.004054670687764883	-0.20857652	No	
row_13	GLI1	GLI1	9867	0.0026717574801295996	-0.23368683	No	
row_14	TTC21B	TTC21B	9968	0.0024444982409477234	-0.23557597	No	
row_15	GLI2	GLI2	11879	0.0	-0.33111897	No	
row_16	IFT20	IFT20	13349	-0.0015917738201096654	-0.4025749	No	
row_17	RP1	RP1	13359	-0.0016193445771932602	-0.40096283	No	
row_18	IFT81	IFT81	13953	-0.0029420165810734034	-0.4268795	No	
row_19	IFT80	IFT80	14197	-0.003649496240541339	-0.43438727	No	
row_20	CLUAP1	CLUAP1	15128	-0.006397476885467768	-0.47276092	No	
row_21	IFT172	IFT172	15378	-0.007322824560105801	-0.47589082	No	
row_22	TTC26	TTC26	15795	-0.009046153165400028	-0.48517975	Yes	
row_23	IFT88	IFT88	15978	-0.009794758632779121	-0.4818101	Yes	
row_24	KIF3C	KIF3C	15996	-0.009860235266387463	-0.47010332	Yes	
row_25	TRAF3IP1	TRAF3IP1	16066	-0.010198547504842281	-0.46056688	Yes	
row_26	DYNC2H1	DYNC2H1	16096	-0.01035382878035307	-0.44883177	Yes	
row_27	SPEF1	SPEF1	16242	-0.010974220931529999	-0.4421092	Yes	
row_28	SMO	SMO	16764	-0.013764750212430954	-0.45064133	Yes	
row_29	TTC30B	TTC30B	16788	-0.013868583366274834	-0.43413	Yes	
row_30	WDR35	WDR35	16931	-0.014809567481279373	-0.422373	Yes	
row_31	KIFAP3	KIFAP3	17168	-0.016370242461562157	-0.41333055	Yes	
row_32	IFT27	IFT27	17220	-0.016752198338508606	-0.39454755	Yes	
row_33	IFT46	IFT46	17330	-0.017398737370967865	-0.37784246	Yes	
row_34	IFT140	IFT140	17660	-0.020625924691557884	-0.36803246	Yes	
row_35	IFT22	IFT22	18316	-0.029334656894207	-0.36343908	Yes	
row_36	KIF3B	KIF3B	18447	-0.031708136200904846	-0.32956123	Yes	
row_37	KIF3A	KIF3A	18473	-0.0322079062461853	-0.28979456	Yes	
row_38	KIF7	KIF7	18560	-0.03354232758283615	-0.25137985	Yes	
row_39	CDKL5	CDKL5	18589	-0.03426181897521019	-0.20914756	Yes	
row_40	IFT74	IFT74	18652	-0.035985350608825684	-0.16642107	Yes	
row_41	DYNLRB1	DYNLRB1	18760	-0.039032138884067535	-0.12206549	Yes	
row_42	IFT43	IFT43	19365	-0.06418252736330032	-0.0705417	Yes	
row_43	IFT57	IFT57	19552	-0.08162970095872879	0.024110721	Yes	
