NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNIH1	CNIH1	207	0.14046891033649445	0.013698374	No	
row_1	ERGIC1	ERGIC1	501	0.09903952479362488	0.015984105	No	
row_2	HLA-DRB5	HLA-DRB5	533	0.09690603613853455	0.03103962	No	
row_3	TMED2	TMED2	573	0.0935833752155304	0.045124546	No	
row_4	USO1	USO1	653	0.0875265970826149	0.056165926	No	
row_5	HLA-DQA2	HLA-DQA2	771	0.08100058883428574	0.0641836	No	
row_6	TMED10	TMED10	819	0.07854164391756058	0.075289294	No	
row_7	SREBF2	SREBF2	884	0.07499270141124725	0.08493439	No	
row_8	TMED7	TMED7	1135	0.06576408445835114	0.08367252	No	
row_9	SEC23B	SEC23B	1385	0.05844554677605629	0.081206396	No	
row_10	TEX261	TEX261	1592	0.05337614566087723	0.08002719	No	
row_11	CNIH4	CNIH4	1901	0.04772399365901947	0.072765395	No	
row_12	TGFA	TGFA	1906	0.04767845198512077	0.08073695	No	
row_13	SEC22B	SEC22B	1972	0.04644004628062248	0.08543798	No	
row_14	IER3IP1	IER3IP1	1992	0.04621442034840584	0.09240657	No	
row_15	YIPF6	YIPF6	2063	0.045077577233314514	0.0966234	No	
row_16	CNIH3	CNIH3	2097	0.044463273137807846	0.10258994	No	
row_17	SEC24A	SEC24A	2129	0.043970994651317596	0.108572386	No	
row_18	SEC24B	SEC24B	2249	0.04204048216342926	0.10981202	No	
row_19	TMED5	TMED5	2320	0.04109446331858635	0.113346145	No	
row_20	SEC24D	SEC24D	2414	0.039965126663446426	0.11553358	No	
row_21	PDCD6	PDCD6	2601	0.03782457485795021	0.112691544	No	
row_22	KLHL12	KLHL12	2636	0.03752085939049721	0.11741803	No	
row_23	SEC23IP	SEC23IP	2687	0.036920215934515	0.12123939	No	
row_24	SAR1B	SAR1B	3024	0.0332472026348114	0.11009248	No	
row_25	VTI1A	VTI1A	3257	0.03092898055911064	0.103762306	No	
row_26	GOSR2	GOSR2	3418	0.029615193605422974	0.1008167	No	
row_27	SEC23A	SEC23A	3632	0.027707476168870926	0.094886936	No	
row_28	ERGIC3	ERGIC3	3931	0.025495199486613274	0.08431648	No	
row_29	VMA21	VMA21	4003	0.02492636628448963	0.08502925	No	
row_30	YIF1B	YIF1B	4330	0.022564487531781197	0.07255268	No	
row_31	SEC13	SEC13	4473	0.021626727655529976	0.06914028	No	
row_32	HLA-G	HLA-G	4608	0.020818214863538742	0.06599039	No	
row_33	F8	F8	4648	0.020566198974847794	0.06756016	No	
row_34	SAR1A	SAR1A	4687	0.02034297026693821	0.069141805	No	
row_35	YIPF5	YIPF5	5283	0.017164170742034912	0.042253204	No	
row_36	YIF1A	YIF1A	5553	0.01590745523571968	0.03149333	No	
row_37	AREG	AREG	5779	0.015007447451353073	0.022785151	No	
row_38	COL7A1	COL7A1	5936	0.014357348904013634	0.017424887	No	
row_39	SEC31A	SEC31A	5950	0.014308249577879906	0.019225564	No	
row_40	ERGIC2	ERGIC2	5964	0.01422145776450634	0.021011364	No	
row_41	PITPNM3	PITPNM3	6132	0.01349893119186163	0.014952477	No	
row_42	STX5	STX5	6140	0.013464236631989479	0.016909303	No	
row_43	CNIH2	CNIH2	6284	0.012911608442664146	0.011952997	No	
row_44	ECPAS	ECPAS	6294	0.012869907543063164	0.013707683	No	
row_45	SREBF1	SREBF1	6754	0.011315570212900639	-0.0073649585	No	
row_46	STX17	STX17	8667	0.005677482113242149	-0.10225065	No	
row_47	MCFD2	MCFD2	9119	0.004466107115149498	-0.124096215	No	
row_48	LMAN2L	LMAN2L	10192	0.0019264796283096075	-0.17751113	No	
row_49	LMAN1L	LMAN1L	10311	0.0016564081888645887	-0.18314318	No	
row_50	TMED6	TMED6	10454	0.0013475061859935522	-0.19003144	No	
row_51	TICAM2	TICAM2	13078	-0.0010218058014288545	-0.32136136	No	
row_52	SEC16B	SEC16B	13254	-0.0013941258657723665	-0.3298961	No	
row_53	SEC24C	SEC24C	14028	-0.003132440382614732	-0.36811385	No	
row_54	SEC31B	SEC31B	14148	-0.003532127710059285	-0.37347454	No	
row_55	DDHD2	DDHD2	14966	-0.005882850848138332	-0.41342682	No	
row_56	PEF1	PEF1	15950	-0.009694710373878479	-0.4610482	No	
row_57	SEC16A	SEC16A	18035	-0.024873852729797363	-0.5612669	No	
row_58	TMED1	TMED1	18275	-0.028371725231409073	-0.5683864	No	
row_59	GOLGA2	GOLGA2	18321	-0.029424292966723442	-0.5655991	No	
row_60	TMED4	TMED4	18619	-0.03530620411038399	-0.57443786	Yes	
row_61	APP	APP	18739	-0.03844207152724266	-0.573815	Yes	
row_62	HLA-DQB2	HLA-DQB2	18773	-0.03936317563056946	-0.56872255	Yes	
row_63	SCAP	SCAP	18885	-0.04292553290724754	-0.5669302	Yes	
row_64	VTI1B	VTI1B	18909	-0.04375651851296425	-0.5605834	Yes	
row_65	LMAN2	LMAN2	19130	-0.05200134590268135	-0.56270015	Yes	
row_66	PCSK9	PCSK9	19305	-0.06018159165978432	-0.5611085	Yes	
row_67	F5	F5	19325	-0.06142997369170189	-0.55153203	Yes	
row_68	TMED3	TMED3	19409	-0.06733108311891556	-0.5441527	Yes	
row_69	TMED9	TMED9	19482	-0.07489699125289917	-0.5349251	Yes	
row_70	LMAN1	LMAN1	19549	-0.0808425322175026	-0.5243776	Yes	
row_71	CD59	CD59	19601	-0.08644670248031616	-0.5121175	Yes	
row_72	HLA-DQB1	HLA-DQB1	19606	-0.08723927289247513	-0.49736524	Yes	
row_73	B2M	B2M	19728	-0.10798680037260056	-0.48492265	Yes	
row_74	HLA-DRA	HLA-DRA	19799	-0.12240268290042877	-0.4674523	Yes	
row_75	HLA-DPB1	HLA-DPB1	19805	-0.12495976686477661	-0.44628483	Yes	
row_76	CTSZ	CTSZ	19822	-0.1287347823381424	-0.42502186	Yes	
row_77	HLA-DPA1	HLA-DPA1	19824	-0.1297379434108734	-0.40283486	Yes	
