NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PABPC1	PABPC1	48	0.2258893996477127	0.087808006	Yes	
row_1	MCRIP2	MCRIP2	192	0.1436813771724701	0.13802643	Yes	
row_2	CELF1	CELF1	313	0.12128999829292297	0.1804546	Yes	
row_3	PABPC4	PABPC4	494	0.09953978657722473	0.21119109	Yes	
row_4	CSDE1	CSDE1	496	0.09940027445554733	0.25083798	Yes	
row_5	HNRNPK	HNRNPK	598	0.0918344110250473	0.28245434	Yes	
row_6	G3BP1	G3BP1	655	0.0872800201177597	0.31450588	Yes	
row_7	KPNB1	KPNB1	763	0.08140767365694046	0.3416576	Yes	
row_8	MBNL1	MBNL1	937	0.07305185496807098	0.36216637	Yes	
row_9	TARDBP	TARDBP	1410	0.057805437594652176	0.36160928	Yes	
row_10	LARP4B	LARP4B	1530	0.054780106991529465	0.3775258	Yes	
row_11	LARP4	LARP4	1624	0.052569679915905	0.39386192	Yes	
row_12	CTSG	CTSG	1702	0.05112653598189354	0.41042313	Yes	
row_13	ELAVL1	ELAVL1	1926	0.0473456084728241	0.4181612	Yes	
row_14	OGFOD1	OGFOD1	1928	0.04733128845691681	0.4370136	Yes	
row_15	PUM2	PUM2	2029	0.04553018510341644	0.45018774	Yes	
row_16	CIRBP	CIRBP	2131	0.04394356533885002	0.46267816	Yes	
row_17	TIA1	TIA1	2299	0.041391242295503616	0.47084332	Yes	
row_18	ATXN2L	ATXN2L	2460	0.03926314786076546	0.47850922	Yes	
row_19	EIF4E	EIF4E	2528	0.03857981786131859	0.49056062	Yes	
row_20	UBAP2L	UBAP2L	2737	0.0362091064453125	0.4946025	Yes	
row_21	G3BP2	G3BP2	2908	0.034382857382297516	0.49981847	Yes	
row_22	ZFAND1	ZFAND1	2941	0.03399580717086792	0.51179236	Yes	
row_23	RBM4	RBM4	3081	0.032722074538469315	0.51789784	Yes	
row_24	FMR1	FMR1	3097	0.03261469677090645	0.5301717	Yes	
row_25	CASC3	CASC3	3174	0.031748879700899124	0.5390442	Yes	
row_26	NUFIP2	NUFIP2	3182	0.031668707728385925	0.55134094	Yes	
row_27	EIF2S1	EIF2S1	3242	0.031101904809474945	0.56080663	Yes	
row_28	TIAL1	TIAL1	3292	0.030627256259322166	0.5705837	Yes	
row_29	NXF1	NXF1	3371	0.02997281774878502	0.5786468	Yes	
row_30	PQBP1	PQBP1	3668	0.027470480650663376	0.57479084	Yes	
row_31	RC3H2	RC3H2	4008	0.02486254833638668	0.5677395	Yes	
row_32	DDX1	DDX1	4083	0.024323130026459694	0.5737466	Yes	
row_33	LARP1	LARP1	4134	0.02395656332373619	0.58080953	Yes	
row_34	PUM1	PUM1	4206	0.023451684042811394	0.5866189	Yes	
row_35	PABPC1L	PABPC1L	4819	0.019575340673327446	0.56378144	No	
row_36	DDX19A	DDX19A	4913	0.01902891881763935	0.5667226	No	
row_37	MCRIP1	MCRIP1	5144	0.017841065302491188	0.5623269	No	
row_38	RPTOR	RPTOR	5537	0.015980593860149384	0.54907364	No	
row_39	RC3H1	RC3H1	5541	0.015964878723025322	0.5552992	No	
row_40	ATXN2	ATXN2	5573	0.01584998331964016	0.56007636	No	
row_41	HABP4	HABP4	5762	0.0150552773848176	0.5566719	No	
row_42	STAU1	STAU1	6129	0.013501872308552265	0.5437311	No	
row_43	DDX6	DDX6	6506	0.012149740010499954	0.5297494	No	
row_44	TRIM25	TRIM25	6843	0.01098662056028843	0.51730675	No	
row_45	CAPRIN1	CAPRIN1	7368	0.009229890070855618	0.4947456	No	
row_46	DDX3X	DDX3X	9549	0.0034331490751355886	0.38692015	No	
row_47	NANOS3	NANOS3	10750	7.953661843203008E-4	0.3271296	No	
row_48	LSM14A	LSM14A	11050	4.2268435936421156E-4	0.31232142	No	
row_49	GRB7	GRB7	11446	0.0	0.2925358	No	
row_50	RBFOX1	RBFOX1	12680	-5.808850401081145E-4	0.23100664	No	
row_51	LIN28A	LIN28A	12825	-6.905779591761529E-4	0.22406945	No	
row_52	MOV10	MOV10	13550	-0.0020062897820025682	0.18860541	No	
row_53	EIF4G1	EIF4G1	13728	-0.0023955947253853083	0.18069617	No	
row_54	DDX25	DDX25	13756	-0.0024609428364783525	0.18032655	No	
row_55	PRKAA2	PRKAA2	14402	-0.004111291375011206	0.1496603	No	
row_56	IGF2BP1	IGF2BP1	15924	-0.00955837033689022	0.077290446	No	
row_57	ROCK1	ROCK1	15990	-0.009838971309363842	0.077963926	No	
row_58	PABPC3	PABPC3	16106	-0.010381241329014301	0.07634946	No	
row_59	YBX1	YBX1	16319	-0.011399801820516586	0.070283026	No	
row_60	GIGYF2	GIGYF2	16558	-0.012513591907918453	0.06335906	No	
row_61	RBPMS	RBPMS	16630	-0.012930535711348057	0.06496666	No	
row_62	DHX36	DHX36	16674	-0.013179080560803413	0.06807605	No	
row_63	DDX19B	DDX19B	16772	-0.013805876486003399	0.06873089	No	
row_64	VCP	VCP	16879	-0.01445068884640932	0.06919243	No	
row_65	RNF135	RNF135	17592	-0.019966039806604385	0.041501977	No	
row_66	ENDOV	ENDOV	17956	-0.023818282410502434	0.032831434	No	
row_67	DYRK3	DYRK3	18235	-0.027686428278684616	0.029963363	No	
row_68	C9orf72	C9orf72	18971	-0.04573645070195198	0.011412633	No	
row_69	ZFP36	ZFP36	18985	-0.04610803723335266	0.029175399	No	
row_70	PRRC2C	PRRC2C	19262	-0.05839083343744278	0.038669772	No	
