NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HM13	HM13	105	0.1785287708044052	0.029751465	Yes	
row_1	HSD17B12	HSD17B12	153	0.15610481798648834	0.058016047	Yes	
row_2	RPN1	RPN1	176	0.14793004095554352	0.08593219	Yes	
row_3	INSIG1	INSIG1	178	0.14690008759498596	0.1147007	Yes	
row_4	ARL6IP1	ARL6IP1	179	0.1466151624917984	0.14346352	Yes	
row_5	CALR	CALR	198	0.14295247197151184	0.170604	Yes	
row_6	STT3B	STT3B	229	0.13549461960792542	0.19567889	Yes	
row_7	FKBP1A	FKBP1A	281	0.1264963150024414	0.21793406	Yes	
row_8	HSPA5	HSPA5	396	0.11119506508111954	0.23402417	Yes	
row_9	SPCS3	SPCS3	448	0.1042887419462204	0.25192267	Yes	
row_10	SEC61G	SEC61G	483	0.10008803755044937	0.26985067	Yes	
row_11	OSTC	OSTC	652	0.08756118267774582	0.2785929	Yes	
row_12	SPCS2	SPCS2	660	0.08677861094474792	0.2952656	Yes	
row_13	EMC3	EMC3	693	0.08528243750333786	0.3103895	Yes	
row_14	DNAJC10	DNAJC10	765	0.08124306052923203	0.3227627	Yes	
row_15	P4HB	P4HB	799	0.07941674441099167	0.33668563	Yes	
row_16	SREBF2	SREBF2	884	0.07499270141124725	0.34717992	Yes	
row_17	ATP5F1B	ATP5F1B	1062	0.06808681786060333	0.3516498	Yes	
row_18	HYOU1	HYOU1	1091	0.06727162003517151	0.36344117	Yes	
row_19	NPLOC4	NPLOC4	1095	0.06710464507341385	0.37645507	Yes	
row_20	PDIA6	PDIA6	1120	0.0661010816693306	0.38821766	Yes	
row_21	SEC61A1	SEC61A1	1188	0.06420226395130157	0.39744866	Yes	
row_22	MMGT1	MMGT1	1243	0.06238808110356331	0.40697652	Yes	
row_23	MAGT1	MAGT1	1250	0.062189746648073196	0.41887558	Yes	
row_24	DERL1	DERL1	1271	0.06152576208114624	0.42994142	Yes	
row_25	SPTSSA	SPTSSA	1297	0.06069202348589897	0.44059265	Yes	
row_26	ZW10	ZW10	1310	0.0603114478290081	0.45182195	Yes	
row_27	PRKCSH	PRKCSH	1316	0.06009957566857338	0.4633612	Yes	
row_28	ATP5F1D	ATP5F1D	1326	0.05978070944547653	0.474637	Yes	
row_29	RNF139	RNF139	1356	0.059035006910562515	0.48476234	Yes	
row_30	SRPRB	SRPRB	1414	0.05768340826034546	0.4932166	Yes	
row_31	STT3A	STT3A	1479	0.05608190968632698	0.5010052	Yes	
row_32	UBXN7	UBXN7	1533	0.05472937598824501	0.50908077	Yes	
row_33	SEC63	SEC63	1539	0.05450122058391571	0.5195217	Yes	
row_34	PIGP	PIGP	1628	0.05252636969089508	0.52540773	Yes	
row_35	TAPBP	TAPBP	1639	0.05217432603240013	0.5351411	Yes	
row_36	SEC11C	SEC11C	1865	0.048237111419439316	0.5333068	Yes	
row_37	SELENOS	SELENOS	2021	0.04567234218120575	0.5344841	Yes	
row_38	EMC2	EMC2	2034	0.04550144821405411	0.54280794	Yes	
row_39	PIGQ	PIGQ	2208	0.0425921268761158	0.5424772	Yes	
row_40	KRTCAP2	KRTCAP2	2243	0.04208650439977646	0.5490265	Yes	
row_41	SDF2L1	SDF2L1	2281	0.04160467907786369	0.55533063	Yes	
row_42	SPCS1	SPCS1	2295	0.04146888852119446	0.5628132	Yes	
row_43	PDIA3	PDIA3	2308	0.04124239832162857	0.5703016	Yes	
row_44	SPTLC1	SPTLC1	2388	0.04031630977988243	0.57424414	Yes	
row_45	PIGM	PIGM	2564	0.03822943568229675	0.57295704	Yes	
row_46	SSR4	SSR4	2675	0.037034958600997925	0.57469934	Yes	
row_47	ERN1	ERN1	2752	0.03595281392335892	0.57793653	Yes	
row_48	TAP1	TAP1	2864	0.034839432686567307	0.5791979	Yes	
row_49	EMC1	EMC1	3023	0.03325885534286499	0.57778925	Yes	
row_50	PIGS	PIGS	3101	0.03255712240934372	0.58031005	Yes	
row_51	ALG14	ALG14	3125	0.03228059038519859	0.58548796	Yes	
row_52	EMC7	EMC7	3147	0.031982455402612686	0.59070784	Yes	
row_53	INSIG2	INSIG2	3389	0.029828129336237907	0.58445865	No	
row_54	ORMDL1	ORMDL1	3394	0.029803084209561348	0.5901045	No	
row_55	PIGH	PIGH	3525	0.028660789132118225	0.5891998	No	
row_56	MAP3K5	MAP3K5	3687	0.027293670922517776	0.58647025	No	
row_57	SEC61B	SEC61B	3827	0.02623022347688675	0.5846368	No	
row_58	DERL2	DERL2	4289	0.022815555334091187	0.5659655	No	
row_59	PIGA	PIGA	4347	0.022475361824035645	0.5675127	No	
row_60	ATP5F1C	ATP5F1C	4376	0.02229498140513897	0.5704806	No	
row_61	RNF125	RNF125	4561	0.021090025082230568	0.5653792	No	
row_62	PIGU	PIGU	4562	0.02108878083527088	0.56951636	No	
row_63	TMEM258	TMEM258	4649	0.020564021542668343	0.56923246	No	
