NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LGMN	LGMN	79	0.1955254077911377	0.12485927	No	
row_1	CTSK	CTSK	894	0.074739970266819	0.13341254	No	
row_2	AP4E1	AP4E1	1615	0.052830059081315994	0.13223018	No	
row_3	AP4S1	AP4S1	2010	0.045836273580789566	0.14273396	No	
row_4	CTSS	CTSS	4111	0.024131150916218758	0.053672995	No	
row_5	IL12A	IL12A	7121	0.01009025052189827	-0.09006962	No	
row_6	SFTPB	SFTPB	7360	0.00925497803837061	-0.095867895	No	
row_7	AP4B1	AP4B1	8498	0.006155264563858509	-0.14864022	No	
row_8	PDLIM4	PDLIM4	8847	0.005149560514837503	-0.16264084	No	
row_9	NAPSA	NAPSA	8979	0.004805705510079861	-0.16602233	No	
row_10	LRP2	LRP2	9894	0.0025980297941714525	-0.20999254	No	
row_11	JAK2	JAK2	10533	0.0011945629958063364	-0.24109283	No	
row_12	PGA5	PGA5	10748	7.989101577550173E-4	-0.25126225	No	
row_13	PRLR	PRLR	10852	6.523917545564473E-4	-0.2559804	No	
row_14	PRF1	PRF1	12766	-6.490122177638113E-4	-0.3511646	No	
row_15	CTSB	CTSB	15501	-0.007809264585375786	-0.4826654	No	
row_16	SFTPC	SFTPC	15681	-0.008558576926589012	-0.48597363	No	
row_17	AP4M1	AP4M1	17396	-0.01791541464626789	-0.5598371	No	
row_18	PRL	PRL	17862	-0.022700920701026917	-0.5681229	Yes	
row_19	APOB	APOB	18149	-0.02636810578405857	-0.5650465	Yes	
row_20	CD63	CD63	18167	-0.026632342487573624	-0.5483514	Yes	
row_21	LNPEP	LNPEP	18521	-0.03302767872810364	-0.5442364	Yes	
row_22	APP	APP	18739	-0.03844207152724266	-0.5297573	Yes	
row_23	CTSL	CTSL	19611	-0.08790785819292068	-0.51537824	Yes	
row_24	B2M	B2M	19728	-0.10798680037260056	-0.45003664	Yes	
row_25	CTSH	CTSH	20012	-0.306517630815506	-0.26225412	Yes	
row_26	LRPAP1	LRPAP1	20022	-0.39968544244766235	5.9974514E-4	Yes	
