NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGR	FGR	14	0.3331906497478485	0.110893115	Yes	
row_1	SNCA	SNCA	160	0.15449385344982147	0.15537553	Yes	
row_2	TDP2	TDP2	284	0.12567690014839172	0.19130814	Yes	
row_3	EEF2	EEF2	288	0.12483912706375122	0.23296978	Yes	
row_4	HERPUD1	HERPUD1	359	0.11583947390317917	0.26826182	Yes	
row_5	SQSTM1	SQSTM1	383	0.11290799826383591	0.30492583	Yes	
row_6	SFMBT2	SFMBT2	450	0.10412884503602982	0.336496	Yes	
row_7	PRNP	PRNP	472	0.10180649161338806	0.36954194	Yes	
row_8	UBQLN1	UBQLN1	574	0.09357348084449768	0.39582407	Yes	
row_9	RANBP2	RANBP2	618	0.09008166939020157	0.42384133	Yes	
row_10	ATF4	ATF4	698	0.0851021483540535	0.44838792	Yes	
row_11	BAG3	BAG3	731	0.08324869722127914	0.47466752	Yes	
row_12	CARD14	CARD14	755	0.08199578523635864	0.5009782	Yes	
row_13	ATXN1	ATXN1	841	0.07752567529678345	0.5226868	Yes	
row_14	PICALM	PICALM	887	0.07490863651037216	0.545522	Yes	
row_15	PINK1	PINK1	1276	0.06138372793793678	0.54664993	Yes	
row_16	PABPN1	PABPN1	1430	0.057313088327646255	0.5581833	Yes	
row_17	FBXO7	FBXO7	1567	0.05387905240058899	0.5694179	Yes	
row_18	EDEM1	EDEM1	1637	0.05223318934440613	0.58345664	Yes	
row_19	CLU	CLU	1805	0.0492379330098629	0.5915843	Yes	
row_20	ATXN3	ATXN3	1867	0.048209626227617264	0.6046761	Yes	
row_21	PSEN1	PSEN1	2058	0.045176342129707336	0.6102916	Yes	
row_22	TRIM66	TRIM66	2139	0.04384259134531021	0.62096924	Yes	
row_23	HSP90AB1	HSP90AB1	2445	0.03955736756324768	0.6189436	Yes	
row_24	DVL2	DVL2	2735	0.03621925041079521	0.61660117	Yes	
row_25	ARIH1	ARIH1	2778	0.03575729578733444	0.6264739	Yes	
row_26	HSPA1B	HSPA1B	3105	0.03251143544912338	0.6210367	Yes	
row_27	STRADB	STRADB	3357	0.030109284445643425	0.61855096	Yes	
row_28	NXF1	NXF1	3371	0.02997281774878502	0.62793857	Yes	
row_29	HDAC6	HDAC6	3419	0.02959355339407921	0.6354965	Yes	
row_30	EPS15	EPS15	3433	0.029475755989551544	0.64471763	Yes	
row_31	KEAP1	KEAP1	3507	0.028832031413912773	0.6507184	Yes	
row_32	ZBTB14	ZBTB14	3755	0.026808962225914	0.6473276	Yes	
row_33	NUP153	NUP153	3848	0.02609836310148239	0.65146124	Yes	
row_34	CABIN1	CABIN1	3972	0.02511221542954445	0.65371215	Yes	
row_35	RAD18	RAD18	4076	0.02437604032456875	0.6567181	Yes	
row_36	KLF8	KLF8	4117	0.024087291210889816	0.6627823	Yes	
row_37	GYS1	GYS1	4149	0.023876000195741653	0.6692265	Yes	
row_38	POLD1	POLD1	4239	0.02316843345761299	0.6725291	Yes	
row_39	NUP98	NUP98	4265	0.022965123876929283	0.6789687	Yes	
row_40	ZDHHC17	ZDHHC17	4388	0.022227047011256218	0.6803034	Yes	
row_41	XRN2	XRN2	4493	0.021486395969986916	0.6822914	Yes	
row_42	BAG5	BAG5	4767	0.019935250282287598	0.67529637	No	
row_43	WDFY3	WDFY3	4812	0.019660474732518196	0.6796776	No	
row_44	NBN	NBN	5382	0.016604885458946228	0.65674347	No	
row_45	LRRK2	LRRK2	5440	0.01634998433291912	0.65936494	No	
row_46	PSMC4	PSMC4	6210	0.013202087953686714	0.625275	No	
row_47	RNF32	RNF32	6741	0.011359155178070068	0.60253704	No	
row_48	TRIM37	TRIM37	7030	0.010363285429775715	0.59158486	No	
row_49	RANGAP1	RANGAP1	8018	0.007411606144160032	0.54463816	No	
row_50	AGL	AGL	8845	0.005154850892722607	0.50499845	No	
row_51	MIOX	MIOX	9332	0.003950849641114473	0.48198274	No	
row_52	PSMC5	PSMC5	10888	6.12562638707459E-4	0.40431333	No	
row_53	HAP1	HAP1	11104	3.679596120491624E-4	0.39366934	No	
row_54	MT3	MT3	11607	0.0	0.3685291	No	
row_55	NEFH	NEFH	12319	-3.3179461024701595E-4	0.33303326	No	
row_56	UBD	UBD	12352	-3.571159322746098E-4	0.3315503	No	
row_57	PRDM16	PRDM16	12558	-4.8529368359595537E-4	0.32144642	No	
row_58	SLF1	SLF1	14750	-0.005191161297261715	0.2134595	No	
row_59	HTT	HTT	14862	-0.005539137404412031	0.20975581	No	
row_60	STUB1	STUB1	14976	-0.005895046051591635	0.20607115	No	
row_61	URB2	URB2	16051	-0.010098278522491455	0.15566728	No	
row_62	HSPA1A	HSPA1A	16614	-0.012824487872421741	0.1318175	No	
row_63	PRKCQ	PRKCQ	17237	-0.01684555597603321	0.106309675	No	
row_64	PRKN	PRKN	17403	-0.017959272488951683	0.104061484	No	
row_65	MAPT	MAPT	18492	-0.03242824599146843	0.06043537	No	
row_66	TPR	TPR	19082	-0.049975939095020294	0.047676418	No	
