NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HM13	HM13	105	0.1785287708044052	0.05341809	No	
row_1	BCAP31	BCAP31	195	0.14319638907909393	0.09602538	No	
row_2	CALR	CALR	198	0.14295247197151184	0.14290035	No	
row_3	CANX	CANX	358	0.11597370356321335	0.17306386	No	
row_4	SPPL2A	SPPL2A	519	0.09826357662677765	0.19735777	No	
row_5	HLA-DRB5	HLA-DRB5	533	0.09690603613853455	0.22855192	No	
row_6	HLA-DQA2	HLA-DQA2	771	0.08100058883428574	0.24332504	No	
row_7	TAPBP	TAPBP	1639	0.05217432603240013	0.21714146	No	
row_8	SPPL3	SPPL3	1817	0.04905317351222038	0.224415	No	
row_9	HLA-G	HLA-G	4608	0.020818214863538742	0.09182569	No	
row_10	SPPL2B	SPPL2B	15798	-0.009075278416275978	-0.46436256	No	
row_11	PKD2	PKD2	18019	-0.024719426408410072	-0.56718415	No	
row_12	HLA-DQB2	HLA-DQB2	18773	-0.03936317563056946	-0.5918804	No	
row_13	HLA-DQB1	HLA-DQB1	19606	-0.08723927289247513	-0.60479236	Yes	
row_14	HLA-DRA	HLA-DRA	19799	-0.12240268290042877	-0.5741654	Yes	
row_15	HLA-DPB1	HLA-DPB1	19805	-0.12495976686477661	-0.53335285	Yes	
row_16	HLA-DPA1	HLA-DPA1	19824	-0.1297379434108734	-0.49161986	Yes	
row_17	CD74	CD74	19848	-0.1375550478696823	-0.44756797	Yes	
row_18	HLA-DQA1	HLA-DQA1	19889	-0.1540834754705429	-0.39893436	Yes	
row_19	HLA-A	HLA-A	19903	-0.16308899223804474	-0.34599218	Yes	
row_20	HLA-F	HLA-F	19934	-0.18217983841896057	-0.2876262	Yes	
row_21	HLA-DRB1	HLA-DRB1	19939	-0.1859540045261383	-0.22672066	Yes	
row_22	HLA-B	HLA-B	19970	-0.22170399129390717	-0.15536685	Yes	
row_23	HLA-E	HLA-E	19987	-0.239887073636055	-0.07733833	Yes	
row_24	HLA-C	HLA-C	19988	-0.24234934151172638	0.0022989006	Yes	
