NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DRB5	HLA-DRB5	533	0.09690603613853455	0.012718498	No	
row_1	HLA-DQA2	HLA-DQA2	771	0.08100058883428574	0.03376857	No	
row_2	HLA-DMB	HLA-DMB	3140	0.032088909298181534	-0.071524	No	
row_3	HLA-G	HLA-G	4608	0.020818214863538742	-0.13637258	No	
row_4	HLA-DOB	HLA-DOB	4928	0.018937336280941963	-0.14462224	No	
row_5	HLA-DOA	HLA-DOA	5000	0.018569400534033775	-0.14062934	No	
row_6	MR1	MR1	12250	-2.7631846023723483E-4	-0.5027317	No	
row_7	HLA-DQB2	HLA-DQB2	18773	-0.03936317563056946	-0.8126355	Yes	
row_8	HLA-DMA	HLA-DMA	19203	-0.05550689622759819	-0.81153154	Yes	
row_9	HLA-DQB1	HLA-DQB1	19606	-0.08723927289247513	-0.7961927	Yes	
row_10	B2M	B2M	19728	-0.10798680037260056	-0.758388	Yes	
row_11	HLA-DRA	HLA-DRA	19799	-0.12240268290042877	-0.712181	Yes	
row_12	HLA-DPB1	HLA-DPB1	19805	-0.12495976686477661	-0.6616877	Yes	
row_13	HLA-DPA1	HLA-DPA1	19824	-0.1297379434108734	-0.60990363	Yes	
row_14	CD74	CD74	19848	-0.1375550478696823	-0.55519515	Yes	
row_15	HLA-DQA1	HLA-DQA1	19889	-0.1540834754705429	-0.4946243	Yes	
row_16	HLA-A	HLA-A	19903	-0.16308899223804474	-0.42904738	Yes	
row_17	HLA-F	HLA-F	19934	-0.18217983841896057	-0.3565676	Yes	
row_18	HLA-DRB1	HLA-DRB1	19939	-0.1859540045261383	-0.28125608	Yes	
row_19	HLA-B	HLA-B	19970	-0.22170399129390717	-0.1927265	Yes	
row_20	HLA-E	HLA-E	19987	-0.239887073636055	-0.09611366	Yes	
row_21	HLA-C	HLA-C	19988	-0.24234934151172638	0.002298522	Yes	
