NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAP31	BCAP31	195	0.14319638907909393	0.14973727	Yes	
row_1	RAB32	RAB32	199	0.14268288016319275	0.30849496	Yes	
row_2	AHCYL1	AHCYL1	333	0.11899688839912415	0.4343785	Yes	
row_3	CANX	CANX	358	0.11597370356321335	0.5623407	Yes	
row_4	TMX2	TMX2	1311	0.06025492772459984	0.58188534	Yes	
row_5	TOMM20	TOMM20	2105	0.04425908625125885	0.59155893	Yes	
row_6	ACSL4	ACSL4	2110	0.044167112559080124	0.6405485	Yes	
row_7	SERAC1	SERAC1	2289	0.04153449460864067	0.67791307	Yes	
row_8	TMEM41B	TMEM41B	2531	0.03852703422307968	0.7087807	Yes	
row_9	MBOAT7	MBOAT7	2670	0.03706582263112068	0.74316686	Yes	
row_10	ATG5	ATG5	2791	0.03567862510681152	0.7769073	Yes	
row_11	CLCC1	CLCC1	3098	0.03261374682188034	0.79794186	Yes	
row_12	PDZD8	PDZD8	4779	0.019870517775416374	0.73613906	No	
row_13	TOMM40	TOMM40	6743	0.011353272013366222	0.6507118	No	
row_14	STX17	STX17	8667	0.005677482113242149	0.5609617	No	
row_15	RAB38	RAB38	10037	0.002303785178810358	0.49513218	No	
row_16	ATG14	ATG14	10469	0.0013087568804621696	0.47505698	No	
row_17	FATE1	FATE1	11686	0.0	0.4143056	No	
row_18	ZFYVE1	ZFYVE1	13743	-0.0024341484531760216	0.3142987	No	
