NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	A2M	A2M	29	0.2754424810409546	0.067255035	No	
row_1	VEGFB	VEGFB	497	0.09932264685630798	0.068662465	No	
row_2	OLA1	OLA1	558	0.09508506953716278	0.08937815	No	
row_3	FERMT3	FERMT3	589	0.09255848824977875	0.11096472	No	
row_4	TOR4A	TOR4A	1547	0.0542043037712574	0.076599486	No	
row_5	CLU	CLU	1805	0.0492379330098629	0.07602171	No	
row_6	A1BG	A1BG	1850	0.04860705882310867	0.085944556	No	
row_7	TGFB1	TGFB1	2039	0.0454707108438015	0.08787967	No	
row_8	ALDOA	ALDOA	2057	0.04517997056245804	0.098298684	No	
row_9	PDGFA	PDGFA	2467	0.03920494019985199	0.087612584	No	
row_10	SERPINF2	SERPINF2	2865	0.03483504056930542	0.07643691	No	
row_11	VWF	VWF	2909	0.03437427058815956	0.082859576	No	
row_12	PDGFB	PDGFB	3040	0.03310767933726311	0.08461305	No	
row_13	FN1	FN1	3550	0.02843492105603218	0.06623673	No	
row_14	VEGFD	VEGFD	3843	0.02613595314323902	0.0581451	No	
row_15	APOOL	APOOL	4018	0.02481541968882084	0.055628505	No	
row_16	NHLRC2	NHLRC2	4137	0.02394033595919609	0.055695735	No	
row_17	HGF	HGF	4465	0.021667424589395523	0.044738166	No	
row_18	F8	F8	4648	0.020566198974847794	0.040761348	No	
row_19	GAS6	GAS6	5108	0.017987150698900223	0.022280822	No	
row_20	SPARC	SPARC	5845	0.014767196960747242	-0.010863283	No	
row_21	PCYOX1L	PCYOX1L	6142	0.013448450714349747	-0.022319822	No	
row_22	SERPINE1	SERPINE1	6298	0.012848695740103722	-0.026870672	No	
row_23	TGFB2	TGFB2	7483	0.008897410705685616	-0.08389574	No	
row_24	TGFB3	TGFB3	7604	0.008554109372198582	-0.08776651	No	
row_25	ORM1	ORM1	7648	0.008409510366618633	-0.08782047	No	
row_26	F13A1	F13A1	8430	0.0063367197290062904	-0.12531915	No	
row_27	PF4	PF4	8924	0.004943800158798695	-0.14875448	No	
row_28	PLG	PLG	13558	-0.002033029915764928	-0.38007122	No	
row_29	SCCPDH	SCCPDH	15044	-0.0061329202726483345	-0.45284715	No	
row_30	GTPBP2	GTPBP2	17208	-0.01666942425072193	-0.55692035	No	
row_31	VEGFA	VEGFA	17615	-0.020283469930291176	-0.5721761	No	
row_32	PPBP	PPBP	18025	-0.02475758269429207	-0.5864659	No	
row_33	APP	APP	18739	-0.03844207152724266	-0.6125537	Yes	
row_34	SRGN	SRGN	18805	-0.04011699929833412	-0.60579944	Yes	
row_35	ACTN1	ACTN1	18895	-0.04322175309062004	-0.59947157	Yes	
row_36	VTI1B	VTI1B	18909	-0.04375651851296425	-0.5892075	Yes	
row_37	TEX264	TEX264	18951	-0.045130323618650436	-0.5800017	Yes	
row_38	F5	F5	19325	-0.06142997369170189	-0.5833427	Yes	
row_39	PROS1	PROS1	19385	-0.06601059436798096	-0.5698293	Yes	
row_40	MAGED2	MAGED2	19566	-0.08330672979354858	-0.55805606	Yes	
row_41	QSOX1	QSOX1	19663	-0.09664767980575562	-0.53875196	Yes	
row_42	TMSB4X	TMSB4X	19750	-0.11187025904655457	-0.51515037	Yes	
row_43	ACTN4	ACTN4	19791	-0.12100058794021606	-0.48696962	Yes	
row_44	TIMP1	TIMP1	19881	-0.1512264907360077	-0.45370114	Yes	
row_45	THBS1	THBS1	19914	-0.16975390911102295	-0.4129591	Yes	
row_46	SERPINA1	SERPINA1	19990	-0.24405309557914734	-0.35583553	Yes	
row_47	IGF1	IGF1	19999	-0.26710307598114014	-0.28960985	Yes	
row_48	SERPING1	SERPING1	20031	-0.5057871341705322	-0.16499795	Yes	
row_49	CFD	CFD	20034	-0.6618772745132446	4.917456E-8	Yes	
