NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_NUCLEOTIDE_EXCISION_REPAIR_COMPLEX	12		Rejected!	
GOCC_HISTONE_DEACETYLASE_COMPLEX	77	72		
GOCC_SAGA_COMPLEX	14		Rejected!	
GOCC_PCAF_COMPLEX	5		Rejected!	
GOCC_TRANSCRIPTION_FACTOR_TFIIIC_COMPLEX	6		Rejected!	
GOCC_GOLGI_CIS_CISTERNA	30	18		
GOCC_GOLGI_TRANS_CISTERNA	11		Rejected!	
GOCC_EXOCYST	20	17		
GOCC_UBIQUITIN_LIGASE_COMPLEX	289	274		
GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	43	43		
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	17	15		
GOCC_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	19	19		
GOCC_PROTEIN_PHOSPHATASE_TYPE_1_COMPLEX	15		Rejected!	
GOCC_RIBONUCLEASE_MRP_COMPLEX	9		Rejected!	
GOCC_NUCLEAR_EXOSOME_RNASE_COMPLEX	16	16		
GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX	14		Rejected!	
GOCC_NUCLEAR_CHROMOSOME	250	208		
GOCC_PERICENTRIOLAR_MATERIAL	20	19		
GOCC_COMMITMENT_COMPLEX	5		Rejected!	
GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_CATALYTIC_SECTOR_F_1	5		Rejected!	
GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O	11		Rejected!	
GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	43	41		
GOCC_ORGANELLAR_RIBOSOME	87	87		
GOCC_TRANSCRIPTION_EXPORT_COMPLEX	14		Rejected!	
GOCC_THO_COMPLEX	6		Rejected!	
GOCC_PHAGOPHORE_ASSEMBLY_SITE	31	29		
GOCC_EKC_KEOPS_COMPLEX	6		Rejected!	
GOCC_AUTOPHAGOSOME_MEMBRANE	40	35		
GOCC_GLYCOSYLPHOSPHATIDYLINOSITOL_N_ACETYLGLUCOSAMINYLTRANSFERASE_GPI_GNT_COMPLEX	8		Rejected!	
GOCC_CHROMOSOME_CENTROMERIC_REGION	196	187		
GOCC_KINETOCHORE	137	131		
GOCC_CONDENSED_NUCLEAR_CHROMOSOME_KINETOCHORE	17	17		
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	117	111		
GOCC_CHROMOSOME_TELOMERIC_REGION	161	128		
GOCC_TELOMERE_CAP_COMPLEX	13		Rejected!	
GOCC_CHROMATIN	1222		Rejected!	
GOCC_EUCHROMATIN	36	25		
GOCC_HETEROCHROMATIN	72	64		
GOCC_CONDENSED_CHROMOSOME	218	195		
GOCC_CONDENSED_NUCLEAR_CHROMOSOME	88	77		
GOCC_CONDENSIN_COMPLEX	8		Rejected!	
GOCC_NUCLEAR_COHESIN_COMPLEX	5		Rejected!	
GOCC_LATERAL_ELEMENT	14		Rejected!	
GOCC_CENTRAL_ELEMENT	8		Rejected!	
GOCC_SEX_CHROMOSOME	25	19		
GOCC_X_CHROMOSOME	9		Rejected!	
GOCC_ORIGIN_RECOGNITION_COMPLEX	9		Rejected!	
GOCC_SWR1_COMPLEX	12		Rejected!	
GOCC_ESCRT_I_COMPLEX	10		Rejected!	
GOCC_ESCRT_III_COMPLEX	11		Rejected!	
GOCC_ER_UBIQUITIN_LIGASE_COMPLEX	11		Rejected!	
GOCC_HRD1P_UBIQUITIN_LIGASE_ERAD_L_COMPLEX	9		Rejected!	
GOCC_SPINDLE_POLE	166	153		
GOCC_EQUATORIAL_MICROTUBULE_ORGANIZING_CENTER	5		Rejected!	
GOCC_GAMMA_TUBULIN_COMPLEX	21	20		
GOCC_GAMMA_TUBULIN_LARGE_COMPLEX	8		Rejected!	
GOCC_P_BODY	91	86		
GOCC_GARP_COMPLEX	5		Rejected!	
GOCC_CONDENSED_CHROMOSOME_INNER_KINETOCHORE	5		Rejected!	
GOCC_CONDENSED_CHROMOSOME_OUTER_KINETOCHORE	14		Rejected!	
GOCC_PRP19_COMPLEX	13		Rejected!	
GOCC_SAM_COMPLEX	13		Rejected!	
GOCC_PAM_COMPLEX_TIM23_ASSOCIATED_IMPORT_MOTOR	5		Rejected!	
GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	17		Rejected!	
GOCC_OUTER_DENSE_FIBER	6		Rejected!	
GOCC_MICROFIBRIL	12		Rejected!	
GOCC_CORNIFIED_ENVELOPE	45	33		
GOCC_RADIAL_SPOKE	7		Rejected!	
GOCC_FIBRILLAR_CENTER	139	130		
GOCC_GRANULAR_COMPONENT	5		Rejected!	
GOCC_ACROSOMAL_VESICLE	115	82		
GOCC_MALE_GERM_CELL_NUCLEUS	15		Rejected!	
GOCC_FEMALE_GERM_CELL_NUCLEUS	5		Rejected!	
GOCC_RUFFLE	175	167		
GOCC_BARR_BODY	6		Rejected!	
GOCC_XY_BODY	11		Rejected!	
GOCC_PHOTORECEPTOR_OUTER_SEGMENT	88	54		
GOCC_IMMUNOLOGICAL_SYNAPSE	41	41		
GOCC_PHAGOCYTIC_CUP	27	25		
GOCC_PHOTORECEPTOR_INNER_SEGMENT	59	37		
GOCC_FEMALE_PRONUCLEUS	9		Rejected!	
GOCC_MALE_PRONUCLEUS	6		Rejected!	
GOCC_INNER_ACROSOMAL_MEMBRANE	5		Rejected!	
GOCC_ACROSOMAL_MEMBRANE	25	19		
GOCC_PODOSOME	28	28		
GOCC_SEMAPHORIN_RECEPTOR_COMPLEX	11		Rejected!	
