NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOE	APOE	3232	0.031196409836411476	-0.097122565	No	
row_1	PTPRC	PTPRC	8058	0.007306526880711317	-0.32306808	No	
row_2	FBLN7	FBLN7	8414	0.00637046480551362	-0.32766667	No	
row_3	AGRN	AGRN	8501	0.006152485031634569	-0.31927812	No	
row_4	COMP	COMP	12603	-5.158886197023094E-4	-0.5230597	No	
row_5	HPSE2	HPSE2	12696	-5.950072663836181E-4	-0.5264284	No	
row_6	CFH	CFH	12898	-7.690238417126238E-4	-0.5348829	No	
row_7	SEMA5A	SEMA5A	12911	-7.812231779098511E-4	-0.5338717	No	
row_8	PLA2G2D	PLA2G2D	13357	-0.0016150128794834018	-0.5527699	No	
row_9	ITGA2	ITGA2	14272	-0.0038096222560852766	-0.59057015	No	
row_10	AZU1	AZU1	15803	-0.00908719189465046	-0.64825916	No	
row_11	FGF20	FGF20	18027	-0.024787265807390213	-0.7081955	Yes	
row_12	FST	FST	18232	-0.027642546221613884	-0.66139615	Yes	
row_13	LPL	LPL	19906	-0.16488352417945862	-0.40503088	Yes	
row_14	LRP1	LRP1	19955	-0.19953680038452148	0.0039460184	Yes	
