NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASIP	ASIP	5355	0.01675913855433464	-0.22001724	No	
row_1	UCN	UCN	6475	0.01225100178271532	-0.24118613	No	
row_2	OXT	OXT	8540	0.006069454830139875	-0.32709435	No	
row_3	PPY	PPY	8628	0.005783305037766695	-0.31504294	No	
row_4	VGF	VGF	9643	0.0031946704257279634	-0.35664427	No	
row_5	ADCYAP1	ADCYAP1	9730	0.0030224951915442944	-0.35237086	No	
row_6	HCRT	HCRT	9822	0.0027615788858383894	-0.3490871	No	
row_7	PNOC	PNOC	10680	9.207876864820719E-4	-0.38929203	No	
row_8	CALCB	CALCB	11319	1.7891534662339836E-4	-0.42065924	No	
row_9	CCK	CCK	11448	0.0	-0.4270541	No	
row_10	CORT	CORT	11589	0.0	-0.43404853	No	
row_11	PENK	PENK	11985	-1.0583333641989157E-4	-0.45348266	No	
row_12	NPPA	NPPA	12670	-5.733566358685493E-4	-0.48602962	No	
row_13	PRLH	PRLH	12676	-5.767630063928664E-4	-0.4846441	No	
row_14	NTS	NTS	14179	-0.0036098842974752188	-0.5494486	No	
row_15	QRFP	QRFP	15244	-0.006821809336543083	-0.5832636	No	
row_16	CRH	CRH	18871	-0.04249222204089165	-0.6439365	Yes	
row_17	NMB	NMB	19252	-0.05796138197183609	-0.49857813	Yes	
row_18	AGRP	AGRP	19942	-0.1896023154258728	0.0045963014	Yes	
