NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27L	RPS27L	117	0.17426052689552307	0.1011187	No	
row_1	ATP2A3	ATP2A3	2079	0.044746413826942444	0.03060835	No	
row_2	ST20	ST20	3305	0.03055039793252945	-0.011843352	No	
row_3	CARD8	CARD8	5874	0.014624291099607944	-0.13117047	No	
row_4	NLRP12	NLRP12	5931	0.014384149573743343	-0.12513912	No	
row_5	BCL2L13	BCL2L13	5994	0.014094490557909012	-0.11958533	No	
row_6	EBAG9	EBAG9	8239	0.006851705722510815	-0.22749554	No	
row_7	NLRP1	NLRP1	10140	0.002023770473897457	-0.3211821	No	
row_8	APAF1	APAF1	16501	-0.012295643799006939	-0.6313965	No	
row_9	NOD1	NOD1	16744	-0.013619647361338139	-0.6351274	No	
row_10	NKX3-1	NKX3-1	18170	-0.026650656014680862	-0.68996537	Yes	
row_11	CASP8AP2	CASP8AP2	18347	-0.029853565618395805	-0.6804341	Yes	
row_12	MAL	MAL	18674	-0.03664800152182579	-0.6742267	Yes	
row_13	RACK1	RACK1	19014	-0.047011516988277435	-0.66230744	Yes	
row_14	BAD	BAD	19118	-0.051548153162002563	-0.6358124	Yes	
row_15	CASP1	CASP1	19317	-0.061120931059122086	-0.6081878	Yes	
row_16	BEX3	BEX3	19411	-0.06733962893486023	-0.57150006	Yes	
row_17	PYCARD	PYCARD	19943	-0.19116133451461792	-0.4806918	Yes	
row_18	CTSH	CTSH	20012	-0.306517630815506	-0.2959431	Yes	
row_19	CTSC	CTSC	20029	-0.4838440716266632	2.4985493E-4	Yes	
