NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	A2M	A2M	29	0.2754424810409546	0.027727036	No	
row_1	CSTB	CSTB	30	0.2732638418674469	0.056682777	No	
row_2	BIRC7	BIRC7	57	0.2150707244873047	0.07816365	No	
row_3	RPS27L	RPS27L	117	0.17426052689552307	0.0936593	No	
row_4	RPS6KA1	RPS6KA1	122	0.17028960585594177	0.111502305	No	
row_5	SNCA	SNCA	160	0.15449385344982147	0.12601067	No	
row_6	CRIM1	CRIM1	187	0.14506492018699646	0.14007355	No	
row_7	XIAP	XIAP	236	0.13444118201732635	0.15190347	No	
row_8	RARRES1	RARRES1	362	0.11537086963653564	0.15783726	No	
row_9	CST6	CST6	428	0.10669797658920288	0.16587181	No	
row_10	PRNP	PRNP	472	0.10180649161338806	0.17449532	No	
row_11	PSMD14	PSMD14	530	0.09720789641141891	0.18192694	No	
row_12	ADRM1	ADRM1	581	0.09308145940303802	0.1892736	No	
row_13	RPS6KA3	RPS6KA3	826	0.07816403359174728	0.18527563	No	
row_14	WFIKKN2	WFIKKN2	859	0.0764324739575386	0.19176406	No	
row_15	TNFSF14	TNFSF14	872	0.07560925930738449	0.19917186	No	
row_16	UBE2Z	UBE2Z	893	0.07474015653133392	0.20608492	No	
row_17	USP14	USP14	899	0.07442184537649155	0.2137192	No	
row_18	GAPDH	GAPDH	988	0.07071717083454132	0.21678357	No	
row_19	PRDX3	PRDX3	1054	0.06852848082780838	0.2207736	No	
row_20	PINK1	PINK1	1276	0.06138372793793678	0.21615511	No	
row_21	SERPINB8	SERPINB8	1512	0.0552528016269207	0.21018238	No	
row_22	TIMP3	TIMP3	1741	0.050483886152505875	0.20405662	No	
row_23	PEBP1	PEBP1	1769	0.04990627244114876	0.20798591	No	
row_24	ATP2A3	ATP2A3	2079	0.044746413826942444	0.1971755	No	
row_25	FURIN	FURIN	2210	0.042567502707242966	0.19514321	No	
row_26	APLP2	APLP2	2303	0.041323643177747726	0.19489163	No	
row_27	CD109	CD109	2372	0.040495615452528	0.19576024	No	
row_28	PSME3	PSME3	2555	0.03831309825181961	0.19066	No	
row_29	PSME4	PSME4	2593	0.03792332485318184	0.19281624	No	
row_30	SERPINF2	SERPINF2	2865	0.03483504056930542	0.18286812	No	
row_31	NLRC4	NLRC4	2898	0.034490734338760376	0.1849123	No	
row_32	TANK	TANK	2932	0.0341053269803524	0.18686531	No	
row_33	NOL3	NOL3	2943	0.03396376967430115	0.1899609	No	
row_34	SERPINB1	SERPINB1	2966	0.033766552805900574	0.19243164	No	
row_35	RENBP	RENBP	3209	0.0314229354262352	0.18358152	No	
row_36	TFPI	TFPI	3296	0.030612295493483543	0.18249692	No	
row_37	ST20	ST20	3305	0.03055039793252945	0.1853315	No	
row_38	FN1	FN1	3550	0.02843492105603218	0.17606409	No	
row_39	TNFAIP8	TNFAIP8	3740	0.026931844651699066	0.16940555	No	
row_40	CLPX	CLPX	3771	0.026710033416748047	0.17072593	No	
row_41	SERPINH1	SERPINH1	3917	0.025608105584979057	0.16614163	No	
row_42	CST7	CST7	3919	0.02558557316660881	0.16880241	No	
row_43	APH1A	APH1A	4028	0.02469414286315441	0.16598347	No	
row_44	SIMC1	SIMC1	4305	0.022742927074432373	0.15450238	No	
row_45	CST2	CST2	4361	0.0223891232162714	0.15410665	No	
row_46	SPINK1	SPINK1	4389	0.02222251519560814	0.1551025	No	
row_47	BIRC2	BIRC2	4511	0.02138333208858967	0.15127845	No	
row_48	BIRC6	BIRC6	4770	0.019902773201465607	0.14040235	No	
row_49	WFIKKN1	WFIKKN1	4778	0.019876422360539436	0.1421562	No	
row_50	SERPINB9	SERPINB9	4840	0.01943827234208584	0.14114583	No	
row_51	GAS6	GAS6	5108	0.017987150698900223	0.12961377	No	
row_52	LXN	LXN	5164	0.017751110717654228	0.12872659	No	
row_53	CARD8	CARD8	5874	0.014624291099607944	0.09459249	No	
row_54	SPINK6	SPINK6	5877	0.014619863592088223	0.09604099	No	
row_55	NLRP12	NLRP12	5931	0.014384149573743343	0.094897695	No	
row_56	COL7A1	COL7A1	5936	0.014357348904013634	0.09621772	No	
row_57	BCL2L13	BCL2L13	5994	0.014094490557909012	0.09484242	No	
