NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA9	ANXA9	5439	0.016356684267520905	-0.24063507	No	
row_1	CHRNE	CHRNE	5701	0.015301783569157124	-0.22445008	No	
row_2	GRIN3A	GRIN3A	6054	0.013841912150382996	-0.21560283	No	
row_3	DRD4	DRD4	6773	0.011215283535420895	-0.23006877	No	
row_4	GRM1	GRM1	7347	0.009323022328317165	-0.2409014	No	
row_5	GRIN2C	GRIN2C	7958	0.007593544665724039	-0.25688747	No	
row_6	CHRNA7	CHRNA7	8994	0.004772771615535021	-0.29950687	No	
row_7	GABBR1	GABBR1	9074	0.004595557693392038	-0.29467678	No	
row_8	GRIK1	GRIK1	9681	0.003117960412055254	-0.31901282	No	
row_9	CHRNA10	CHRNA10	10602	0.0010770992375910282	-0.36294368	No	
row_10	GABRR2	GABRR2	11014	4.587138828355819E-4	-0.38261223	No	
row_11	CHRNB4	CHRNB4	11152	3.216576296836138E-4	-0.38884604	No	
row_12	GRIK2	GRIK2	11332	1.6850272368174046E-4	-0.3974719	No	
row_13	GABRB2	GABRB2	11638	0.0	-0.4127181	No	
row_14	ADRB1	ADRB1	12076	-1.6850668180268258E-4	-0.43424073	No	
row_15	GABRG3	GABRG3	12665	-5.684727802872658E-4	-0.4625474	No	
row_16	GRIA3	GRIA3	12867	-7.347965147346258E-4	-0.47119117	No	
row_17	CHRNA1	CHRNA1	13556	-0.0020287074148654938	-0.501707	No	
row_18	CHRM4	CHRM4	15471	-0.007675188593566418	-0.5827208	No	
row_19	CHRNG	CHRNG	15716	-0.008726395666599274	-0.57824737	No	
row_20	CHRNB1	CHRNB1	16360	-0.01160380057990551	-0.588222	Yes	
row_21	CHRFAM7A	CHRFAM7A	16654	-0.013073493726551533	-0.57789344	Yes	
row_22	CHRNA3	CHRNA3	16817	-0.014043888077139854	-0.55916274	Yes	
row_23	CHRNA5	CHRNA5	17127	-0.016041545197367668	-0.5439639	Yes	
row_24	HRH4	HRH4	17786	-0.02189798466861248	-0.5350229	Yes	
row_25	GRID2	GRID2	18178	-0.0268231388181448	-0.50332654	Yes	
row_26	DRD5	DRD5	18598	-0.034744296222925186	-0.45789763	Yes	
row_27	GABRE	GABRE	19420	-0.06829660385847092	-0.36846712	Yes	
row_28	GABRA4	GABRA4	19666	-0.09716403484344482	-0.19509698	Yes	
row_29	CHRM3	CHRM3	19749	-0.11172967404127121	0.014246549	Yes	
