NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL16	CXCL16	632	0.08877987414598465	0.019722164	No	
row_1	MSR1	MSR1	1039	0.06902850419282913	0.039327882	No	
row_2	STAB1	STAB1	2363	0.04054616019129753	-0.0034011644	No	
row_3	LOXL3	LOXL3	3353	0.030138516798615456	-0.035442147	No	
row_4	SCARB1	SCARB1	3491	0.0290098637342453	-0.025520813	No	
row_5	ENPP2	ENPP2	3756	0.02680782787501812	-0.023224937	No	
row_6	CD163	CD163	4634	0.020667988806962967	-0.05513989	No	
row_7	SCARF1	SCARF1	5092	0.01807170733809471	-0.067548685	No	
row_8	TMPRSS5	TMPRSS5	6235	0.013109647668898106	-0.11708858	No	
row_9	SCARF2	SCARF2	6489	0.012208953499794006	-0.12268369	No	
row_10	LOXL2	LOXL2	7116	0.01010508555918932	-0.14815181	No	
row_11	CD6	CD6	7759	0.00811716727912426	-0.17556964	No	
row_12	HHIPL1	HHIPL1	7855	0.007876557298004627	-0.17576702	No	
row_13	ENDOU	ENDOU	8077	0.007268907502293587	-0.18261795	No	
row_14	TMPRSS13	TMPRSS13	8173	0.007024046499282122	-0.18330824	No	
row_15	CD163L1	CD163L1	8644	0.0057403757236897945	-0.20349734	No	
row_16	SCART1	SCART1	8660	0.005692434497177601	-0.2009562	No	
row_17	MEGF10	MEGF10	8933	0.004912401083856821	-0.21172057	No	
row_18	TMPRSS4	TMPRSS4	9970	0.0024432730861008167	-0.26212597	No	
row_19	CD36	CD36	11181	2.941337588708848E-4	-0.3224771	No	
row_20	SCARA3	SCARA3	11675	0.0	-0.34713572	No	
row_21	LOXL4	LOXL4	12581	-5.058564711362123E-4	-0.39210907	No	
row_22	TMPRSS2	TMPRSS2	13071	-0.0010113666066899896	-0.41598284	No	
row_23	ENPP1	ENPP1	13379	-0.001675008679740131	-0.43036973	No	
row_24	PGBD1	PGBD1	13516	-0.0019170382292941213	-0.43606365	No	
row_25	ACKR4	ACKR4	14035	-0.0031426504720002413	-0.4601556	No	
row_26	SSC4D	SSC4D	14095	-0.003360229078680277	-0.46116373	No	
row_27	CFI	CFI	14352	-0.003991642035543919	-0.47166023	No	
row_28	SSC5D	SSC5D	14470	-0.004318608902394772	-0.47501522	No	
row_29	AGER	AGER	14536	-0.004569611046463251	-0.47562417	No	
row_30	CD5	CD5	14891	-0.005641832482069731	-0.49006823	No	
row_31	TMPRSS3	TMPRSS3	15892	-0.009444240480661392	-0.534625	No	
row_32	SCARB2	SCARB2	15926	-0.009588795714080334	-0.53073126	No	
row_33	PRSS12	PRSS12	16285	-0.01120770163834095	-0.5421571	No	
row_34	ACKR2	ACKR2	16475	-0.012161416001617908	-0.5445786	No	
row_35	COLEC12	COLEC12	19000	-0.04656250402331352	-0.6439	Yes	
row_36	VTN	VTN	19580	-0.08444786816835403	-0.62403166	Yes	
row_37	CD5L	CD5L	19820	-0.12846271693706512	-0.56170774	Yes	
row_38	ACKR3	ACKR3	19946	-0.19330579042434692	-0.45618898	Yes	
row_39	LRP1	LRP1	19955	-0.19953680038452148	-0.34121534	Yes	
row_40	MARCO	MARCO	20002	-0.2779310643672943	-0.18281421	Yes	
row_41	LGALS3BP	LGALS3BP	20016	-0.3188557028770447	9.004435E-4	Yes	
