NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC20A1	SLC20A1	257	0.13051269948482513	0.06556584	Yes	
row_1	SLC1A3	SLC1A3	516	0.09833692759275436	0.11174341	Yes	
row_2	SLC25A3	SLC25A3	567	0.09426535665988922	0.1658937	Yes	
row_3	SLC33A1	SLC33A1	798	0.07946127653121948	0.20212936	Yes	
row_4	SLC28A3	SLC28A3	996	0.07049958407878876	0.23463203	Yes	
row_5	SLC12A8	SLC12A8	1015	0.06991603970527649	0.27575102	Yes	
row_6	SLC11A2	SLC11A2	1106	0.06664726138114929	0.31129858	Yes	
row_7	SLC36A1	SLC36A1	1107	0.06664243340492249	0.3513518	Yes	
row_8	SLC17A5	SLC17A5	1255	0.06199966371059418	0.38125062	Yes	
row_9	SLC38A2	SLC38A2	1331	0.05972698703408241	0.4133904	Yes	
row_10	SLC6A12	SLC6A12	1351	0.059101805090904236	0.44795975	Yes	
row_11	SLC12A6	SLC12A6	1387	0.05839680880308151	0.48130387	Yes	
row_12	SLC18A2	SLC18A2	1774	0.04976928234100342	0.4918793	Yes	
row_13	SLC23A2	SLC23A2	1979	0.04641060531139374	0.50955343	Yes	
row_14	SLC15A4	SLC15A4	2132	0.043912000954151154	0.5283308	Yes	
row_15	SLC6A6	SLC6A6	2186	0.043027106672525406	0.5515358	Yes	
row_16	SLC4A7	SLC4A7	2314	0.041142191737890244	0.5699008	Yes	
row_17	SLC2A13	SLC2A13	2382	0.040406715124845505	0.59082955	Yes	
row_18	SLC5A3	SLC5A3	2456	0.039405908435583115	0.61085624	Yes	
row_19	SLC45A3	SLC45A3	2489	0.038991350680589676	0.6326876	Yes	
row_20	SLC39A8	SLC39A8	2648	0.03738429769873619	0.6472412	Yes	
row_21	SLC15A2	SLC15A2	4019	0.02480360120534897	0.59351814	No	
row_22	SLC5A6	SLC5A6	4450	0.021819138899445534	0.5850909	No	
row_23	MFSD2A	MFSD2A	4650	0.020553134381771088	0.5874747	No	
row_24	SLC1A2	SLC1A2	4930	0.018929993733763695	0.5848754	No	
row_25	SLC20A2	SLC20A2	5058	0.018205106258392334	0.5894549	No	
row_26	SLC12A4	SLC12A4	5411	0.016469864174723625	0.58172005	No	
row_27	SLC10A3	SLC10A3	5415	0.016465073451399803	0.59146553	No	
row_28	SLC45A4	SLC45A4	6416	0.01244259811937809	0.54884857	No	
row_29	SLC12A9	SLC12A9	6926	0.010692071169614792	0.5297763	No	
row_30	SLC6A7	SLC6A7	6945	0.010618720203638077	0.53525656	No	
row_31	SLC6A11	SLC6A11	7009	0.010422789491713047	0.5383648	No	
row_32	SLC6A13	SLC6A13	8616	0.0058118063025176525	0.46140498	No	
row_33	SLC4A5	SLC4A5	8964	0.004852950107306242	0.44693863	No	
row_34	SLC13A3	SLC13A3	8996	0.004768347833305597	0.44825155	No	
row_35	SLC45A1	SLC45A1	9603	0.003294257912784815	0.41987377	No	
row_36	SLC4A9	SLC4A9	9791	0.0028660744428634644	0.41222852	No	
row_37	SLC28A2	SLC28A2	10139	0.002025329740718007	0.39606276	No	
row_38	MFSD3	MFSD3	10191	0.0019277128158137202	0.3946665	No	
row_39	SLC17A7	SLC17A7	10368	0.001531559624709189	0.38677025	No	
row_40	SLC12A5	SLC12A5	10529	0.0012061417801305652	0.37947991	No	
row_41	SLC4A4	SLC4A4	10648	9.903922909870744E-4	0.37416393	No	
row_42	SLC6A1	SLC6A1	10721	8.485483704134822E-4	0.37106708	No	
