NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PABPC1	PABPC1	48	0.2258893996477127	0.045574695	Yes	
row_1	RPS27L	RPS27L	117	0.17426052689552307	0.0791773	Yes	
row_2	EIF1	EIF1	134	0.16562707722187042	0.11355779	Yes	
row_3	EIF3L	EIF3L	266	0.128335639834404	0.13424018	Yes	
row_4	EEF2	EEF2	288	0.12483912706375122	0.15970494	Yes	
row_5	EIF3M	EIF3M	310	0.12186647206544876	0.18453823	Yes	
row_6	CELF1	CELF1	313	0.12128999829292297	0.2102034	Yes	
row_7	EIF5A	EIF5A	439	0.10494077205657959	0.22621739	Yes	
row_8	EIF3E	EIF3E	535	0.09665677696466446	0.24197847	Yes	
row_9	EIF4EBP1	EIF4EBP1	611	0.09064368903636932	0.25746676	Yes	
row_10	RPS9	RPS9	634	0.08861605077981949	0.27518642	Yes	
row_11	EEF1B2	EEF1B2	723	0.08351334929466248	0.28850704	Yes	
row_12	EIF3H	EIF3H	783	0.08004704117774963	0.30254793	Yes	
row_13	EIF2S3	EIF2S3	824	0.0782308429479599	0.31715736	Yes	
row_14	EIF2A	EIF2A	910	0.0739382728934288	0.32859465	Yes	
row_15	EIF3A	EIF3A	977	0.07138337939977646	0.34044352	Yes	
row_16	EEF1A1	EEF1A1	1021	0.06978526711463928	0.35310817	Yes	
row_17	CYFIP1	CYFIP1	1034	0.06916019320487976	0.36719713	Yes	
row_18	EIF1B	EIF1B	1113	0.06643647700548172	0.3773924	Yes	
row_19	AGO2	AGO2	1158	0.06495531648397446	0.3889808	Yes	
row_20	EIF3G	EIF3G	1190	0.06419630348682404	0.40106094	Yes	
row_21	MCTS1	MCTS1	1251	0.062175627797842026	0.41125518	Yes	
row_22	EIF1AY	EIF1AY	1322	0.059851061552762985	0.42045334	Yes	
row_23	RPL10	RPL10	1415	0.05766754969954491	0.42808262	Yes	
row_24	SAMD4A	SAMD4A	1440	0.057173777371644974	0.43902254	Yes	
row_25	SHMT2	SHMT2	1481	0.05602781102061272	0.4489154	Yes	
row_26	EIF3J	EIF3J	1531	0.05474226176738739	0.4580831	Yes	
row_27	EIF4E3	EIF4E3	1534	0.05472613871097565	0.4696081	Yes	
row_28	RPL22	RPL22	1540	0.0544854961335659	0.4809313	Yes	
row_29	EIF3B	EIF3B	1651	0.051935046911239624	0.48643872	Yes	
row_30	EEF2K	EEF2K	1856	0.048512861132621765	0.4864977	Yes	
row_31	PAIP1	PAIP1	1858	0.048473477363586426	0.49674466	Yes	
row_32	IGF2BP2	IGF2BP2	1931	0.04726921021938324	0.5031696	Yes	
row_33	EIF3C	EIF3C	1981	0.04631529375910759	0.51054716	Yes	
row_34	IGF2BP3	IGF2BP3	2026	0.04557821527123451	0.51801926	Yes	
row_35	EEF1D	EEF1D	2051	0.04526275023818016	0.52642894	Yes	
row_36	CPEB2	CPEB2	2061	0.045109253376722336	0.5355595	Yes	
row_37	TYMS	TYMS	2089	0.04458518326282501	0.5436745	Yes	
row_38	CIRBP	CIRBP	2131	0.04394356533885002	0.55095005	Yes	
