NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOMF_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY	10		Rejected!	
GOMF_MANNOSYLTRANSFERASE_ACTIVITY	25	25		
GOMF_PEPTIDYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_TRNA_BINDING	67	57		
GOMF_L_ORNITHINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	5		Rejected!	
GOMF_SULFUR_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7		Rejected!	
GOMF_SUCCINATE_DEHYDROGENASE_ACTIVITY	5		Rejected!	
GOMF_MICROFILAMENT_MOTOR_ACTIVITY	29	21		
GOMF_SNARE_BINDING	114	97		
GOMF_RDNA_BINDING	8		Rejected!	
GOMF_DNA_SECONDARY_STRUCTURE_BINDING	36	33		
GOMF_3_KETO_STEROL_REDUCTASE_ACTIVITY	5		Rejected!	
GOMF_PEROXISOME_TARGETING_SEQUENCE_BINDING	6		Rejected!	
GOMF_MAGNESIUM_ION_BINDING	216	189		
GOMF_ENDOPOLYPHOSPHATASE_ACTIVITY	5		Rejected!	
GOMF_RNA_CAP_BINDING	19	17		
GOMF_RNA_7_METHYLGUANOSINE_CAP_BINDING	12		Rejected!	
GOMF_FOUR_WAY_JUNCTION_DNA_BINDING	17	17		
GOMF_Y_FORM_DNA_BINDING	5		Rejected!	
GOMF_BUBBLE_DNA_BINDING	8		Rejected!	
GOMF_ADENYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	12		Rejected!	
GOMF_INOSITOL_HEXAKISPHOSPHATE_KINASE_ACTIVITY	8		Rejected!	
GOMF_INOSITOL_HEXAKISPHOSPHATE_5_KINASE_ACTIVITY	5		Rejected!	
GOMF_TRANSLATION_REPRESSOR_ACTIVITY_MRNA_REGULATORY_ELEMENT_BINDING	15		Rejected!	
GOMF_RNA_POLYMERASE_II_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	18		Rejected!	
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	1219		Rejected!	
GOMF_RNA_POLYMERASE_III_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	6		Rejected!	
GOMF_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	7		Rejected!	
GOMF_RNA_POLYMERASE_I_CORE_BINDING	5		Rejected!	
GOMF_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	40	35		
GOMF_RNA_POLYMERASE_II_ACTIVITY	5		Rejected!	
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_BINDING	52	43		
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING	19	19		
GOMF_TFIID_CLASS_TRANSCRIPTION_FACTOR_COMPLEX_BINDING	10		Rejected!	
GOMF_BASAL_TRANSCRIPTION_MACHINERY_BINDING	69	54		
GOMF_RNA_POLYMERASE_II_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	48	40		
GOMF_RNA_POLYMERASE_II_REPRESSING_TRANSCRIPTION_FACTOR_BINDING	35	33		
GOMF_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	10		Rejected!	
GOMF_RNA_POLYMERASE_II_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	7		Rejected!	
GOMF_RNA_POLYMERASE_I_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	8		Rejected!	
GOMF_RNA_POLYMERASE_I_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	6		Rejected!	
GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	445	339		
GOMF_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY	308	257		
GOMF_TRANSCRIPTION_COREGULATOR_BINDING	61	57		
GOMF_TRANSCRIPTION_COREPRESSOR_BINDING	30	30		
GOMF_TRANSCRIPTION_COACTIVATOR_BINDING	26	23		
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_COREGULATOR_BINDING	24	23		
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_COACTIVATOR_BINDING	6		Rejected!	
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_COREPRESSOR_BINDING	18	18		
GOMF_N_ACETYLGLUCOSAMINE_6_O_SULFOTRANSFERASE_ACTIVITY	7		Rejected!	
GOMF_LIPOPOLYSACCHARIDE_BINDING	32	23		
GOMF_N_ACETYLGALACTOSAMINE_4_O_SULFOTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_AMYLOID_BETA_BINDING	84	74		
GOMF_TRACE_AMINE_RECEPTOR_ACTIVITY	7		Rejected!	
GOMF_G_PROTEIN_COUPLED_ADENOSINE_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY	26	24		
GOMF_PEPTIDE_RECEPTOR_ACTIVITY	152	78		
GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING	288	203		
GOMF_ALPHA_N_ACETYLGALACTOSAMINIDE_ALPHA_2_6_SIALYLTRANSFERASE_ACTIVITY	6		Rejected!	
GOMF_ATPASE_ACTIVATOR_ACTIVITY	26	24		
GOMF_LIPID_KINASE_ACTIVITY	6		Rejected!	
GOMF_RETINAL_DEHYDROGENASE_ACTIVITY	8		Rejected!	
GOMF_PHOSPHOTYROSINE_RESIDUE_BINDING	44	42		
GOMF_PHOSPHATIDYLSERINE_BINDING	60	46		
GOMF_OPSONIN_BINDING	15		Rejected!	
GOMF_COMPLEMENT_BINDING	21	15		
GOMF_COMPLEMENT_COMPONENT_C1Q_COMPLEX_BINDING	8		Rejected!	
GOMF_COMPLEMENT_COMPONENT_C3B_BINDING	5		Rejected!	
GOMF_LIPOPOLYSACCHARIDE_IMMUNE_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_G_PROTEIN_ALPHA_SUBUNIT_BINDING	25	23		
GOMF_FIBRONECTIN_BINDING	28	22		
GOMF_RETINOIC_ACID_BINDING	20		Rejected!	
GOMF_PROTEASE_BINDING	131	114		
GOMF_P53_BINDING	66	62		
GOMF_OPSIN_BINDING	5		Rejected!	
GOMF_NUCLEOBASE_BINDING	5		Rejected!	
GOMF_G_QUADRUPLEX_RNA_BINDING	6		Rejected!	
GOMF_AMINOACYL_TRNA_EDITING_ACTIVITY	13		Rejected!	
GOMF_DYSTROGLYCAN_BINDING	10		Rejected!	
GOMF_DNA_HELICASE_ACTIVITY	74	69		
GOMF_MINOR_GROOVE_OF_ADENINE_THYMINE_RICH_DNA_BINDING	9		Rejected!	
GOMF_CHROMATIN_BINDING	558	473		
GOMF_DAMAGED_DNA_BINDING	67	65		
GOMF_DNA_REPLICATION_ORIGIN_BINDING	23	23		
GOMF_DNA_CLAMP_LOADER_ACTIVITY	9		Rejected!	
GOMF_DOUBLE_STRANDED_TELOMERIC_DNA_BINDING	9		Rejected!	
GOMF_SINGLE_STRANDED_DNA_BINDING	116	110		
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	1430		Rejected!	
GOMF_STEROID_HORMONE_RECEPTOR_ACTIVITY	26	21		
GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY	480	444		
GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY	258	243		
GOMF_TRANSCRIPTION_COREPRESSOR_ACTIVITY	182	165		
GOMF_TELOMERASE_ACTIVITY	7		Rejected!	
GOMF_RNA_BINDING	1938		Rejected!	
GOMF_RNA_HELICASE_ACTIVITY	77	73		
GOMF_DOUBLE_STRANDED_RNA_BINDING	76	73		
GOMF_DOUBLE_STRANDED_RNA_ADENOSINE_DEAMINASE_ACTIVITY	5		Rejected!	
GOMF_SINGLE_STRANDED_RNA_BINDING	88	79		
GOMF_MRNA_BINDING	538	261		
GOMF_MRNA_3_UTR_BINDING	164	77		
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	167	156		
GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY	51	50		
GOMF_TRANSLATION_ELONGATION_FACTOR_ACTIVITY	19	18		
GOMF_PROTEIN_DISULFIDE_ISOMERASE_ACTIVITY	19	17		
GOMF_MOTOR_ACTIVITY	129	106		
GOMF_MICROTUBULE_MOTOR_ACTIVITY	69	61		
GOMF_ACTIN_BINDING	439	376		
GOMF_ACTIN_MONOMER_BINDING	28	21		
GOMF_LYSOZYME_ACTIVITY	9		Rejected!	
GOMF_PROTEIN_GLUTAMINE_GAMMA_GLUTAMYLTRANSFERASE_ACTIVITY	9		Rejected!	
GOMF_ANTIGEN_BINDING	158	64		
GOMF_ALPHA_N_ACETYLNEURAMINATE_ALPHA_2_8_SIALYLTRANSFERASE_ACTIVITY	6		Rejected!	
GOMF_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY	7		Rejected!	
GOMF_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY	8		Rejected!	
GOMF_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY	6		Rejected!	
GOMF_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY	8		Rejected!	
GOMF_DNA_DIRECTED_DNA_POLYMERASE_ACTIVITY	24	23		
GOMF_DNA_APURINIC_OR_APYRIMIDINIC_SITE_ENDONUCLEASE_ACTIVITY	12		Rejected!	
GOMF_DNA_TOPOISOMERASE_ACTIVITY	7		Rejected!	
GOMF_GTPASE_ACTIVITY	322	267		
GOMF_N_ACETYLLACTOSAMINE_SYNTHASE_ACTIVITY	5		Rejected!	
GOMF_NADPLUS_ADP_RIBOSYLTRANSFERASE_ACTIVITY	24	22		
GOMF_NADPLUS_KINASE_ACTIVITY	17	16		
GOMF_NADPLUS_NUCLEOSIDASE_ACTIVITY	16		Rejected!	
GOMF_NAD_P_H_DEHYDROGENASE_QUINONE_ACTIVITY	48	47		
GOMF_NAD_P_PLUS_PROTEIN_ARGININE_ADP_RIBOSYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_RNA_DIRECTED_DNA_POLYMERASE_ACTIVITY	7		Rejected!	
GOMF_ACETYL_COA_C_ACETYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_ACETYL_COA_HYDROLASE_ACTIVITY	5		Rejected!	
GOMF_ACETYL_COA_C_ACYLTRANSFERASE_ACTIVITY	7		Rejected!	
GOMF_ACID_PHOSPHATASE_ACTIVITY	9		Rejected!	
GOMF_ACYL_COA_DEHYDROGENASE_ACTIVITY	11		Rejected!	
GOMF_ACYL_COA_OXIDASE_ACTIVITY	7		Rejected!	
GOMF_ADENOSINE_DEAMINASE_ACTIVITY	12		Rejected!	
GOMF_ADENYLATE_CYCLASE_ACTIVITY	10		Rejected!	
GOMF_ADENYLATE_KINASE_ACTIVITY	8		Rejected!	
GOMF_ALCOHOL_DEHYDROGENASE_ACTIVITY_ZINC_DEPENDENT	7		Rejected!	
GOMF_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY	5		Rejected!	
GOMF_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	16	15		
GOMF_ALDITOL_NADPPLUS_1_OXIDOREDUCTASE_ACTIVITY	12		Rejected!	
GOMF_ALDO_KETO_REDUCTASE_NADP_ACTIVITY	27	23		
GOMF_AMINOACYLASE_ACTIVITY	6		Rejected!	
GOMF_ARYL_SULFOTRANSFERASE_ACTIVITY	9		Rejected!	
GOMF_ARYLESTERASE_ACTIVITY	6		Rejected!	
GOMF_ARYLSULFATASE_ACTIVITY	14		Rejected!	
GOMF_CARBONATE_DEHYDRATASE_ACTIVITY	14		Rejected!	
GOMF_CARBONYL_REDUCTASE_NADPH_ACTIVITY	5		Rejected!	
GOMF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY	25	22		
GOMF_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	13		Rejected!	
GOMF_CYTIDINE_DEAMINASE_ACTIVITY	12		Rejected!	
GOMF_CYTOCHROME_B5_REDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H	6		Rejected!	
GOMF_DIACYLGLYCEROL_KINASE_ACTIVITY	11		Rejected!	
GOMF_DIACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_DOLICHYL_PHOSPHATE_MANNOSE_PROTEIN_MANNOSYLTRANSFERASE_ACTIVITY	8		Rejected!	
GOMF_ENDOPEPTIDASE_ACTIVITY	437	319		
GOMF_ATP_DEPENDENT_PEPTIDASE_ACTIVITY	7		Rejected!	
GOMF_AMINOPEPTIDASE_ACTIVITY	39	35		
GOMF_CARBOXYPEPTIDASE_ACTIVITY	42	32		
GOMF_METALLOCARBOXYPEPTIDASE_ACTIVITY	29	19		
GOMF_SERINE_TYPE_CARBOXYPEPTIDASE_ACTIVITY	5		Rejected!	
GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	117	89		
GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	16	16		
GOMF_METALLOENDOPEPTIDASE_ACTIVITY	107	76		
GOMF_THREONINE_TYPE_ENDOPEPTIDASE_ACTIVITY	14		Rejected!	
GOMF_ENOYL_COA_HYDRATASE_ACTIVITY	10		Rejected!	
GOMF_EPOXIDE_HYDROLASE_ACTIVITY	6		Rejected!	
GOMF_ESTRADIOL_17_BETA_DEHYDROGENASE_ACTIVITY	18		Rejected!	
GOMF_EXOPOLYPHOSPHATASE_ACTIVITY	5		Rejected!	
GOMF_FATTY_ACID_SYNTHASE_ACTIVITY	12		Rejected!	
