NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACAT2	ACAT2	203	0.14145955443382263	0.071820974	No	
row_1	ALDH9A1	ALDH9A1	561	0.09501603245735168	0.109032266	No	
row_2	HMGCS1	HMGCS1	670	0.08628294616937637	0.1536301	No	
row_3	ALDH5A1	ALDH5A1	1071	0.0678660199046135	0.17295991	No	
row_4	ABAT	ABAT	1183	0.06436742842197418	0.20470886	No	
row_5	BDH1	BDH1	1682	0.05141347274184227	0.20960651	No	
row_6	OXCT1	OXCT1	2184	0.04305923730134964	0.20951335	No	
row_7	ACSM5	ACSM5	3692	0.027283864095807076	0.14999177	No	
row_8	L2HGDH	L2HGDH	5227	0.017451230436563492	0.08342302	No	
row_9	PDHB	PDHB	5298	0.0170849971473217	0.08982376	No	
row_10	AACS	AACS	5921	0.01442251168191433	0.06708863	No	
row_11	ALDH1B1	ALDH1B1	6946	0.010617517866194248	0.02205372	No	
row_12	EHHADH	EHHADH	8827	0.0051973797380924225	-0.06891117	No	
row_13	ACAT1	ACAT1	9553	0.0034252756740897894	-0.10316734	No	
row_14	GAD1	GAD1	10433	0.0013848630478605628	-0.1463039	No	
row_15	OXCT2	OXCT2	10437	0.0013805272756144404	-0.14565392	No	
row_16	HMGCS2	HMGCS2	13592	-0.002114415867254138	-0.3020893	No	
row_17	AKR1B10	AKR1B10	15912	-0.009519127197563648	-0.41249448	No	
row_18	PDHA1	PDHA1	16639	-0.012988591566681862	-0.4412592	No	
row_19	ALDH7A1	ALDH7A1	16785	-0.013850883580744267	-0.4404815	No	
row_20	HADH	HADH	17998	-0.02440628781914711	-0.4869242	Yes	
row_21	HMGCL	HMGCL	18001	-0.024446871131658554	-0.4728585	Yes	
row_22	ACADS	ACADS	18351	-0.02997417375445366	-0.47293568	Yes	
row_23	ECHS1	ECHS1	18413	-0.031070861965417862	-0.45798096	Yes	
row_24	HADHA	HADHA	19090	-0.05032439902424812	-0.46261215	Yes	
row_25	ALDH3A2	ALDH3A2	19119	-0.05154947564005852	-0.43414158	Yes	
row_26	ACSM1	ACSM1	19588	-0.08487815409898758	-0.40835324	Yes	
row_27	BDH2	BDH2	19598	-0.08605092018842697	-0.3589411	Yes	
row_28	ACSM3	ACSM3	19949	-0.19492681324481964	-0.26348683	Yes	
row_29	ALDH2	ALDH2	20027	-0.46196699142456055	3.49913E-4	Yes	
