NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRB	UQCRB	63	0.20976197719573975	0.088347085	Yes	
row_1	UQCRH	UQCRH	130	0.16711127758026123	0.15793929	Yes	
row_2	COX7B	COX7B	158	0.15529267489910126	0.22432822	Yes	
row_3	COX5A	COX5A	330	0.11959198117256165	0.26793617	Yes	
row_4	ATP1B3	ATP1B3	360	0.11555244028568268	0.31688985	Yes	
row_5	TPM4	TPM4	406	0.10933437198400497	0.3623303	Yes	
row_6	ATP2A2	ATP2A2	473	0.10180622339248657	0.40343568	Yes	
row_7	SLC8A1	SLC8A1	739	0.0828666016459465	0.42631844	Yes	
row_8	UQCRC1	UQCRC1	759	0.08168931305408478	0.4610012	Yes	
row_9	TPM3	TPM3	1206	0.06354335695505142	0.46639496	Yes	
row_10	COX7A2	COX7A2	1265	0.061671845614910126	0.49039373	Yes	
row_11	UQCRC2	UQCRC2	1366	0.05881810933351517	0.51104534	Yes	
row_12	UQCRQ	UQCRQ	1627	0.05254342034459114	0.52095103	Yes	
row_13	COX8A	COX8A	1650	0.05197593942284584	0.5425224	Yes	
row_14	COX7A2L	COX7A2L	2138	0.043848667293787	0.5372728	Yes	
row_15	UQCRHL	UQCRHL	2159	0.04341990128159523	0.55521196	Yes	
row_16	FXYD2	FXYD2	2301	0.04138444364070892	0.5662066	Yes	
row_17	UQCRFS1	UQCRFS1	2336	0.04091249033808708	0.5823512	Yes	
row_18	MT-CO1	MT-CO1	2990	0.033580925315618515	0.5643136	Yes	
row_19	SLC9A6	SLC9A6	3529	0.028630360960960388	0.5498729	Yes	
row_20	COX7A1	COX7A1	3531	0.028627561405301094	0.56231046	Yes	
row_21	COX6B1	COX6B1	3935	0.02546808309853077	0.55324775	Yes	
row_22	CACNA1D	CACNA1D	4023	0.024725696071982384	0.5596786	Yes	
row_23	UQCR11	UQCR11	4055	0.024492528289556503	0.5688108	Yes	
row_24	CACNB4	CACNB4	4133	0.023960789665579796	0.5754085	Yes	
row_25	MT-CO2	MT-CO2	4203	0.02347745932638645	0.5821959	Yes	
row_26	COX7C	COX7C	4223	0.023271147161722183	0.591396	Yes	
row_27	ATP1B1	ATP1B1	4654	0.020507868379354477	0.5788181	No	
row_28	SLC9A1	SLC9A1	5407	0.01648499071598053	0.54836756	No	
row_29	COX4I1	COX4I1	5756	0.015070920810103416	0.53752255	No	
row_30	ATP1A1	ATP1A1	7369	0.009228616952896118	0.46085942	No	
row_31	CACNB2	CACNB2	7557	0.008694960735738277	0.45529196	No	
row_32	CYC1	CYC1	8450	0.006280698347836733	0.41338256	No	
row_33	COX6C	COX6C	8595	0.005896116606891155	0.40874657	No	
row_34	TPM2	TPM2	9135	0.004423050209879875	0.3836963	No	
row_35	CACNA2D4	CACNA2D4	9618	0.003272026078775525	0.36099705	No	
row_36	TNNT2	TNNT2	10650	9.88596584647894E-4	0.30982152	No	
row_37	ATP1B2	ATP1B2	10969	5.09698293171823E-4	0.29412633	No	
row_38	CACNA2D3	CACNA2D3	11107	3.6511357757262886E-4	0.28742805	No	
row_39	CACNG4	CACNG4	11229	2.4328441941179335E-4	0.2814775	No	
row_40	TNNC1	TNNC1	12724	-6.117087905295193E-4	0.2069621	No	
row_41	ATP1A3	ATP1A3	12741	-6.294440245255828E-4	0.20643578	No	
row_42	COX6B2	COX6B2	12840	-7.04412697814405E-4	0.20183766	No	
row_43	ATP1A4	ATP1A4	13312	-0.0015009851194918156	0.17891647	No	
row_44	COX5B	COX5B	13649	-0.0022383960895240307	0.16307439	No	
row_45	CACNG6	CACNG6	14165	-0.0035743913613259792	0.13885522	No	
row_46	CACNG8	CACNG8	14398	-0.004105835687369108	0.12903346	No	
row_47	CACNB1	CACNB1	14456	-0.004285749979317188	0.12804982	No	
row_48	UQCR10	UQCR10	14509	-0.00445530703291297	0.12739041	No	
row_49	CACNA1F	CACNA1F	15305	-0.0070489272475242615	0.09067146	No	
row_50	TPM1	TPM1	16293	-0.01125355251133442	0.04617604	No	
row_51	CACNA1C	CACNA1C	18107	-0.02575615607202053	-0.033338655	No	
row_52	MT-CO3	MT-CO3	18604	-0.03484847769141197	-0.042964667	No	
row_53	TNNI3	TNNI3	18883	-0.042881522327661514	-0.038174566	No	
row_54	MT-CYB	MT-CYB	19253	-0.057967595756053925	-0.031358764	No	
row_55	COX6A1	COX6A1	19392	-0.06645682454109192	-0.009277143	No	
row_56	CACNB3	CACNB3	19650	-0.094822458922863	0.019221336	No	
