NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	CDKN1A	17	0.3186032176017761	0.10597692	Yes	
row_1	MDM2	MDM2	45	0.23169496655464172	0.1823123	Yes	
row_2	TGFBR1	TGFBR1	68	0.20773717761039734	0.25086504	Yes	
row_3	BCL2L1	BCL2L1	340	0.11817403137683868	0.27691334	Yes	
row_4	MYC	MYC	477	0.10149788111448288	0.3041329	Yes	
row_5	CDK6	CDK6	838	0.07759899646043777	0.3121178	Yes	
row_6	HDAC2	HDAC2	861	0.07632021605968475	0.3366061	Yes	
row_7	NRAS	NRAS	983	0.07101411372423172	0.35435578	Yes	
row_8	CTBP1	CTBP1	1195	0.06397711485624313	0.3652374	Yes	
row_9	TP53	TP53	1232	0.06268330663442612	0.38445187	Yes	
row_10	PIK3CG	PIK3CG	1314	0.06014538183808327	0.40056106	Yes	
row_11	MAPK1	MAPK1	1577	0.05367860198020935	0.40543473	Yes	
row_12	IKBKB	IKBKB	1732	0.05065363273024559	0.41470435	Yes	
row_13	GAB2	GAB2	1953	0.04675805941224098	0.41936153	Yes	
row_14	TGFB1	TGFB1	2039	0.0454707108438015	0.4303499	Yes	
row_15	RB1	RB1	2081	0.04474346339702606	0.4432986	Yes	
row_16	RAF1	RAF1	2098	0.04443180188536644	0.45739517	Yes	
row_17	CBLB	CBLB	2157	0.04345215484499931	0.4690593	Yes	
row_18	CHUK	CHUK	2463	0.03924860432744026	0.4669404	Yes	
row_19	PIK3CB	PIK3CB	2588	0.037977010011672974	0.4734624	Yes	
row_20	CRK	CRK	2622	0.037639230489730835	0.4844298	Yes	
row_21	PIK3CD	PIK3CD	2651	0.03736606612801552	0.4955561	Yes	
row_22	ARAF	ARAF	2774	0.03577583655714989	0.5014402	Yes	
row_23	CRKL	CRKL	2798	0.035588014870882034	0.5122208	Yes	
row_24	E2F3	E2F3	3240	0.0311153382062912	0.5005619	No	
row_25	SMAD4	SMAD4	3669	0.027467595413327217	0.48833108	No	
row_26	SHC1	SHC1	3681	0.027349811047315598	0.4969505	No	
row_27	BRAF	BRAF	3797	0.026472706347703934	0.5000659	No	
row_28	CDK4	CDK4	3909	0.025648266077041626	0.5031053	No	
row_29	NFKB1	NFKB1	4300	0.02277430146932602	0.49120447	No	
row_30	E2F2	E2F2	4700	0.020303159952163696	0.47802418	No	
row_31	PIK3R5	PIK3R5	4996	0.018593687564134598	0.46948063	No	
row_32	PIK3CA	PIK3CA	5341	0.01680484414100647	0.4578826	No	
row_33	STAT5B	STAT5B	6124	0.013509848155081272	0.42323807	No	
row_34	CTBP2	CTBP2	6203	0.013220973312854767	0.42376366	No	
row_35	MAP2K1	MAP2K1	6377	0.01260243821889162	0.41932282	No	
row_36	AKT2	AKT2	6600	0.011823819950222969	0.41216627	No	
row_37	ABL1	ABL1	7029	0.010364512912929058	0.39420077	No	
row_38	STAT5A	STAT5A	7199	0.009791823104023933	0.3890179	No	
row_39	TGFB2	TGFB2	7483	0.008897410705685616	0.3778243	No	
row_40	TGFB3	TGFB3	7604	0.008554109372198582	0.3746811	No	
row_41	RELA	RELA	8343	0.006541811861097813	0.33990434	No	
row_42	SMAD3	SMAD3	8990	0.0047773635014891624	0.30914474	No	
row_43	PIK3R1	PIK3R1	9034	0.004662676248699427	0.30855402	No	
row_44	KRAS	KRAS	9416	0.003735656151548028	0.29072034	No	
row_45	CDKN1B	CDKN1B	10490	0.0012613659491762519	0.23739116	No	
row_46	SHC4	SHC4	10879	6.2149902805686E-4	0.21816263	No	
row_47	SHC2	SHC2	11764	0.0	0.17387849	No	
row_48	CBLC	CBLC	11905	0.0	0.16686516	No	
row_49	MAP2K2	MAP2K2	12002	-1.1985515448031947E-4	0.16209622	No	
row_50	SHC3	SHC3	12241	-2.6831767172552645E-4	0.15026352	No	
row_51	MECOM	MECOM	12514	-4.640929400920868E-4	0.13679324	No	
row_52	HRAS	HRAS	13015	-9.398608235642314E-4	0.11206079	No	
row_53	CBL	CBL	13167	-0.0011916820658370852	0.104896	No	
row_54	PIK3R3	PIK3R3	13633	-0.002212205436080694	0.0823435	No	
row_55	SOS1	SOS1	14666	-0.00495092524215579	0.032305334	No	
row_56	E2F1	E2F1	14954	-0.005858052056282759	0.019892238	No	
row_57	SOS2	SOS2	15116	-0.006355063058435917	0.013957784	No	
row_58	PTPN11	PTPN11	15514	-0.007866548374295235	-0.0032923273	No	
row_59	PIK3R2	PIK3R2	15841	-0.009242428466677666	-0.016524345	No	
row_60	IKBKG	IKBKG	16435	-0.011971382424235344	-0.042216748	No	
row_61	HDAC1	HDAC1	16647	-0.013026832602918148	-0.048418898	No	
row_62	TGFBR2	TGFBR2	16723	-0.01348128356039524	-0.047655724	No	
row_63	CCND1	CCND1	16748	-0.013648014515638351	-0.044281792	No	
row_64	RUNX1	RUNX1	17065	-0.015596337616443634	-0.054882374	No	
row_65	MAPK3	MAPK3	17666	-0.020693304017186165	-0.07800096	No	
row_66	BCR	BCR	18783	-0.03952030465006828	-0.12065592	No	
row_67	BAD	BAD	19118	-0.051548153162002563	-0.12010346	No	
row_68	AKT3	AKT3	19172	-0.054045420140028	-0.10463694	No	
row_69	AKT1	AKT1	19634	-0.0922473818063736	-0.096800014	No	
row_70	CDKN2A	CDKN2A	19706	-0.10353419184684753	-0.06564147	No	
row_71	NFKBIA	NFKBIA	19782	-0.1189255639910698	-0.029522542	No	
row_72	GRB2	GRB2	19809	-0.12554669380187988	0.011271132	No	
