NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBP1	FBP1	26	0.2776168882846832	0.19750425	Yes	
row_1	PHPT1	PHPT1	38	0.25274795293807983	0.37794945	Yes	
row_2	TPI1	TPI1	183	0.14541293680667877	0.47488275	Yes	
row_3	PFKP	PFKP	401	0.1102662906050682	0.54299814	Yes	
row_4	HK3	HK3	636	0.08848194777965546	0.5946638	Yes	
row_5	HK2	HK2	1072	0.06782141327857971	0.6214867	Yes	
row_6	PFKL	PFKL	1277	0.061357006430625916	0.6552276	Yes	
row_7	ALDOA	ALDOA	2057	0.04517997056245804	0.6486411	Yes	
row_8	MTMR2	MTMR2	2293	0.0415005125105381	0.6666129	Yes	
row_9	MTMR6	MTMR6	2324	0.04107755050063133	0.6945293	Yes	
row_10	GMPPA	GMPPA	2621	0.03763977810740471	0.70668715	Yes	
row_11	MTMR1	MTMR1	3310	0.03050665184855461	0.69414186	No	
row_12	SORD	SORD	5069	0.018159378319978714	0.61926794	No	
row_13	PFKFB2	PFKFB2	5237	0.017424587160348892	0.6233979	No	
row_14	PFKFB4	PFKFB4	6373	0.012610645964741707	0.5756927	No	
row_15	PFKFB1	PFKFB1	6512	0.012105087749660015	0.577463	No	
row_16	GMDS	GMDS	6788	0.011162998154759407	0.57171035	No	
row_17	PFKFB3	PFKFB3	8580	0.005944813601672649	0.48643985	No	
row_18	KHK	KHK	8707	0.0055518439039587975	0.48411715	No	
row_19	AKR1B1	AKR1B1	9249	0.004163615871220827	0.46005553	No	
row_20	GMPPB	GMPPB	9542	0.0034483233466744423	0.44792855	No	
row_21	ALDOC	ALDOC	10033	0.002306021749973297	0.42508602	No	
row_22	PMM1	PMM1	10974	5.02515584230423E-4	0.37845764	No	
row_23	FPGT	FPGT	12202	-2.4022509751375765E-4	0.31729499	No	
row_24	MTMR7	MTMR7	13427	-0.0017489694291725755	0.25736275	No	
row_25	AKR1B10	AKR1B10	15912	-0.009519127197563648	0.14001052	No	
row_26	PMM2	PMM2	16277	-0.01114596240222454	0.1297968	No	
row_27	MPI	MPI	16694	-0.013320447877049446	0.11854088	No	
row_28	PFKM	PFKM	17304	-0.01725585013628006	0.10045557	No	
row_29	HK1	HK1	19086	-0.05021639168262482	0.04738823	No	
