NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GK	GK	137	0.16514717042446136	0.05831917	No	
row_1	DGKH	DGKH	300	0.1229674369096756	0.098742336	No	
row_2	ALDH9A1	ALDH9A1	561	0.09501603245735168	0.12323279	No	
row_3	PNPLA3	PNPLA3	694	0.08526896685361862	0.15027963	No	
row_4	AKR1A1	AKR1A1	716	0.08392108976840973	0.18234704	No	
row_5	GPAT4	GPAT4	1126	0.06593567132949829	0.18790813	No	
row_6	PLPP3	PLPP3	1268	0.06164374575018883	0.20518151	No	
row_7	GLA	GLA	1623	0.052607692778110504	0.20823418	No	
row_8	GPAT3	GPAT3	1929	0.04730832949280739	0.21164666	No	
row_9	GPAT2	GPAT2	2744	0.03613940253853798	0.18519008	No	
row_10	DGKE	DGKE	2802	0.03550473973155022	0.19635008	No	
row_11	CEL	CEL	4438	0.021866487339138985	0.12319248	No	
row_12	DGKD	DGKD	4551	0.021135251969099045	0.12593059	No	
row_13	DGKG	DGKG	4580	0.02098972536623478	0.13281317	No	
row_14	AGPAT4	AGPAT4	5509	0.016071710735559464	0.09273468	No	
row_15	LIPG	LIPG	6262	0.013012795709073544	0.060253013	No	
row_16	ALDH1B1	ALDH1B1	6946	0.010617517866194248	0.030277641	No	
row_17	DGKQ	DGKQ	7312	0.009456089697778225	0.015751095	No	
row_18	GLYCTK	GLYCTK	7386	0.009178640320897102	0.015721632	No	
row_19	MBOAT2	MBOAT2	7729	0.008205036632716656	0.0018518978	No	
row_20	AGPAT3	AGPAT3	8353	0.006512676831334829	-0.026742019	No	
row_21	AKR1B1	AKR1B1	9249	0.004163615871220827	-0.06986907	No	
row_22	DGKI	DGKI	9598	0.0033169114030897617	-0.08596795	No	
row_23	LCLAT1	LCLAT1	9774	0.002890103729441762	-0.09358136	No	
row_24	GPAM	GPAM	9794	0.0028546254616230726	-0.09340527	No	
row_25	MBOAT1	MBOAT1	11436	4.2928381844831165E-6	-0.17549051	No	
row_26	DGKB	DGKB	12479	-4.402892664074898E-4	-0.22744022	No	
row_27	AGK	AGK	13921	-0.0028697086963802576	-0.29839018	No	
row_28	DGAT1	DGAT1	14288	-0.0038515478372573853	-0.31517848	No	
row_29	PLPP2	PLPP2	14712	-0.00509214773774147	-0.33432847	No	
row_30	DGKA	DGKA	16495	-0.01226215623319149	-0.41862956	No	
row_31	ALDH7A1	ALDH7A1	16785	-0.013850883580744267	-0.42762008	No	
row_32	DGKZ	DGKZ	17138	-0.01615222357213497	-0.43885383	No	
row_33	LIPC	LIPC	17359	-0.017589157447218895	-0.44291753	No	
row_34	AGPAT1	AGPAT1	17484	-0.0187819916754961	-0.44170836	No	
row_35	AWAT2	AWAT2	18241	-0.027749355882406235	-0.4685746	No	
row_36	TKFC	TKFC	18538	-0.03327428922057152	-0.4702502	No	
row_37	ALDH3A2	ALDH3A2	19119	-0.05154947564005852	-0.47892022	Yes	
row_38	PLPP1	PLPP1	19703	-0.10247216373682022	-0.4676446	Yes	
row_39	AGPAT2	AGPAT2	19851	-0.13825388252735138	-0.4204386	Yes	
row_40	DGAT2	DGAT2	19891	-0.15532945096492767	-0.3610916	Yes	
row_41	LPL	LPL	19906	-0.16488352417945862	-0.29672372	Yes	
row_42	MGLL	MGLL	20011	-0.30590546131134033	-0.18120615	Yes	
row_43	ALDH2	ALDH2	20027	-0.46196699142456055	3.501685E-4	Yes	
