NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DRB5	HLA-DRB5	533	0.09690603613853455	0.010881102	No	
row_1	IL1A	IL1A	572	0.0937618836760521	0.0452921	No	
row_2	IL1B	IL1B	617	0.09023220092058182	0.07803621	No	
row_3	HLA-DQA2	HLA-DQA2	771	0.08100058883428574	0.10175577	No	
row_4	CD86	CD86	1343	0.05928129702806473	0.09616627	No	
row_5	FAS	FAS	1559	0.054014526307582855	0.10633534	No	
row_6	HLA-DMB	HLA-DMB	3140	0.032088909298181534	0.039770193	No	
row_7	HLA-G	HLA-G	4608	0.020818214863538742	-0.02551028	No	
row_8	HLA-DOB	HLA-DOB	4928	0.018937336280941963	-0.034124896	No	
row_9	HLA-DOA	HLA-DOA	5000	0.018569400534033775	-0.030483238	No	
row_10	TNF	TNF	6434	0.012368878349661827	-0.097336024	No	
row_11	IL6	IL6	6479	0.012248009443283081	-0.09479257	No	
row_12	CD28	CD28	7615	0.008510514162480831	-0.14824106	No	
row_13	IFNG	IFNG	8240	0.006850058678537607	-0.17678514	No	
row_14	GZMB	GZMB	8470	0.006216264795511961	-0.18582664	No	
row_15	KIR3DL2	KIR3DL2	12213	-2.480395487509668E-4	-0.37281188	No	
row_16	PRF1	PRF1	12766	-6.490122177638113E-4	-0.40015778	No	
row_17	FASLG	FASLG	13727	-0.0023924801498651505	-0.44722643	No	
row_18	KLRD1	KLRD1	15968	-0.009746810421347618	-0.55544066	No	
row_19	KLRC1	KLRC1	17040	-0.01541207917034626	-0.60301673	No	
row_20	CD80	CD80	18512	-0.032857004553079605	-0.6638349	No	
row_21	HLA-DMA	HLA-DMA	19203	-0.05550689622759819	-0.67683554	Yes	
row_22	HLA-DQB1	HLA-DQB1	19606	-0.08723927289247513	-0.6631487	Yes	
row_23	HLA-DRA	HLA-DRA	19799	-0.12240268290042877	-0.62534535	Yes	
row_24	HLA-DPB1	HLA-DPB1	19805	-0.12495976686477661	-0.5772026	Yes	
row_25	HLA-DPA1	HLA-DPA1	19824	-0.1297379434108734	-0.5278594	Yes	
row_26	HLA-DQA1	HLA-DQA1	19889	-0.1540834754705429	-0.47138774	Yes	
row_27	HLA-A	HLA-A	19903	-0.16308899223804474	-0.4088788	Yes	
row_28	HLA-F	HLA-F	19934	-0.18217983841896057	-0.33982655	Yes	
row_29	HLA-DRB1	HLA-DRB1	19939	-0.1859540045261383	-0.26801282	Yes	
row_30	HLA-B	HLA-B	19970	-0.22170399129390717	-0.1836542	Yes	
row_31	HLA-E	HLA-E	19987	-0.239887073636055	-0.09155396	Yes	
row_32	HLA-C	HLA-C	19988	-0.24234934151172638	0.0022997535	Yes	
