NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TPI1	TPI1	183	0.14541293680667877	0.100662835	Yes	
row_1	PTEN	PTEN	517	0.09833597391843796	0.15826522	Yes	
row_2	ITPKB	ITPKB	559	0.09503290802240372	0.22798546	Yes	
row_3	INPP1	INPP1	1167	0.06463144719600677	0.24642143	Yes	
row_4	PIK3CG	PIK3CG	1314	0.06014538183808327	0.28453898	Yes	
row_5	ALDH6A1	ALDH6A1	1507	0.05538840591907501	0.31676194	Yes	
row_6	SYNJ1	SYNJ1	1966	0.04651738703250885	0.32897392	Yes	
row_7	PIP4K2B	PIP4K2B	2449	0.03947345167398453	0.33466506	Yes	
row_8	PIK3C3	PIK3C3	2450	0.03946034237742424	0.36446682	Yes	
row_9	PIK3CB	PIK3CB	2588	0.037977010011672974	0.38629246	Yes	
row_10	PLCG2	PLCG2	2598	0.037872765213251114	0.41444483	Yes	
row_11	PIK3CD	PIK3CD	2651	0.03736606612801552	0.4400627	Yes	
row_12	INPP5B	INPP5B	2829	0.03523312509059906	0.4578144	Yes	
row_13	PIP4K2C	PIP4K2C	2915	0.03427153825759888	0.47944376	Yes	
row_14	IMPA1	IMPA1	3079	0.03272469341754913	0.4960016	Yes	
row_15	IPPK	IPPK	3092	0.03264522925019264	0.52005583	Yes	
row_16	ITPK1	ITPK1	3437	0.02942981943488121	0.52506757	Yes	
row_17	PI4KA	PI4KA	3746	0.02688235230743885	0.5299569	Yes	
row_18	IPMK	IPMK	3752	0.026820890605449677	0.5499627	Yes	
row_19	MINPP1	MINPP1	4177	0.023650962859392166	0.54660666	Yes	
row_20	PLCB2	PLCB2	4664	0.020464060828089714	0.5377411	Yes	
row_21	ISYNA1	ISYNA1	4688	0.020338524132966995	0.55195045	Yes	
row_22	PIKFYVE	PIKFYVE	4772	0.01990102045238018	0.5628268	Yes	
row_23	OCRL	OCRL	5289	0.017152132466435432	0.5499587	Yes	
row_24	PIK3CA	PIK3CA	5341	0.01680484414100647	0.5600981	Yes	
row_25	SYNJ2	SYNJ2	5611	0.01567789725959301	0.55847716	Yes	
row_26	PIK3C2B	PIK3C2B	5636	0.015586389228701591	0.5690475	Yes	
row_27	INPPL1	INPPL1	5761	0.015055839903652668	0.57421285	Yes	
row_28	INPP4A	INPP4A	5833	0.014807318337261677	0.58184284	Yes	
row_29	PI4KB	PI4KB	5849	0.014752712100744247	0.5922339	Yes	
row_30	PLCB3	PLCB3	6321	0.012757277116179466	0.57829857	No	
row_31	PIP5K1C	PIP5K1C	6384	0.012584193609654903	0.5846999	No	
row_32	ITPKA	ITPKA	6804	0.01111834030598402	0.5721291	No	
row_33	PIK3C2A	PIK3C2A	7441	0.009028874337673187	0.5471209	No	
row_34	PIP5K1A	PIP5K1A	7522	0.008793392218649387	0.54975855	No	
row_35	INPP5K	INPP5K	8160	0.007059622555971146	0.52321315	No	
row_36	PLCD1	PLCD1	8883	0.005069614388048649	0.49091116	No	
row_37	PLCB4	PLCB4	8951	0.004887542221695185	0.49124953	No	
row_38	MIOX	MIOX	9332	0.003950849641114473	0.4752172	No	
row_39	PLCD3	PLCD3	10441	0.0013751656515523791	0.42080864	No	
row_40	PLCG1	PLCG1	11248	2.2911684936843812E-4	0.3806474	No	
row_41	CDIPT	CDIPT	11952	-2.5111394279520027E-5	0.34548643	No	
row_42	PLCD4	PLCD4	12273	-2.9268069192767143E-4	0.32969388	No	
row_43	INPP5A	INPP5A	12455	-4.268025222700089E-4	0.3209585	No	
row_44	PLCB1	PLCB1	13525	-0.0019306642934679985	0.26892114	No	
row_45	INPP4B	INPP4B	13751	-0.0024474486708641052	0.25950995	No	
row_46	PIP5K1B	PIP5K1B	14601	-0.00476422905921936	0.22062194	No	
row_47	PLCE1	PLCE1	14791	-0.005310597829520702	0.21517465	No	
row_48	IMPA2	IMPA2	15640	-0.008406737819314003	0.17908761	No	
row_49	PIP4K2A	PIP4K2A	16296	-0.011265432462096214	0.15481777	No	
row_50	INPP5E	INPP5E	16929	-0.014774770475924015	0.13434929	No	
row_51	INPP5J	INPP5J	18243	-0.027783121913671494	0.08962616	No	
