NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIPA	LIPA	0	0.5040951371192932	0.057391603	Yes	
row_1	ATP6V0D2	ATP6V0D2	7	0.37964504957199097	0.100313194	Yes	
row_2	DNASE2B	DNASE2B	12	0.33673545718193054	0.13844992	Yes	
row_3	ACP5	ACP5	27	0.2760949730873108	0.16918054	Yes	
row_4	HEXB	HEXB	35	0.258061021566391	0.1982095	Yes	
row_5	ATP6AP1	ATP6AP1	76	0.19738760590553284	0.21867368	Yes	
row_6	LGMN	LGMN	79	0.1955254077911377	0.24083397	Yes	
row_7	LAPTM5	LAPTM5	96	0.18143141269683838	0.26068664	Yes	
row_8	GM2A	GM2A	120	0.17148621380329132	0.27905557	Yes	
row_9	FUCA1	FUCA1	133	0.16593827307224274	0.29734522	Yes	
row_10	TPP1	TPP1	152	0.15643469989299774	0.31425157	Yes	
row_11	M6PR	M6PR	159	0.15508493781089783	0.33160684	Yes	
row_12	ATP6V0A1	ATP6V0A1	194	0.14358629286289215	0.346247	Yes	
row_13	NPC2	NPC2	196	0.1430658996105194	0.36248493	Yes	
row_14	ASAH1	ASAH1	202	0.14201560616493225	0.37840244	Yes	
row_15	TCIRG1	TCIRG1	251	0.13200296461582184	0.39102083	Yes	
row_16	CLTC	CLTC	305	0.12214566767215729	0.4022659	Yes	
row_17	SORT1	SORT1	415	0.1086687296628952	0.40916464	Yes	
row_18	AP1S2	AP1S2	430	0.10618378967046738	0.42055076	Yes	
row_19	NPC1	NPC1	455	0.1037982925772667	0.43116316	Yes	
row_20	AP3S1	AP3S1	470	0.10210852324962616	0.4420853	Yes	
row_21	ATP6V1H	ATP6V1H	551	0.09542562067508698	0.4489325	Yes	
row_22	ATP6V0B	ATP6V0B	610	0.09068027883768082	0.45634413	Yes	
row_23	MCOLN1	MCOLN1	833	0.07791392505168915	0.45406732	Yes	
row_24	ATP6V0D1	ATP6V0D1	860	0.07638057321310043	0.46145776	Yes	
row_25	CTSK	CTSK	894	0.074739970266819	0.4683099	Yes	
row_26	GGA1	GGA1	946	0.07273542135953903	0.47403002	Yes	
row_27	GBA	GBA	995	0.07061699032783508	0.47965956	Yes	
row_28	GNS	GNS	999	0.07037566602230072	0.48752123	Yes	
row_29	AP3B1	AP3B1	1102	0.06681005656719208	0.49000585	Yes	
row_30	SLC11A2	SLC11A2	1106	0.06664726138114929	0.49744305	Yes	
row_31	SLC17A5	SLC17A5	1255	0.06199966371059418	0.49707016	Yes	
row_32	NEU1	NEU1	1323	0.059848178178071976	0.50051963	Yes	
row_33	AP4E1	AP4E1	1615	0.052830059081315994	0.4919223	Yes	
row_34	GLA	GLA	1623	0.052607692778110504	0.4975602	Yes	
row_35	CTSG	CTSG	1702	0.05112653598189354	0.49946436	Yes	
