NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAC2	RAC2	58	0.21497571468353271	0.022749372	Yes	
row_1	TGFBR1	TGFBR1	68	0.20773717761039734	0.047108013	Yes	
row_2	MAP4K4	MAP4K4	119	0.17175422608852386	0.06509872	Yes	
row_3	RPS6KA1	RPS6KA1	122	0.17028960585594177	0.08533787	Yes	
row_4	PRKCB	PRKCB	139	0.1644749641418457	0.10417568	Yes	
row_5	GADD45A	GADD45A	168	0.150201216340065	0.120702714	Yes	
row_6	MRAS	MRAS	311	0.12173357605934143	0.12807392	Yes	
row_7	RASGRP3	RASGRP3	377	0.11399111151695251	0.13840784	Yes	
row_8	PRKACB	PRKACB	394	0.11139995604753494	0.15090613	Yes	
row_9	MAP3K2	MAP3K2	429	0.10642515867948532	0.16190146	Yes	
row_10	PRKX	PRKX	434	0.10525844991207123	0.17427203	Yes	
row_11	RPS6KA2	RPS6KA2	453	0.10381671041250229	0.18576357	Yes	
row_12	MYC	MYC	477	0.10149788111448288	0.19672571	Yes	
row_13	DDIT3	DDIT3	532	0.09702527523040771	0.20558852	Yes	
row_14	IL1A	IL1A	572	0.0937618836760521	0.21481885	Yes	
row_15	IL1B	IL1B	617	0.09023220092058182	0.22337514	Yes	
row_16	HSPA8	HSPA8	661	0.08668504655361176	0.23155822	Yes	
row_17	MAP3K20	MAP3K20	688	0.08542857319116592	0.24044952	Yes	
row_18	ATF4	ATF4	698	0.0851021483540535	0.2501601	Yes	
row_19	DUSP14	DUSP14	730	0.08328139036893845	0.25854248	Yes	
row_20	LAMTOR3	LAMTOR3	744	0.08263955265283585	0.26775697	Yes	
row_21	RPS6KA3	RPS6KA3	826	0.07816403359174728	0.27300376	Yes	
row_22	DUSP5	DUSP5	968	0.07165304571390152	0.27444363	Yes	
row_23	NRAS	NRAS	983	0.07101411372423172	0.28221902	Yes	
row_24	PPP3CB	PPP3CB	984	0.07097884267568588	0.29069704	Yes	
row_25	CHP1	CHP1	1073	0.06776681542396545	0.29434854	Yes	
row_26	CDC25B	CDC25B	1085	0.06741723418235779	0.3018458	Yes	
row_27	PPM1A	PPM1A	1105	0.06671690940856934	0.30885547	Yes	
row_28	DUSP3	DUSP3	1184	0.06436481326818466	0.3126055	Yes	
row_29	TP53	TP53	1232	0.06268330663442612	0.31771976	Yes	
row_30	MAX	MAX	1267	0.06166514381766319	0.32336873	Yes	
row_31	MAP3K3	MAP3K3	1302	0.06060640141367912	0.32889128	Yes	
row_32	TAB2	TAB2	1309	0.060406140983104706	0.3358035	Yes	
row_33	TAOK3	TAOK3	1452	0.056852150708436966	0.335425	Yes	
row_34	CD14	CD14	1521	0.055077336728572845	0.33857054	Yes	
row_35	FAS	FAS	1559	0.054014526307582855	0.34315425	Yes	
row_36	MAPK1	MAPK1	1577	0.05367860198020935	0.34870756	Yes	
row_37	PTPN7	PTPN7	1657	0.05189282447099686	0.35091737	Yes	
row_38	IKBKB	IKBKB	1732	0.05065363273024559	0.3532316	Yes	
row_39	MAPKAPK5	MAPKAPK5	1746	0.050270698964595795	0.35857984	Yes	
row_40	MAP3K7	MAP3K7	1839	0.04876098036766052	0.35975924	Yes	
row_41	MAP3K11	MAP3K11	1897	0.0477866493165493	0.3625893	Yes	
row_42	TGFB1	TGFB1	2039	0.0454707108438015	0.36090183	Yes	
row_43	MAPKAPK2	MAPKAPK2	2040	0.045451682060956955	0.36633077	Yes	
row_44	RAF1	RAF1	2098	0.04443180188536644	0.36876014	Yes	
row_45	ELK4	ELK4	2178	0.043178740888834	0.3699291	Yes	
row_46	ECSIT	ECSIT	2215	0.042521435767412186	0.3731905	Yes	
row_47	JUND	JUND	2266	0.04178369790315628	0.37565696	Yes	
row_48	NLK	NLK	2274	0.041667625308036804	0.38028052	Yes	
row_49	RASA2	RASA2	2298	0.04139737784862518	0.384064	Yes	
row_50	GNA12	GNA12	2302	0.041345808655023575	0.38885105	Yes	
row_51	RAP1A	RAP1A	2354	0.04067070782184601	0.39113408	Yes	
row_52	HSPB1	HSPB1	2415	0.039921313524246216	0.39287323	Yes	
row_53	MAP2K3	MAP2K3	2455	0.0394086018204689	0.39561138	Yes	
row_54	CHUK	CHUK	2463	0.03924860432744026	0.39994597	Yes	
row_55	PDGFA	PDGFA	2467	0.03920494019985199	0.40447733	Yes	
row_56	IL1R1	IL1R1	2546	0.03839622065424919	0.40512553	Yes	
row_57	PPP3R1	PPP3R1	2576	0.03811287507414818	0.40821376	Yes	
row_58	PAK1	PAK1	2600	0.037831082940101624	0.41157126	Yes	
