NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIMS1	LIMS1	21	0.29436713457107544	0.2602791	Yes	
row_1	ACTG1	ACTG1	52	0.220248281955719	0.4543086	Yes	
row_2	ACTB	ACTB	69	0.20709221065044403	0.637358	Yes	
row_3	RSU1	RSU1	482	0.10019123554229736	0.7057226	Yes	
row_4	PARVB	PARVB	486	0.09984523802995682	0.79421157	Yes	
row_5	FBLIM1	FBLIM1	3163	0.03182762861251831	0.6887873	No	
row_6	FERMT2	FERMT2	4281	0.02288525179028511	0.65330416	No	
row_7	PXN	PXN	4744	0.02007293701171875	0.64804494	No	
row_8	ITGB1	ITGB1	5397	0.01652548462152481	0.63014495	No	
row_9	FLNA	FLNA	6481	0.012238620780408382	0.58690864	No	
row_10	LIMS2	LIMS2	7065	0.010276898741722107	0.5669083	No	
row_11	PARVA	PARVA	13681	-0.002298008883371949	0.23849578	No	
row_12	VASP	VASP	14895	-0.005646859295666218	0.1829134	No	
row_13	TESK1	TESK1	16135	-0.010522785596549511	0.13036083	No	
row_14	ARHGEF6	ARHGEF6	16713	-0.013437623158097267	0.113466196	No	
row_15	ILK	ILK	17083	-0.015729235485196114	0.108996615	No	
row_16	ACTN1	ACTN1	18895	-0.04322175309062004	0.056898687	No	
