NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TREM2	TREM2	5	0.3989238739013672	0.062313624	No	
row_1	CRTAM	CRTAM	93	0.18461477756500244	0.08689908	No	
row_2	FCGR2B	FCGR2B	138	0.16456802189350128	0.110499606	No	
row_3	LILRB4	LILRB4	191	0.14388729631900787	0.130455	No	
row_4	LILRB3	LILRB3	238	0.13386724889278412	0.1491402	No	
row_5	CD22	CD22	336	0.11887319386005402	0.16291305	No	
row_6	HCST	HCST	441	0.10480546951293945	0.17412814	No	
row_7	TREML1	TREML1	1024	0.069704070687294	0.15583734	No	
row_8	ICAM1	ICAM1	1078	0.06757084280252457	0.16377355	No	
row_9	SLAMF7	SLAMF7	1100	0.06691452115774155	0.17321357	No	
row_10	LILRA5	LILRA5	1128	0.0658997893333435	0.18219317	No	
row_11	LILRB5	LILRB5	1371	0.05872191861271858	0.17925172	No	
row_12	ICAM4	ICAM4	1397	0.05807024985551834	0.18710381	No	
row_13	CLEC2B	CLEC2B	1881	0.04798149690032005	0.17037706	No	
row_14	CD300LF	CD300LF	2033	0.0455029271543026	0.1699316	No	
row_15	COL1A1	COL1A1	2237	0.042128100991249084	0.16634591	No	
row_16	SIGLEC10	SIGLEC10	2394	0.04021035134792328	0.16481934	No	
row_17	LILRA2	LILRA2	2614	0.03768150880932808	0.1597329	No	
row_18	CLEC2D	CLEC2D	2852	0.0349283441901207	0.15331085	No	
row_19	MICB	MICB	2951	0.033866997808218	0.15370166	No	
row_20	LILRB2	LILRB2	3008	0.03340018913149834	0.15612812	No	
row_21	CD1D	CD1D	3114	0.03239932656288147	0.15593728	No	
row_22	CD226	CD226	3447	0.02935643494129181	0.14387135	No	
row_23	NPDC1	NPDC1	4490	0.021501678973436356	0.094923794	No	
row_24	NCR3LG1	NCR3LG1	4508	0.02140215039253235	0.09742679	No	
row_25	NCR3	NCR3	4553	0.021117106080055237	0.098529376	No	
row_26	MADCAM1	MADCAM1	4589	0.020947441458702087	0.10005726	No	
row_27	HLA-G	HLA-G	4608	0.020818214863538742	0.10241846	No	
row_28	CD1C	CD1C	4715	0.020213119685649872	0.1002662	No	
row_29	TREML4	TREML4	4727	0.020151503384113312	0.10287432	No	
row_30	CLEC4G	CLEC4G	4896	0.019145283848047256	0.09744152	No	
row_31	MICA	MICA	5061	0.018199313431978226	0.09206119	No	
row_32	ITGB1	ITGB1	5397	0.01652548462152481	0.0778323	No	
row_33	CD1B	CD1B	5629	0.015621505677700043	0.06868356	No	
row_34	CD300LB	CD300LB	5674	0.015438445843756199	0.06889555	No	
row_35	SIGLEC6	SIGLEC6	5726	0.015196151100099087	0.06871806	No	
row_36	CD200R1	CD200R1	5825	0.014820564538240433	0.06612176	No	
row_37	KLRG1	KLRG1	5827	0.014819341711699963	0.06839572	No	
