NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCN1	FCN1	128	0.16759800910949707	0.06846527	No	
row_1	C1S	C1S	2899	0.03447355702519417	-0.054519042	No	
row_2	IGHG4	IGHG4	11105	3.6729953717440367E-4	-0.46425655	No	
row_3	IGHG2	IGHG2	12209	-2.4344313715118915E-4	-0.519251	No	
row_4	COLEC11	COLEC11	12392	-3.8318586302921176E-4	-0.52817214	No	
row_5	IGHG1	IGHG1	12425	-4.0563361835666E-4	-0.5295896	No	
row_6	GZMM	GZMM	14195	-0.0036388575099408627	-0.6163391	No	
row_7	CFB	CFB	15112	-0.00634203664958477	-0.6592675	No	
row_8	C3	C3	15145	-0.0064557078294456005	-0.6579826	No	
row_9	C1R	C1R	15434	-0.007530817296355963	-0.6690066	No	
row_10	IGLC2	IGLC2	15851	-0.00928855687379837	-0.6856401	No	
row_11	IGLC3	IGLC3	16185	-0.01075672172009945	-0.6974713	No	
row_12	CFP	CFP	18448	-0.03170950338244438	-0.7963118	Yes	
row_13	C2	C2	19996	-0.2555970847606659	-0.75943035	Yes	
row_14	C1QB	C1QB	20003	-0.27799907326698303	-0.6355582	Yes	
row_15	C1QA	C1QA	20013	-0.3088509142398834	-0.4980555	Yes	
row_16	C1QC	C1QC	20026	-0.455306738615036	-0.2952863	Yes	
row_17	CFD	CFD	20034	-0.6618772745132446	1.1927841E-7	Yes	
