NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD44	CD44	307	0.12207717448472977	-0.001443093	No	
row_1	PTPN6	PTPN6	524	0.09792471677064896	-0.0010764056	No	
row_2	HLA-DRB5	HLA-DRB5	533	0.09690603613853455	0.009650292	No	
row_3	RANBP2	RANBP2	618	0.09008166939020157	0.015765075	No	
row_4	KPNA3	KPNA3	708	0.08452963829040527	0.020990355	No	
row_5	KPNA4	KPNA4	733	0.083070769906044	0.029322147	No	
row_6	KPNB1	KPNB1	763	0.08140767365694046	0.037211083	No	
row_7	HLA-DQA2	HLA-DQA2	771	0.08100058883428574	0.04616141	No	
row_8	PTAFR	PTAFR	846	0.07729751616716385	0.051311634	No	
row_9	NUP58	NUP58	991	0.07068463414907455	0.052176453	No	
row_10	TRIM38	TRIM38	992	0.07067392766475677	0.060293354	No	
row_11	MT2A	MT2A	1006	0.07010799646377563	0.06769045	No	
row_12	UBA52	UBA52	1012	0.06998836249113083	0.07547676	No	
row_13	IFNGR2	IFNGR2	1029	0.069530189037323	0.082656376	No	
row_14	ICAM1	ICAM1	1078	0.06757084280252457	0.08799912	No	
row_15	PIAS1	PIAS1	1166	0.06474117934703827	0.091052435	No	
row_16	SOCS3	SOCS3	1223	0.06289687752723694	0.09545541	No	
row_17	UBC	UBC	1256	0.06198698282241821	0.100962766	No	
row_18	NUP210	NUP210	1332	0.05971788614988327	0.1040436	No	
row_19	ABCE1	ABCE1	1372	0.05868354067206383	0.10881897	No	
row_20	IRF5	IRF5	1378	0.05858560651540756	0.11529568	No	
row_21	KPNA2	KPNA2	1399	0.05805139243602753	0.120955475	No	
row_22	SEH1L	SEH1L	1401	0.0579434372484684	0.12755992	No	
row_23	IFNAR2	IFNAR2	1463	0.05650153011083603	0.13097653	No	
row_24	RSAD2	RSAD2	1487	0.055803392082452774	0.13622703	No	
row_25	EIF4E3	EIF4E3	1534	0.05472613871097565	0.1401953	No	
row_26	TRIM22	TRIM22	1648	0.052014779299497604	0.14047736	No	
row_27	IFNAR1	IFNAR1	1748	0.05026383325457573	0.14126351	No	
row_28	KPNA1	KPNA1	1772	0.049870654940605164	0.14583264	No	
row_29	PDE12	PDE12	1837	0.04879046604037285	0.14821254	No	
row_30	IFNGR1	IFNGR1	1907	0.04767477512359619	0.15021244	No	
row_31	IFIT5	IFIT5	2297	0.041414033621549606	0.13537481	No	
row_32	OAS3	OAS3	2379	0.040436115115880966	0.13593893	No	
row_33	STAT2	STAT2	2491	0.03897439315915108	0.13482404	No	
row_34	EIF4G2	EIF4G2	2508	0.03876126930117607	0.13846985	No	
row_35	TRIM46	TRIM46	2520	0.03866567835211754	0.14235653	No	
row_36	EIF4E	EIF4E	2528	0.03857981786131859	0.14643483	No	
row_37	ARIH1	ARIH1	2778	0.03575729578733444	0.13799937	No	
row_38	NUP62	NUP62	2992	0.033567532896995544	0.13112575	No	
row_39	NDC1	NDC1	3005	0.03342282399535179	0.13435991	No	
row_40	STAT1	STAT1	3034	0.033177558332681656	0.13675998	No	
row_41	PTPN2	PTPN2	3089	0.03266622871160507	0.13779171	No	
row_42	EIF4A1	EIF4A1	3149	0.03195685148239136	0.13849011	No	
row_43	CIITA	CIITA	3213	0.0313885360956192	0.13892177	No	
row_44	EIF4A2	EIF4A2	3326	0.030394917353987694	0.13677116	No	
row_45	TRIM35	TRIM35	3464	0.029176052659749985	0.13322131	No	
row_46	TRIM26	TRIM26	3509	0.028815031051635742	0.13431442	No	
row_47	NUP155	NUP155	3517	0.02875552885234356	0.1372644	No	
row_48	IFI6	IFI6	3582	0.028126874938607216	0.13727108	No	
row_49	PPM1B	PPM1B	3686	0.02731293998658657	0.13521984	No	
row_50	NUP153	NUP153	3848	0.02609836310148239	0.13010763	No	
row_51	FLNB	FLNB	3948	0.025324061512947083	0.12802945	No	
row_52	RAE1	RAE1	4108	0.02414310909807682	0.12279342	No	
row_53	TRIM8	TRIM8	4127	0.024002712219953537	0.12464347	No	
row_54	TYK2	TYK2	4186	0.02359629236161709	0.12443203	No	
row_55	NUP133	NUP133	4194	0.02355794608592987	0.12678507	No	
row_56	SAMHD1	SAMHD1	4255	0.023016341030597687	0.12640628	No	
row_57	NUP98	NUP98	4265	0.022965123876929283	0.1285905	No	
row_58	SEC13	SEC13	4473	0.021626727655529976	0.12064769	No	
row_59	HLA-G	HLA-G	4608	0.020818214863538742	0.11628905	No	
row_60	NUP188	NUP188	4615	0.020784636959433556	0.118373945	No	
row_61	SUMO1	SUMO1	4640	0.020615622401237488	0.119532764	No	
row_62	UBE2N	UBE2N	4669	0.02043670415878296	0.120469555	No	
row_63	NUP205	NUP205	4897	0.019144264981150627	0.11123423	No	
row_64	NUP43	NUP43	4921	0.0189712792634964	0.11225457	No	
row_65	CAMK2D	CAMK2D	5012	0.018508141860365868	0.10984691	No	
row_66	PML	PML	5282	0.017168832942843437	0.098269165	No	
row_67	EIF4A3	EIF4A3	5410	0.01647026091814041	0.093763754	No	
row_68	NUP88	NUP88	5454	0.016301359981298447	0.093470044	No	
row_69	POM121	POM121	5639	0.015576232224702835	0.08599085	No	
row_70	NUP160	NUP160	5686	0.015355139039456844	0.085437365	No	
