NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0D2	ATP6V0D2	7	0.37964504957199097	0.10436081	Yes	
row_1	ATP6V1B2	ATP6V1B2	62	0.2108687311410904	0.15981852	Yes	
row_2	ATP6V1F	ATP6V1F	72	0.20626983046531677	0.21626002	Yes	
row_3	ATP6AP1	ATP6AP1	76	0.19738760590553284	0.270552	Yes	
row_4	ATP6V1A	ATP6V1A	126	0.16942203044891357	0.3148284	Yes	
row_5	ATP6V0A1	ATP6V0A1	194	0.14358629286289215	0.35107806	Yes	
row_6	TCIRG1	TCIRG1	251	0.13200296461582184	0.38468343	Yes	
row_7	ATP6V1G1	ATP6V1G1	269	0.1278584599494934	0.41909763	Yes	
row_8	CYBRD1	CYBRD1	529	0.09742171317338943	0.4330049	Yes	
row_9	ATP6V1H	ATP6V1H	551	0.09542562067508698	0.4582735	Yes	
row_10	ATP6V1C1	ATP6V1C1	590	0.09251618385314941	0.48188877	Yes	
row_11	ATP6V1D	ATP6V1D	600	0.09169469773769379	0.50672895	Yes	
row_12	ATP6V0B	ATP6V0B	610	0.09068027883768082	0.53128934	Yes	
row_13	GLRX3	GLRX3	668	0.08631592243909836	0.55224353	Yes	
row_14	MCOLN1	MCOLN1	833	0.07791392505168915	0.56552505	Yes	
row_15	ATP6V0D1	ATP6V0D1	860	0.07638057321310043	0.5852905	Yes	
row_16	UBA52	UBA52	1012	0.06998836249113083	0.59703666	Yes	
row_17	SLC11A2	SLC11A2	1106	0.06664726138114929	0.6107642	Yes	
row_18	ATP6V1E1	ATP6V1E1	1204	0.06354712694883347	0.6234365	Yes	
row_19	UBC	UBC	1256	0.06198698282241821	0.6379808	Yes	
row_20	TFRC	TFRC	1688	0.051333602517843246	0.6305677	Yes	
row_21	ATP6V0A2	ATP6V0A2	1749	0.05022911727428436	0.6414186	Yes	
row_22	ABCG2	ABCG2	2226	0.0424111932516098	0.6292923	No	
row_23	IREB2	IREB2	3048	0.03299066796898842	0.59730047	No	
row_24	SLC40A1	SLC40A1	3401	0.0297539085149765	0.58788943	No	
row_25	TF	TF	4549	0.021146638318896294	0.53631455	No	
row_26	SKP1	SKP1	4879	0.019199179485440254	0.52514344	No	
row_27	HFE	HFE	5032	0.018364161252975464	0.5226009	No	
row_28	CAND1	CAND1	5078	0.018142923712730408	0.5253527	No	
row_29	TFR2	TFR2	5326	0.016880691051483154	0.51764625	No	
row_30	SLC46A1	SLC46A1	5455	0.016293048858642578	0.5157337	No	
row_31	FLVCR1	FLVCR1	6205	0.013218523934483528	0.48189208	No	
row_32	ATP6V1G2	ATP6V1G2	7180	0.00985792838037014	0.43586227	No	
row_33	ATP6V0C	ATP6V0C	7359	0.009264180436730385	0.42950854	No	
row_34	CP	CP	7933	0.0076613109558820724	0.40294296	No	
row_35	ATP6V1C2	ATP6V1C2	8243	0.006842290051281452	0.3893647	No	
row_36	ATP6V1B1	ATP6V1B1	12244	-2.715465670917183E-4	0.18923938	No	
row_37	CUL1	CUL1	12927	-8.078029495663941E-4	0.15532805	No	
row_38	STEAP2	STEAP2	14023	-0.0031171967275440693	0.101383016	No	
row_39	ATP6V1E2	ATP6V1E2	14161	-0.003567479085177183	0.09551012	No	
row_40	ATP6V0A4	ATP6V0A4	14616	-0.00481041194871068	0.074114166	No	
row_41	STEAP3	STEAP3	14679	-0.004976210184395313	0.07238357	No	
row_42	HMOX2	HMOX2	14711	-0.005087924189865589	0.07223534	No	
row_43	SLC22A17	SLC22A17	15416	-0.007454642094671726	0.03905619	No	
row_44	HMOX1	HMOX1	17427	-0.018178291618824005	-0.0565306	No	
row_45	FBXL5	FBXL5	18028	-0.024787340313196182	-0.07972395	No	
row_46	LCN2	LCN2	18125	-0.02597663179039955	-0.07736405	No	
row_47	RPS27A	RPS27A	18283	-0.028513548895716667	-0.07735749	No	
row_48	ATP6V0E1	ATP6V0E1	18575	-0.033919624984264374	-0.082566574	No	
row_49	FTH1	FTH1	18904	-0.04357888922095299	-0.086963356	No	
row_50	ATP6V0E2	ATP6V0E2	18945	-0.044938813894987106	-0.07657063	No	
row_51	NEDD8	NEDD8	19390	-0.06636463105678558	-0.08048861	No	
row_52	FTL	FTL	19487	-0.07526860386133194	-0.06453333	No	
row_53	UBB	UBB	19836	-0.13289299607276917	-0.04529709	No	
row_54	ACO1	ACO1	19957	-0.19997964799404144	0.003853951	No	
