NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIPA	LIPA	0	0.5040951371192932	0.2922849	Yes	
row_1	SOAT1	SOAT1	143	0.16102834045886993	0.37855855	Yes	
row_2	NCEH1	NCEH1	145	0.16074255108833313	0.47171047	Yes	
row_3	NPC2	NPC2	196	0.1430658996105194	0.5521652	Yes	
row_4	LDLRAP1	LDLRAP1	220	0.13742898404598236	0.63070035	Yes	
row_5	CLTC	CLTC	305	0.12214566767215729	0.69732654	Yes	
row_6	NPC1	NPC1	455	0.1037982925772667	0.7500673	Yes	
row_7	LDLR	LDLR	468	0.10224717855453491	0.8087529	Yes	
row_8	LSR	LSR	2886	0.03464658185839653	0.7080943	No	
row_9	CLTA	CLTA	2999	0.033523280173540115	0.7219366	No	
row_10	AP2A2	AP2A2	3548	0.02846280299127102	0.71106315	No	
row_11	AP2A1	AP2A1	4502	0.02141561172902584	0.67587084	No	
row_12	AP2B1	AP2B1	5370	0.01666572503745556	0.6422208	No	
row_13	AP2S1	AP2S1	6864	0.010924444533884525	0.5739684	No	
row_14	CES3	CES3	15829	-0.009209537878632545	0.13148896	No	
row_15	APOB	APOB	18149	-0.02636810578405857	0.030926213	No	
row_16	AP2M1	AP2M1	19053	-0.0487208254635334	0.014063913	No	
row_17	PCSK9	PCSK9	19305	-0.06018159165978432	0.036419116	No	
