NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP1B1	CYP1B1	4	0.4025711715221405	0.31026074	Yes	
row_1	GCLC	GCLC	193	0.14363376796245575	0.4116336	Yes	
row_2	FDX1	FDX1	273	0.12736591696739197	0.5059089	Yes	
row_3	FDXR	FDXR	292	0.12405681610107422	0.6006811	Yes	
row_4	GCLM	GCLM	534	0.09668876230716705	0.6632012	Yes	
row_5	TPMT	TPMT	542	0.09580086916685104	0.7367324	Yes	
row_6	CYP27A1	CYP27A1	1588	0.0534650981426239	0.7257327	No	
row_7	TBXAS1	TBXAS1	2313	0.04114696756005287	0.72127765	No	
row_8	AHCY	AHCY	3107	0.03247148171067238	0.7066834	No	
row_9	CYP2R1	CYP2R1	3132	0.032220836728811264	0.7303323	No	
row_10	SLC35D1	SLC35D1	3586	0.02810409665107727	0.729364	No	
row_11	CYP27B1	CYP27B1	5628	0.01562421303242445	0.639399	No	
row_12	GGT1	GGT1	6074	0.013740776106715202	0.62775356	No	
row_13	CYP7B1	CYP7B1	9474	0.0035915530752390623	0.46063283	No	
row_14	ACY1	ACY1	10642	9.98409348540008E-4	0.4030732	No	
row_15	CYP19A1	CYP19A1	10758	7.806923822499812E-4	0.39792728	No	
row_16	CYP4F22	CYP4F22	11611	0.0	0.35534218	No	
row_17	MAT1A	MAT1A	11809	0.0	0.34549564	No	
row_18	CYP24A1	CYP24A1	11811	0.0	0.34544566	No	
row_19	UGT1A1	UGT1A1	11904	0.0	0.34084725	No	
row_20	FMO3	FMO3	12197	-2.3786004749126732E-4	0.3264358	No	
row_21	GSS	GSS	12338	-3.4648444852791727E-4	0.31970546	No	
row_22	CYP17A1	CYP17A1	12351	-3.568514948710799E-4	0.31938088	No	
row_23	OPLAH	OPLAH	12668	-5.70514821447432E-4	0.30402637	No	
row_24	CYP21A2	CYP21A2	13261	-0.0014054850907996297	0.27552062	No	
row_25	MAOA	MAOA	15575	-0.008106806315481663	0.16616303	No	
row_26	FDX2	FDX2	16177	-0.01072225533425808	0.14439248	No	
row_27	CYP2U1	CYP2U1	19345	-0.06268204748630524	0.034437925	No	
