NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NADK	NADK	831	0.07799937576055527	0.031961028	No	
row_1	RNLS	RNLS	2316	0.041105981916189194	-0.0034800717	No	
row_2	NADK2	NADK2	3285	0.030675768852233887	-0.022958275	No	
row_3	PARP6	PARP6	3291	0.03063177317380905	0.005655221	No	
row_4	PARP10	PARP10	3590	0.028071241453289986	0.01721113	No	
row_5	NAMPT	NAMPT	5001	0.018569033592939377	-0.035767157	No	
row_6	NADSYN1	NADSYN1	5808	0.014865453355014324	-0.062045787	No	
row_7	PTGS2	PTGS2	8193	0.00697507755830884	-0.17463167	No	
row_8	NMNAT2	NMNAT2	9595	0.003320162184536457	-0.24152867	No	
row_9	PARP14	PARP14	11144	3.3144099870696664E-4	-0.3185893	No	
row_10	NT5E	NT5E	11655	0.0	-0.34408036	No	
row_11	SLC5A8	SLC5A8	12885	-7.540762890130281E-4	-0.40479833	No	
row_12	NMNAT3	NMNAT3	13237	-0.001354902284219861	-0.4210655	No	
row_13	NMNAT1	NMNAT1	13281	-0.0014426112174987793	-0.42185542	No	
row_14	PARP16	PARP16	13370	-0.0016404498601332307	-0.42470813	No	
row_15	NUDT12	NUDT12	14432	-0.00420549139380455	-0.47377688	No	
row_16	PARP8	PARP8	15325	-0.007140480913221836	-0.511633	No	
row_17	NAXD	NAXD	17093	-0.015818828716874123	-0.58504647	No	
row_18	PTGIS	PTGIS	18145	-0.02631950005888939	-0.612778	Yes	
row_19	NMRK1	NMRK1	18493	-0.032433267682790756	-0.59956104	Yes	
row_20	PARP9	PARP9	19038	-0.04801034927368164	-0.5815128	Yes	
row_21	QPRT	QPRT	19063	-0.04907818138599396	-0.5364675	Yes	
row_22	CD38	CD38	19156	-0.05332847684621811	-0.49081603	Yes	
row_23	NAXE	NAXE	19163	-0.05357843264937401	-0.44063056	Yes	
row_24	NNMT	NNMT	19581	-0.08447916060686111	-0.38187107	Yes	
row_25	PARP4	PARP4	19630	-0.09171094000339508	-0.29785374	Yes	
row_26	NAPRT	NAPRT	19771	-0.11541549116373062	-0.1960987	Yes	
row_27	BST1	BST1	19972	-0.22201064229011536	0.0030988187	Yes	
