NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN6	PTPN6	524	0.09792471677064896	0.03148067	No	
row_1	HLA-DRB5	HLA-DRB5	533	0.09690603613853455	0.088143446	No	
row_2	HLA-DQA2	HLA-DQA2	771	0.08100058883428574	0.12399841	No	
row_3	CSK	CSK	1583	0.05353198200464249	0.11499874	No	
row_4	CD274	CD274	5366	0.016696980223059654	-0.064137064	No	
row_5	PDCD1	PDCD1	9025	0.004677243065088987	-0.24415496	No	
row_6	LCK	LCK	13711	-0.002359239850193262	-0.47685185	No	
row_7	PTPN11	PTPN11	15514	-0.007866548374295235	-0.5622567	No	
row_8	CD3E	CD3E	16186	-0.010761828161776066	-0.5894462	No	
row_9	CD247	CD247	16412	-0.011890672147274017	-0.5936865	No	
row_10	HLA-DQB2	HLA-DQB2	18773	-0.03936317563056946	-0.68842524	Yes	
row_11	PDCD1LG2	PDCD1LG2	19567	-0.0833820104598999	-0.6789486	Yes	
row_12	CD3G	CD3G	19577	-0.08420038968324661	-0.62981737	Yes	
row_13	HLA-DQB1	HLA-DQB1	19606	-0.08723927289247513	-0.5798461	Yes	
row_14	CD3D	CD3D	19725	-0.1079317256808281	-0.52218705	Yes	
row_15	HLA-DRA	HLA-DRA	19799	-0.12240268290042877	-0.45375848	Yes	
row_16	HLA-DPB1	HLA-DPB1	19805	-0.12495976686477661	-0.38042656	Yes	
row_17	HLA-DPA1	HLA-DPA1	19824	-0.1297379434108734	-0.30493057	Yes	
row_18	HLA-DQA1	HLA-DQA1	19889	-0.1540834754705429	-0.21739727	Yes	
row_19	HLA-DRB1	HLA-DRB1	19939	-0.1859540045261383	-0.11034773	Yes	
row_20	CD4	CD4	19951	-0.1953735649585724	0.0041471208	Yes	
