NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3CA	PIK3CA	5341	0.01680484414100647	-0.21419178	No	
row_1	FGF23	FGF23	6723	0.0114296181127429	-0.24740334	No	
row_2	FGF22	FGF22	7583	0.00860918965190649	-0.26336762	No	
row_3	FGF7	FGF7	7761	0.008110921829938889	-0.24682532	No	
row_4	PIK3R1	PIK3R1	9034	0.004662676248699427	-0.29576975	No	
row_5	FRS2	FRS2	10135	0.002043753629550338	-0.3443188	No	
row_6	FGF17	FGF17	11312	1.847817184170708E-4	-0.40248176	No	
row_7	FGF18	FGF18	11714	0.0	-0.42251176	No	
row_8	FGF9	FGF9	12304	-3.1785594183020294E-4	-0.45093757	No	
row_9	FGFR2	FGFR2	12337	-3.4642370883375406E-4	-0.45145184	No	
row_10	GAB1	GAB1	15415	-0.007454641163349152	-0.5818185	No	
row_11	PTPN11	PTPN11	15514	-0.007866548374295235	-0.562095	No	
row_12	FGF20	FGF20	18027	-0.024787265807390213	-0.60999674	Yes	
row_13	FGF10	FGF10	19695	-0.10137049108743668	-0.37602043	Yes	
row_14	GRB2	GRB2	19809	-0.12554669380187988	0.011238663	Yes	
