NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOC2	APOC2	2024	0.04560942202806473	-0.055524617	No	
row_1	FURIN	FURIN	2210	0.042567502707242966	-0.022200894	No	
row_2	APOE	APOE	3232	0.031196409836411476	-0.042021167	No	
row_3	MBTPS2	MBTPS2	3718	0.027096068486571312	-0.039159212	No	
row_4	PCSK6	PCSK6	3726	0.02699500508606434	-0.012513842	No	
row_5	LCAT	LCAT	4419	0.021995170041918755	-0.025096089	No	
row_6	MBTPS1	MBTPS1	4761	0.01996654085814953	-0.022168372	No	
row_7	CETP	CETP	4969	0.01874326355755329	-0.013768292	No	
row_8	LIPG	LIPG	6262	0.013012795709073544	-0.06531347	No	
row_9	LMF2	LMF2	8332	0.00657652597874403	-0.16211972	No	
row_10	APOA1	APOA1	11345	1.5498128777835518E-4	-0.31246692	No	
row_11	CREB3L3	CREB3L3	12177	-2.2587605053558946E-4	-0.35376406	No	
row_12	ANGPTL4	ANGPTL4	12492	-4.49175713583827E-4	-0.36900467	No	
row_13	APOF	APOF	12552	-4.826575459446758E-4	-0.3714701	No	
row_14	LIPC	LIPC	17359	-0.017589157447218895	-0.5940248	No	
row_15	APOB	APOB	18149	-0.02636810578405857	-0.6070809	Yes	
row_16	PCSK5	PCSK5	18475	-0.03225400298833847	-0.5910662	Yes	
row_17	LMF1	LMF1	18999	-0.04655257239937782	-0.5706464	Yes	
row_18	CIDEC	CIDEC	19322	-0.06126779317855835	-0.5254678	Yes	
row_19	LPL	LPL	19906	-0.16488352417945862	-0.38971454	Yes	
row_20	PLTP	PLTP	19928	-0.17970454692840576	-0.21105842	Yes	
row_21	ABCG1	ABCG1	19965	-0.21630392968654633	0.0034477566	Yes	
