NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	NPM1	267	0.12804928421974182	0.13751869	Yes	
row_1	PLK3	PLK3	274	0.1272045075893402	0.287083	Yes	
row_2	RGCC	RGCC	397	0.11113501340150833	0.41191933	Yes	
row_3	CNOT6L	CNOT6L	752	0.08216757327318192	0.4910362	Yes	
row_4	CNOT7	CNOT7	853	0.07672938704490662	0.5764373	Yes	
row_5	TP53	TP53	1232	0.06268330663442612	0.6313999	Yes	
row_6	PLK2	PLK2	1960	0.046641476452350616	0.6500253	Yes	
row_7	CNOT6	CNOT6	2485	0.039017047733068466	0.66981095	Yes	
row_8	CNOT11	CNOT11	2628	0.037614624947309494	0.7070311	Yes	
row_9	CNOT9	CNOT9	2629	0.037604641169309616	0.75133437	Yes	
row_10	CNOT1	CNOT1	4455	0.021766675636172295	0.6857923	No	
row_11	CNOT8	CNOT8	4983	0.01866305246949196	0.68144834	No	
row_12	CNOT2	CNOT2	5172	0.01772461086511612	0.6929369	No	
row_13	TNKS1BP1	TNKS1BP1	7127	0.010031959973275661	0.60712427	No	
row_14	PLAGL1	PLAGL1	8393	0.006418140605092049	0.55147994	No	
row_15	CNOT4	CNOT4	9184	0.004297264385968447	0.51707035	No	
row_16	CENPJ	CENPJ	10555	0.0011468734592199326	0.4499694	No	
row_17	BTG2	BTG2	13977	-0.003010723041370511	0.2825861	No	
row_18	CNOT10	CNOT10	14017	-0.0031018254812806845	0.28429183	No	
row_19	CDC25C	CDC25C	14225	-0.0037119004409760237	0.2783222	No	
row_20	CNOT3	CNOT3	16043	-0.010079110972583294	0.1994103	No	
