NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	CDKN1A	17	0.3186032176017761	0.16002917	Yes	
row_1	GADD45A	GADD45A	168	0.150201216340065	0.22836852	Yes	
row_2	ZNF385A	ZNF385A	259	0.1301066130399704	0.28956315	Yes	
row_3	NPM1	NPM1	267	0.12804928421974182	0.3538718	Yes	
row_4	PLK3	PLK3	274	0.1272045075893402	0.41780394	Yes	
row_5	PCNA	PCNA	347	0.11713479459285736	0.473349	Yes	
row_6	RGCC	RGCC	397	0.11113501340150833	0.52701527	Yes	
row_7	CNOT6L	CNOT6L	752	0.08216757327318192	0.5507937	Yes	
row_8	CNOT7	CNOT7	853	0.07672938704490662	0.58453494	Yes	
row_9	TP53	TP53	1232	0.06268330663442612	0.5972738	Yes	
row_10	BAX	BAX	1442	0.05700637772679329	0.6156021	Yes	
row_11	PLK2	PLK2	1960	0.046641476452350616	0.6132857	Yes	
row_12	TFDP1	TFDP1	2076	0.04479023441672325	0.6301487	Yes	
row_13	CNOT6	CNOT6	2485	0.039017047733068466	0.6294362	Yes	
row_14	CNOT11	CNOT11	2628	0.037614624947309494	0.6413249	Yes	
row_15	CNOT9	CNOT9	2629	0.037604641169309616	0.6603134	Yes	
row_16	CCNA1	CCNA1	2653	0.0373583659529686	0.67802685	Yes	
row_17	EP300	EP300	3017	0.03331123664975166	0.6766848	No	
row_18	CNOT1	CNOT1	4455	0.021766675636172295	0.6157756	No	
row_19	CNOT8	CNOT8	4983	0.01866305246949196	0.5988311	No	
row_20	CNOT2	CNOT2	5172	0.01772461086511612	0.5983746	No	
row_21	RBL2	RBL2	5211	0.017523175105452538	0.6053217	No	
row_22	AURKA	AURKA	5259	0.017313634976744652	0.61171263	No	
row_23	CCNB1	CCNB1	6270	0.012968866154551506	0.5677259	No	
row_24	E2F7	E2F7	6648	0.011683283373713493	0.55476224	No	
row_25	CCNE1	CCNE1	6935	0.010645984672009945	0.5458279	No	
row_26	TNKS1BP1	TNKS1BP1	7127	0.010031959973275661	0.5413369	No	
row_27	SFN	SFN	7307	0.009473215788602829	0.53716415	No	
row_28	PLAGL1	PLAGL1	8393	0.006418140605092049	0.48611704	No	
row_29	CNOT4	CNOT4	9184	0.004297264385968447	0.4487593	No	
row_30	CCNA2	CCNA2	9378	0.003822116646915674	0.4410325	No	
row_31	CDKN1B	CDKN1B	10490	0.0012613659491762519	0.38608053	No	
row_32	CENPJ	CENPJ	10555	0.0011468734592199326	0.3834574	No	
row_33	RBL1	RBL1	10743	8.115526288747787E-4	0.37451065	No	
row_34	E2F8	E2F8	12923	-8.045647409744561E-4	0.2658906	No	
row_35	CCNE2	CCNE2	13511	-0.0019071657443419099	0.23748307	No	
row_36	CARM1	CARM1	13572	-0.00207934295758605	0.23553094	No	
row_37	CDK2	CDK2	13674	-0.0022811151575297117	0.23162925	No	
row_38	BTG2	BTG2	13977	-0.003010723041370511	0.21803895	No	
row_39	CNOT10	CNOT10	14017	-0.0031018254812806845	0.21765387	No	
row_40	CDC25C	CDC25C	14225	-0.0037119004409760237	0.20917095	No	
row_41	CDK1	CDK1	14627	-0.004831569269299507	0.19154662	No	
row_42	E2F1	E2F1	14954	-0.005858052056282759	0.17819324	No	
row_43	PCBP4	PCBP4	15513	-0.00786532275378704	0.15424533	No	
row_44	CNOT3	CNOT3	16043	-0.010079110972583294	0.13286628	No	
row_45	E2F4	E2F4	17856	-0.022664327174425125	0.05364724	No	
row_46	TFDP2	TFDP2	18518	-0.03292752429842949	0.03720095	No	
row_47	ARID3A	ARID3A	18655	-0.03604273870587349	0.048596088	No	
row_48	PRMT1	PRMT1	18813	-0.04030496999621391	0.06109272	No	
