NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCSTAMP	DCSTAMP	56	0.21563640236854553	0.05321758	Yes	
row_1	TPP1	TPP1	152	0.15643469989299774	0.08909823	Yes	
row_2	CALR	CALR	198	0.14295247197151184	0.123983026	Yes	
row_3	HSP90B1	HSP90B1	303	0.12228740006685257	0.15054044	Yes	
row_4	HERPUD1	HERPUD1	359	0.11583947390317917	0.17787948	Yes	
row_5	HSPA5	HSPA5	396	0.11119506508111954	0.20496452	Yes	
row_6	ATF3	ATF3	424	0.1071043387055397	0.23143797	Yes	
row_7	CXCL8	CXCL8	528	0.09743163734674454	0.25158766	Yes	
row_8	DDIT3	DDIT3	532	0.09702527523040771	0.27664578	Yes	
row_9	DNAJB9	DNAJB9	564	0.09465933591127396	0.2996853	Yes	
row_10	XBP1	XBP1	654	0.08733726292848587	0.31791428	Yes	
row_11	CEBPG	CEBPG	692	0.08530749380588531	0.3382232	Yes	
row_12	ATF4	ATF4	698	0.0851021483540535	0.36008325	Yes	
row_13	SSR1	SSR1	702	0.08492191135883331	0.38199678	Yes	
row_14	EIF2S3	EIF2S3	824	0.0782308429479599	0.39625528	Yes	
row_15	ATP6V0D1	ATP6V0D1	860	0.07638057321310043	0.41434515	Yes	
row_16	WIPI1	WIPI1	905	0.07412028312683105	0.43139648	Yes	
row_17	CCL2	CCL2	972	0.07150837033987045	0.44666612	Yes	
row_18	CREB3L2	CREB3L2	1051	0.06860753148794174	0.46058038	Yes	
row_19	HYOU1	HYOU1	1091	0.06727162003517151	0.47610304	Yes	
row_20	PDIA6	PDIA6	1120	0.0661010816693306	0.49187315	Yes	
row_21	SRPRB	SRPRB	1414	0.05768340826034546	0.49216896	Yes	
row_22	EDEM1	EDEM1	1637	0.05223318934440613	0.49460873	Yes	
row_23	KHSRP	KHSRP	1677	0.05155102163553238	0.50604695	Yes	
row_24	DNAJB11	DNAJB11	1782	0.049695342779159546	0.51374394	Yes	
row_25	ASNS	ASNS	2095	0.044492967426776886	0.50966007	Yes	
row_26	ATF6	ATF6	2152	0.043565358966588974	0.5181711	Yes	
row_27	NFYC	NFYC	2358	0.040591008961200714	0.51843846	Yes	
row_28	ARFGAP1	ARFGAP1	2402	0.04009483754634857	0.5266996	Yes	
row_29	ERN1	ERN1	2752	0.03595281392335892	0.5185417	Yes	
row_30	CREBRF	CREBRF	2804	0.0354885533452034	0.52520496	Yes	
row_31	TATDN2	TATDN2	2947	0.03391445428133011	0.5268965	Yes	
