NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	43	-0.8017365	-2.7995644	0.0	0.0	0.0	806	tags=30%, list=4%, signal=31%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	18	-0.87359613	-2.4168348	0.0	0.0	0.0	40	tags=28%, list=0%, signal=28%	
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	Details ...	26	-0.79512393	-2.3361547	0.0	0.0	0.0	2071	tags=31%, list=10%, signal=34%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	Details ...	87	-0.5864417	-2.265567	0.0	0.0	0.0	1434	tags=31%, list=7%, signal=33%	
REACTOME_ANTIMICROBIAL_PEPTIDES	REACTOME_ANTIMICROBIAL_PEPTIDES	Details ...	39	-0.64778376	-2.2330446	0.0	0.0	0.0	323	tags=13%, list=2%, signal=13%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	119	-0.50786096	-2.1922474	0.0	0.0	0.0	1350	tags=24%, list=7%, signal=25%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Details ...	59	-0.6474862	-2.102177	0.0	0.0	0.0	993	tags=34%, list=5%, signal=36%	
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	Details ...	23	-0.6386572	-2.0881267	0.0	0.0	0.0	711	tags=22%, list=4%, signal=23%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	21	-0.7280475	-2.0554311	0.0	4.1894353E-4	0.01	469	tags=48%, list=2%, signal=49%	
REACTOME_NICOTINATE_METABOLISM	REACTOME_NICOTINATE_METABOLISM	Details ...	28	-0.63757807	-2.0350122	0.0	7.668797E-4	0.02	1891	tags=36%, list=9%, signal=39%	
REACTOME_DAP12_INTERACTIONS	REACTOME_DAP12_INTERACTIONS	Details ...	38	-0.61691356	-2.0187216	0.0	0.0010290537	0.03	308	tags=21%, list=2%, signal=21%	
REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING	Details ...	182	-0.46925727	-1.9580823	0.0	0.004087609	0.11	1538	tags=24%, list=8%, signal=26%	
REACTOME_INTERLEUKIN_7_SIGNALING	REACTOME_INTERLEUKIN_7_SIGNALING	Details ...	22	-0.6474249	-1.9554796	0.0	0.0037731773	0.11	1334	tags=27%, list=7%, signal=29%	
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	Details ...	108	-0.489887	-1.9458317	0.0	0.0035036646	0.11	1297	tags=28%, list=6%, signal=30%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	94	-0.4845001	-1.9445958	0.0	0.003270087	0.11	731	tags=16%, list=4%, signal=16%	
REACTOME_PI_3K_CASCADE_FGFR2	REACTOME_PI_3K_CASCADE_FGFR2	Details ...	15	-0.6932635	-1.929136	0.0	0.003818177	0.13	341	tags=13%, list=2%, signal=14%	
REACTOME_PLASMA_LIPOPROTEIN_REMODELING	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	Details ...	22	-0.63344914	-1.9172833	0.0	0.0051954254	0.15	1887	tags=32%, list=9%, signal=35%	
REACTOME_TRIGLYCERIDE_METABOLISM	REACTOME_TRIGLYCERIDE_METABOLISM	Details ...	30	-0.5782286	-1.9107511	0.0	0.004906791	0.15	1261	tags=30%, list=6%, signal=32%	
REACTOME_CARGO_CONCENTRATION_IN_THE_ER	REACTOME_CARGO_CONCENTRATION_IN_THE_ER	Details ...	32	-0.57835716	-1.8751737	0.0	0.0072375373	0.22	906	tags=25%, list=5%, signal=26%	
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	Details ...	22	-0.62842524	-1.8711251	0.0	0.0070906132	0.22	2252	tags=23%, list=11%, signal=26%	
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES		30	-0.55665654	-1.8481964	0.0	0.010589606	0.31	589	tags=17%, list=3%, signal=17%	
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK		57	-0.50974065	-1.8453083	0.0	0.010264766	0.32	1338	tags=18%, list=7%, signal=19%	
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION		219	-0.4253057	-1.8062452	0.0	0.014210665	0.4	1385	tags=23%, list=7%, signal=24%	
REACTOME_TRIGLYCERIDE_CATABOLISM	REACTOME_TRIGLYCERIDE_CATABOLISM		19	-0.60592914	-1.7792753	0.0	0.017760525	0.43	1261	tags=32%, list=6%, signal=34%	
REACTOME_MET_PROMOTES_CELL_MOTILITY	REACTOME_MET_PROMOTES_CELL_MOTILITY		33	-0.5552976	-1.7767609	0.018867925	0.017644266	0.44	912	tags=18%, list=5%, signal=19%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES		32	-0.5501717	-1.7651359	0.015873017	0.020920726	0.53	459	tags=28%, list=2%, signal=29%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY		67	-0.48012763	-1.7460597	0.0	0.025023043	0.58	1001	tags=24%, list=5%, signal=25%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS		38	-0.48526922	-1.7264204	0.018867925	0.028240627	0.6	1132	tags=18%, list=6%, signal=19%	
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS		17	-0.5729831	-1.7233939	0.0	0.027894184	0.6	2709	tags=29%, list=14%, signal=34%	
REACTOME_NICOTINAMIDE_SALVAGING	REACTOME_NICOTINAMIDE_SALVAGING		17	-0.6357816	-1.7154738	0.0	0.02911125	0.63	1891	tags=35%, list=9%, signal=39%	
