NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP1B1	CYP1B1	4	0.4025711715221405	0.056259234	Yes	
row_1	BCL11A	BCL11A	142	0.16121850907802582	0.071966015	Yes	
row_2	SET	SET	144	0.16089913249015808	0.0944818	Yes	
row_3	PTMA	PTMA	147	0.1591356098651886	0.11669987	Yes	
row_4	BHLHE41	BHLHE41	172	0.1485503613948822	0.13632463	Yes	
row_5	INSIG1	INSIG1	178	0.14690008759498596	0.15667547	Yes	
row_6	RHOA	RHOA	218	0.13800790905952454	0.17406572	Yes	
row_7	YWHAZ	YWHAZ	291	0.12409527599811554	0.18784167	Yes	
row_8	RBPJ	RBPJ	398	0.1110270768404007	0.19807135	Yes	
row_9	LENG8	LENG8	414	0.10868678241968155	0.21255878	Yes	
row_10	AP3S1	AP3S1	470	0.10210852324962616	0.2241078	Yes	
row_11	PCBP2	PCBP2	487	0.09973405301570892	0.23728922	Yes	
row_12	MAF	MAF	488	0.09971766173839569	0.25127468	Yes	
row_13	NR3C1	NR3C1	507	0.0987938940525055	0.26422346	Yes	
row_14	DDIT3	DDIT3	532	0.09702527523040771	0.2766218	Yes	
row_15	ADO	ADO	552	0.09537244588136673	0.28904033	Yes	
row_16	PANK3	PANK3	563	0.0946824699640274	0.30181563	Yes	
row_17	FHOD1	FHOD1	667	0.08635867387056351	0.30873674	Yes	
row_18	IRF2BPL	IRF2BPL	762	0.08142052590847015	0.3154188	Yes	
row_19	PTGES3	PTGES3	792	0.0797085389494896	0.3251365	Yes	
row_20	CACUL1	CACUL1	811	0.07891513407230377	0.33529726	Yes	
row_21	RBBP7	RBBP7	821	0.07853018492460251	0.34585762	Yes	
row_22	EYA3	EYA3	873	0.07559140026569366	0.35388917	Yes	
row_23	EIF3A	EIF3A	977	0.07138337939977646	0.35870996	Yes	
row_24	DAZAP1	DAZAP1	982	0.07109653949737549	0.36847973	Yes	
row_25	HNRNPDL	HNRNPDL	1049	0.06867381185293198	0.37478516	Yes	
row_26	WAC	WAC	1143	0.06542865186929703	0.37927476	Yes	
row_27	PRKAR2A	PRKAR2A	1169	0.0646025538444519	0.38707542	Yes	
row_28	MNT	MNT	1170	0.0645490363240242	0.39612845	Yes	
row_29	LCOR	LCOR	1176	0.06446536630392075	0.40491778	Yes	
row_30	NRGN	NRGN	1200	0.06362020969390869	0.41268143	Yes	
row_31	C16orf70	C16orf70	1240	0.062477998435497284	0.41947857	Yes	
row_32	MAX	MAX	1267	0.06166514381766319	0.42681685	Yes	
row_33	RAB6A	RAB6A	1344	0.05923581123352051	0.43129465	Yes	
row_34	CBX6	CBX6	1345	0.05919220671057701	0.43959638	Yes	
row_35	SEC14L1	SEC14L1	1613	0.05287572741508484	0.43355662	Yes	
row_36	DSTN	DSTN	1686	0.05137089267373085	0.43713292	Yes	
row_37	SNX12	SNX12	1834	0.04880344495177269	0.43656948	Yes	
row_38	NDUFA13	NDUFA13	2055	0.045186880975961685	0.43181992	Yes	
row_39	SF1	SF1	2065	0.04506424814462662	0.43768665	Yes	
row_40	RALGAPB	RALGAPB	2075	0.04479081556200981	0.44351503	Yes	
row_41	FGFR1OP2	FGFR1OP2	2085	0.04471071809530258	0.44933218	Yes	
row_42	CIRBP	CIRBP	2131	0.04394356533885002	0.45322746	Yes	
row_43	MOSPD2	MOSPD2	2174	0.04322231188416481	0.4571728	Yes	
row_44	EDEM3	EDEM3	2179	0.04313429817557335	0.46302083	Yes	
row_45	CFL1	CFL1	2196	0.0427926629781723	0.46821618	Yes	
row_46	DOT1L	DOT1L	2275	0.04166077822446823	0.4701283	Yes	
row_47	FOXO3	FOXO3	2284	0.04159156605601311	0.47555837	Yes	
row_48	CREBZF	CREBZF	2368	0.04052656888961792	0.4770594	Yes	
row_49	ATG12	ATG12	2427	0.03976600617170334	0.47971365	Yes	
row_50	MRPL45	MRPL45	2501	0.03885398432612419	0.48148406	Yes	
row_51	MBD3	MBD3	2515	0.03868434205651283	0.48625442	Yes	
row_52	RETREG3	RETREG3	2574	0.03812616690993309	0.4886787	Yes	
row_53	MAZ	MAZ	2575	0.038122162222862244	0.49402535	Yes	
row_54	TTC9C	TTC9C	2608	0.03776736930012703	0.49770957	Yes	
row_55	CNOT9	CNOT9	2629	0.037604641169309616	0.5019757	Yes	
row_56	ZNF451	ZNF451	2695	0.036811452358961105	0.50386286	Yes	
row_57	BZW2	BZW2	2838	0.03513191267848015	0.50163394	Yes	
row_58	TRAPPC13	TRAPPC13	2937	0.03403986245393753	0.50146925	Yes	
row_59	SFXN2	SFXN2	2945	0.03394566848874092	0.50587744	Yes	
row_60	SNX14	SNX14	2964	0.03377605229616165	0.5097074	Yes	
row_61	ZBTB25	ZBTB25	2972	0.033743683248758316	0.5140872	Yes	
row_62	DCTN5	DCTN5	2985	0.03361994028091431	0.51819766	Yes	
row_63	GIT2	GIT2	3126	0.032258614897727966	0.51566654	Yes	
row_64	TNKS2	TNKS2	3167	0.03178701177239418	0.5181089	Yes	
row_65	SRSF6	SRSF6	3187	0.0316329188644886	0.5215879	Yes	
row_66	EIF4A2	EIF4A2	3326	0.030394917353987694	0.5188962	Yes	
row_67	MECP2	MECP2	3332	0.030372677370905876	0.52290404	Yes	
row_68	ARRB2	ARRB2	3369	0.029984168708324432	0.5252951	Yes	
row_69	RTN4	RTN4	3397	0.029775496572256088	0.52811044	Yes	
row_70	SSBP4	SSBP4	3445	0.029365889728069305	0.5298604	Yes	
row_71	MLLT10	MLLT10	3568	0.028341777622699738	0.5276871	Yes	
row_72	RBM4B	RBM4B	3608	0.027897030115127563	0.52963424	Yes	
row_73	HNRNPL	HNRNPL	3639	0.0276628527790308	0.5320021	Yes	
row_74	INTS13	INTS13	3715	0.027132797986268997	0.53202784	Yes	
row_75	ZFP91	ZFP91	3792	0.026549890637397766	0.5319214	Yes	
row_76	SRR	SRR	3794	0.026533115655183792	0.53559226	Yes	
row_77	GADD45G	GADD45G	3806	0.026435773819684982	0.5387455	Yes	
row_78	C16orf87	C16orf87	3864	0.026025988161563873	0.5395232	Yes	
row_79	ARL3	ARL3	3903	0.025682443752884865	0.5412101	Yes	
row_80	PPP2R2B	PPP2R2B	3954	0.025270650163292885	0.54223454	Yes	
row_81	PDS5A	PDS5A	4084	0.024314580485224724	0.5391436	No	
row_82	B3GALNT1	B3GALNT1	4162	0.023772047832608223	0.5385972	No	
row_83	SERP1	SERP1	4187	0.023587213829159737	0.54069585	No	
row_84	POU2F1	POU2F1	4299	0.02277442067861557	0.53829604	No	
row_85	IKZF5	IKZF5	4367	0.022353867068886757	0.5380547	No	
row_86	ASPH	ASPH	4372	0.022328432649374008	0.5409847	No	
row_87	MEX3B	MEX3B	4646	0.020572785288095474	0.530112	No	
row_88	TRIM23	TRIM23	4653	0.020508483052253723	0.532686	No	
row_89	ING3	ING3	4665	0.020447613671422005	0.53499943	No	
row_90	MEIS2	MEIS2	4750	0.020036764442920685	0.53357637	No	
