NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SSBP3	SSBP3	24	0.2841225266456604	0.03949006	Yes	
row_1	FLT1	FLT1	82	0.19143293797969818	0.06403556	Yes	
row_2	TPT1	TPT1	86	0.1897343248128891	0.09106444	Yes	
row_3	ST13	ST13	98	0.18084928393363953	0.116416536	Yes	
row_4	SMS	SMS	148	0.15884751081466675	0.13669798	Yes	
row_5	MAFF	MAFF	185	0.145217627286911	0.1556833	Yes	
row_6	CALM2	CALM2	201	0.14244018495082855	0.17533112	Yes	
row_7	EEF2	EEF2	288	0.12483912706375122	0.18887238	Yes	
row_8	YWHAZ	YWHAZ	291	0.12409527599811554	0.20654865	Yes	
row_9	FDXR	FDXR	292	0.12405681610107422	0.22432038	Yes	
row_10	ZFAND5	ZFAND5	317	0.12104211747646332	0.24044839	Yes	
row_11	TIGAR	TIGAR	390	0.11192207783460617	0.25284612	Yes	
row_12	EIF5A	EIF5A	439	0.10494077205657959	0.26545566	Yes	
row_13	CCNI	CCNI	510	0.09872452914714813	0.2760638	Yes	
row_14	UBE2D3	UBE2D3	512	0.09861620515584946	0.29014054	Yes	
row_15	IRF2BPL	IRF2BPL	762	0.08142052590847015	0.2892312	Yes	
row_16	PTGES3	PTGES3	792	0.0797085389494896	0.2991855	Yes	
row_17	CNOT7	CNOT7	853	0.07672938704490662	0.30714768	Yes	
row_18	SREBF2	SREBF2	884	0.07499270141124725	0.3163759	Yes	
row_19	ISCU	ISCU	989	0.07068556547164917	0.3212505	Yes	
row_20	PPM1A	PPM1A	1105	0.06671690940856934	0.3250011	Yes	
row_21	SLC30A5	SLC30A5	1164	0.06481115520000458	0.3313569	Yes	
row_22	SNRPG	SNRPG	1177	0.06443744152784348	0.33998194	Yes	
row_23	MMGT1	MMGT1	1243	0.06238808110356331	0.34563717	Yes	
row_24	PHF20L1	PHF20L1	1348	0.05914006754755974	0.34885782	Yes	
row_25	SRSF1	SRSF1	1355	0.05905570834875107	0.35701486	Yes	
row_26	TIPRL	TIPRL	1561	0.05395893007516861	0.3543933	Yes	
row_27	VPS37A	VPS37A	1646	0.05207575112581253	0.35761184	Yes	
row_28	SPRED2	SPRED2	1725	0.05077988654375076	0.3609477	Yes	
