NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NRP2	NRP2	3	0.42922964692115784	0.17303687	Yes	
row_1	SSBP3	SSBP3	24	0.2841225266456604	0.28667408	Yes	
row_2	BCL11A	BCL11A	142	0.16121850907802582	0.34586403	Yes	
row_3	PTMA	PTMA	147	0.1591356098651886	0.40987232	Yes	
row_4	PMP22	PMP22	306	0.12214266508817673	0.45124263	Yes	
row_5	ABI1	ABI1	506	0.09882473200559616	0.4811513	Yes	
row_6	SLC8B1	SLC8B1	622	0.08965572714805603	0.511567	Yes	
row_7	PELI2	PELI2	1187	0.06428991258144379	0.50926316	Yes	
row_8	NRGN	NRGN	1200	0.06362020969390869	0.5343319	Yes	
row_9	PLXDC2	PLXDC2	1448	0.056900568306446075	0.5449212	Yes	
row_10	PRDM1	PRDM1	1935	0.047185223549604416	0.53962195	Yes	
row_11	QRICH1	QRICH1	2027	0.04554152488708496	0.55344015	Yes	
row_12	ADRB3	ADRB3	2109	0.044205375015735626	0.56722	Yes	
row_13	HIVEP3	HIVEP3	2321	0.04108836129307747	0.5732321	Yes	
row_14	TMEM126B	TMEM126B	2594	0.03790321946144104	0.5749043	Yes	
row_15	MRPL2	MRPL2	3029	0.03322567418217659	0.56657666	No	
row_16	JPH4	JPH4	3287	0.030669428408145905	0.5660813	No	
row_17	LIG3	LIG3	3374	0.02994556911289692	0.5738572	No	
row_18	PDPN	PDPN	3997	0.024945033714175224	0.5527738	No	
row_19	KLC4	KLC4	4449	0.021821537986397743	0.5389934	No	
row_20	BRPF1	BRPF1	4567	0.021054891869425774	0.5416296	No	
row_21	PUS7L	PUS7L	5738	0.015165900811553001	0.489158	No	
row_22	TBCC	TBCC	5750	0.015086372382938862	0.49469426	No	
row_23	INPPL1	INPPL1	5761	0.015055839903652668	0.5002683	No	
row_24	MB21D2	MB21D2	5804	0.014918002299964428	0.5041842	No	
row_25	TMEM79	TMEM79	6031	0.013933222740888596	0.49848846	No	
row_26	BTBD3	BTBD3	6081	0.013703582808375359	0.50156385	No	
row_27	KTN1	KTN1	6316	0.012784156948328018	0.49500388	No	
row_28	CLN3	CLN3	6534	0.012051654979586601	0.48899966	No	
row_29	SMG5	SMG5	6756	0.011278901249170303	0.48248336	No	
row_30	PLAG1	PLAG1	6806	0.01110338419675827	0.4845096	No	
row_31	MEF2D	MEF2D	6948	0.010600380599498749	0.48172572	No	
row_32	DPF3	DPF3	7007	0.010426674038171768	0.48302823	No	
row_33	DGLUCY	DGLUCY	7529	0.008776669390499592	0.46047902	No	
row_34	IRAK4	IRAK4	8583	0.005941812414675951	0.41014472	No	
row_35	ITGA3	ITGA3	8599	0.005883060861378908	0.41176727	No	
row_36	CDK15	CDK15	9248	0.004166831262409687	0.38099822	No	
row_37	OTUB2	OTUB2	9967	0.002445345977321267	0.34602916	No	
row_38	CDC14A	CDC14A	10431	0.001388502074405551	0.32340345	No	
row_39	ZNF462	ZNF462	10643	9.973314590752125E-4	0.31323949	No	
row_40	TRPV6	TRPV6	10952	5.300507764331996E-4	0.29802945	No	
row_41	ATOH8	ATOH8	11063	4.018487234134227E-4	0.29268304	No	
row_42	ADAMTS5	ADAMTS5	12071	-1.6727627371437848E-4	0.24232237	No	
row_43	HTN1	HTN1	12183	-2.2841966710984707E-4	0.23685592	No	
row_44	NLGN2	NLGN2	12287	-2.9868801357224584E-4	0.23181844	No	
row_45	MECOM	MECOM	12514	-4.640929400920868E-4	0.22068815	No	
row_46	LIN28A	LIN28A	12825	-6.905779591761529E-4	0.20544273	No	
row_47	IVNS1ABP	IVNS1ABP	13247	-0.0013720595743507147	0.18491365	No	
row_48	TFIP11	TFIP11	13259	-0.0014038454974070191	0.18492922	No	
row_49	EPHA1	EPHA1	14158	-0.0035619002301245928	0.1413967	No	
row_50	STAG3	STAG3	14343	-0.003972536418586969	0.13378526	No	
row_51	FXYD3	FXYD3	14803	-0.005341225303709507	0.112954736	No	
row_52	ZBTB22	ZBTB22	15022	-0.006065032444894314	0.10448496	No	
row_53	CYP2W1	CYP2W1	16383	-0.011744250543415546	0.041118007	No	
row_54	NR3C2	NR3C2	16961	-0.01496471930295229	0.018261239	No	
row_55	GJC1	GJC1	17032	-0.015335142612457275	0.020943284	No	
row_56	KLHL25	KLHL25	17086	-0.0157456174492836	0.024642268	No	
row_57	AICDA	AICDA	17115	-0.015983127057552338	0.029689025	No	
row_58	CERCAM	CERCAM	17417	-0.01809794269502163	0.021917883	No	
row_59	DAB2IP	DAB2IP	17882	-0.022855304181575775	0.007903608	No	
row_60	HDLBP	HDLBP	17897	-0.023043012246489525	0.016499996	No	
row_61	MSI2	MSI2	18299	-0.029061337932944298	0.008144644	No	
row_62	ERRFI1	ERRFI1	18446	-0.03167214244604111	0.0136125	No	
row_63	TXNDC12	TXNDC12	18642	-0.035722970962524414	0.018260997	No	
row_64	DLG3	DLG3	19256	-0.058073293417692184	0.010995035	No	
row_65	GIMAP1	GIMAP1	19433	-0.06918563693761826	0.030096643	No	
