NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NRP2	NRP2	3	0.42922964692115784	0.06233244	Yes	
row_1	SSBP3	SSBP3	24	0.2841225266456604	0.102684006	Yes	
row_2	PIM1	PIM1	136	0.1652323603630066	0.121139035	Yes	
row_3	LASP1	LASP1	149	0.15846599638462067	0.14360201	Yes	
row_4	IER5L	IER5L	156	0.15552356839179993	0.16593926	Yes	
row_5	HNRNPA1	HNRNPA1	169	0.14982660114765167	0.18714459	Yes	
row_6	STT3B	STT3B	229	0.13549461960792542	0.2038932	Yes	
row_7	IPO7	IPO7	326	0.11990229785442352	0.21650596	Yes	
row_8	HMGN2	HMGN2	335	0.11889006942510605	0.23340954	Yes	
row_9	PCNA	PCNA	347	0.11713479459285736	0.24990629	Yes	
row_10	DDB2	DDB2	381	0.11370103061199188	0.26479363	Yes	
row_11	TIGAR	TIGAR	390	0.11192207783460617	0.28068286	Yes	
row_12	RBPJ	RBPJ	398	0.1110270768404007	0.29649225	Yes	
row_13	AP1S2	AP1S2	430	0.10618378967046738	0.31038618	Yes	
row_14	EPHB2	EPHB2	566	0.09431322664022446	0.31730697	Yes	
row_15	SLC25A3	SLC25A3	567	0.09426535665988922	0.33102936	Yes	
row_16	TRIM47	TRIM47	640	0.08831460773944855	0.34025425	Yes	
row_17	MAT2A	MAT2A	718	0.0837862566113472	0.34856775	Yes	
row_18	SMG1	SMG1	729	0.08330806344747543	0.36019072	Yes	
row_19	KPNB1	KPNB1	763	0.08140767365694046	0.3703771	Yes	
row_20	RBBP7	RBBP7	821	0.07853018492460251	0.37893414	Yes	
row_21	RBBP4	RBBP4	844	0.07741940766572952	0.38909468	Yes	
row_22	FLI1	FLI1	907	0.0740436241030693	0.39674646	Yes	
row_23	GAPDH	GAPDH	988	0.07071717083454132	0.4030062	Yes	
row_24	PIAS1	PIAS1	1166	0.06474117934703827	0.4035039	Yes	
row_25	DDX17	DDX17	1189	0.06419959664344788	0.41174	Yes	
row_26	NDUFA11	NDUFA11	1301	0.06062162667512894	0.41496667	Yes	
row_27	SRSF1	SRSF1	1355	0.05905570834875107	0.42089054	Yes	
row_28	PCYT2	PCYT2	1435	0.057223014533519745	0.42523634	Yes	
row_29	UXT	UXT	1513	0.05523001775145531	0.42939287	Yes	
row_30	TFRC	TFRC	1688	0.051333602517843246	0.42809013	Yes	
row_31	KMT5A	KMT5A	1696	0.05119999125599861	0.43519038	Yes	
row_32	RABL6	RABL6	1706	0.051051363348960876	0.44216812	Yes	
row_33	SRSF2	SRSF2	1711	0.050971612334251404	0.4493864	Yes	
row_34	TCP1	TCP1	1718	0.05090560019016266	0.4564942	Yes	
row_35	SREK1	SREK1	1739	0.05051616206765175	0.46283928	Yes	
row_36	RANBP1	RANBP1	1919	0.047420158982276917	0.46071467	Yes	
row_37	SERBP1	SERBP1	2211	0.04256681725382805	0.45223498	Yes	
row_38	CTDSP1	CTDSP1	2222	0.04246491566300392	0.45791236	Yes	
row_39	DPYSL2	DPYSL2	2242	0.04209139943122864	0.46308142	Yes	
row_40	EIF1AX	EIF1AX	2268	0.04174742102622986	0.46789783	Yes	
row_41	NFATC2IP	NFATC2IP	2283	0.041601695120334625	0.4732478	Yes	
row_42	FOXO3	FOXO3	2284	0.04159156605601311	0.47930235	Yes	
row_43	USP1	USP1	2517	0.038672253489494324	0.47323132	Yes	
row_44	MAZ	MAZ	2575	0.038122162222862244	0.4759061	Yes	
row_45	PRPF38A	PRPF38A	2633	0.03756077215075493	0.47849917	Yes	
row_46	GPAT2	GPAT2	2744	0.03613940253853798	0.47821236	Yes	
row_47	DLST	DLST	2745	0.03608681634068489	0.48346558	Yes	
row_48	ZBTB25	ZBTB25	2972	0.033743683248758316	0.47697967	Yes	
row_49	JADE1	JADE1	2997	0.03352700173854828	0.48064986	Yes	
row_50	CLTA	CLTA	2999	0.033523280173540115	0.48547947	Yes	
row_51	BAG6	BAG6	3063	0.03284870460629463	0.487084	Yes	
row_52	TRIR	TRIR	3204	0.031460750848054886	0.48460308	Yes	
row_53	E2F3	E2F3	3240	0.0311153382062912	0.4873674	Yes	
row_54	TRMT13	TRMT13	3248	0.031039532274007797	0.49153283	Yes	
row_55	ST20-AS1	ST20-AS1	3261	0.03089897893369198	0.49542567	Yes	
row_56	ANKHD1	ANKHD1	3432	0.029489869251847267	0.49114484	Yes	
row_57	KLF4	KLF4	3440	0.02939755842089653	0.49507123	Yes	
row_58	HNRNPD	HNRNPD	3463	0.029194246977567673	0.49821156	Yes	
row_59	INTS7	INTS7	3479	0.02906438708305359	0.50168604	Yes	
row_60	MCM6	MCM6	3528	0.028633708134293556	0.50343347	Yes	
