NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNASE2B	DNASE2B	12	0.33673545718193054	0.04130362	No	
row_1	SGK1	SGK1	16	0.32583528757095337	0.08170377	No	
row_2	CDKN1A	CDKN1A	17	0.3186032176017761	0.12135488	No	
row_3	EGR2	EGR2	89	0.18641923367977142	0.140981	No	
row_4	TOB1	TOB1	113	0.17564712464809418	0.16168293	No	
row_5	SGK3	SGK3	219	0.1378243863582611	0.17354964	No	
row_6	ADTRP	ADTRP	223	0.13710254430770874	0.19046143	No	
row_7	CDC42EP3	CDC42EP3	357	0.11605347692966461	0.1982091	No	
row_8	RBM47	RBM47	485	0.09991411119699478	0.20425023	No	
row_9	MAF	MAF	488	0.09971766173839569	0.21655971	No	
row_10	ABI1	ABI1	506	0.09882473200559616	0.22800292	No	
row_11	ITPKB	ITPKB	559	0.09503290802240372	0.23721224	No	
row_12	ALDH9A1	ALDH9A1	561	0.09501603245735168	0.24898693	No	
row_13	LRP5	LRP5	612	0.09061969816684723	0.2577477	No	
row_14	C1orf43	C1orf43	672	0.08625482767820358	0.26551217	No	
row_15	NRAS	NRAS	983	0.07101411372423172	0.25874397	No	
row_16	GCNT2	GCNT2	1179	0.06439981609582901	0.25694197	No	
row_17	BUB3	BUB3	1199	0.06367623805999756	0.26391014	No	
row_18	GPRIN3	GPRIN3	1275	0.06144137308001518	0.26778105	No	
row_19	KCTD15	KCTD15	1339	0.059418290853500366	0.27200425	No	
row_20	PPP1CB	PPP1CB	1432	0.05726126581430435	0.2744991	No	
row_21	TRIB1	TRIB1	1643	0.052131008356809616	0.27041507	No	
row_22	BAIAP2	BAIAP2	1667	0.05175600200891495	0.2756984	No	
row_23	BDH1	BDH1	1682	0.05141347274184227	0.28139216	No	
row_24	SREK1	SREK1	1739	0.05051616206765175	0.28485987	No	
row_25	ZBTB37	ZBTB37	1827	0.04899041727185249	0.28657708	No	
row_26	TPP2	TPP2	1849	0.0486098937690258	0.29156953	No	
row_27	PRDM1	PRDM1	1935	0.047185223549604416	0.2931628	No	
row_28	SMARCA2	SMARCA2	1961	0.0466378852725029	0.29770845	No	
row_29	PUM2	PUM2	2029	0.04553018510341644	0.3000019	No	
row_30	POGZ	POGZ	2082	0.0447286032140255	0.30295068	No	
row_31	ZADH2	ZADH2	2106	0.04424525797367096	0.30729926	No	
row_32	PATL1	PATL1	2201	0.04271288588643074	0.30788285	No	
row_33	TBXAS1	TBXAS1	2313	0.04114696756005287	0.3074157	No	
row_34	GABARAPL1	GABARAPL1	2404	0.04008987918496132	0.3078742	No	
row_35	RREB1	RREB1	2526	0.038630228489637375	0.3065904	No	
row_36	SLC39A8	SLC39A8	2648	0.03738429769873619	0.30515158	No	
row_37	XPO4	XPO4	2806	0.035472992807626724	0.30166256	No	
row_38	JADE1	JADE1	2997	0.03352700173854828	0.29627004	No	
row_39	NR4A3	NR4A3	3168	0.031785961240530014	0.2916677	No	
row_40	MEF2C	MEF2C	3327	0.03039395622909069	0.28749624	No	
row_41	LCP2	LCP2	3555	0.028395220637321472	0.2796024	No	
row_42	ACACA	ACACA	3682	0.02734975703060627	0.27666304	No	
row_43	MAB21L3	MAB21L3	4382	0.022243557497859	0.24424201	No	
