NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSN	GSN	1	0.4758031368255615	0.061211735	Yes	
row_1	LIMS1	LIMS1	21	0.29436713457107544	0.09815459	Yes	
row_2	ABI3	ABI3	87	0.18962109088897705	0.11929029	Yes	
row_3	MAP4K4	MAP4K4	119	0.17175422608852386	0.13984072	Yes	
row_4	RHOA	RHOA	218	0.13800790905952454	0.15266623	Yes	
row_5	KCNJ5	KCNJ5	241	0.13343596458435059	0.168737	Yes	
row_6	FDX1	FDX1	273	0.12736591696739197	0.18357219	Yes	
row_7	PDE3B	PDE3B	278	0.12689568102359772	0.1997089	Yes	
row_8	BHLHE40	BHLHE40	280	0.1265718787908554	0.21595526	Yes	
row_9	PSMA1	PSMA1	354	0.11636070907115936	0.22725472	Yes	
row_10	ATP1B3	ATP1B3	360	0.11555244028568268	0.24188048	Yes	
row_11	HNRNPC	HNRNPC	361	0.11545882374048233	0.2567464	Yes	
row_12	GAS7	GAS7	405	0.10940495133399963	0.26866367	Yes	
row_13	SORBS3	SORBS3	446	0.10432522743940353	0.28007826	Yes	
row_14	SLC16A6	SLC16A6	531	0.09703294932842255	0.28833425	Yes	
row_15	TRERF1	TRERF1	635	0.08853334188461304	0.29453743	Yes	
row_16	GNGT2	GNGT2	801	0.07928255200386047	0.2964218	Yes	
row_17	SDCBP	SDCBP	812	0.0787930116057396	0.30606234	Yes	
row_18	TAGAP	TAGAP	840	0.07753387838602066	0.3146832	Yes	
row_19	WFIKKN2	WFIKKN2	859	0.0764324739575386	0.32361624	Yes	
row_20	SH3RF1	SH3RF1	874	0.07556471228599548	0.33263937	Yes	
row_21	UBE2Z	UBE2Z	893	0.07474015653133392	0.34135452	Yes	
row_22	CTSK	CTSK	894	0.074739970266819	0.3509777	Yes	
row_23	PPM1K	PPM1K	901	0.07424639910459518	0.36023462	Yes	
row_24	FLI1	FLI1	907	0.0740436241030693	0.3695159	Yes	
row_25	ICAM1	ICAM1	1078	0.06757084280252457	0.3696401	Yes	
