NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGK1	SGK1	16	0.32583528757095337	0.024625974	Yes	
row_1	SLC2A3	SLC2A3	43	0.24007225036621094	0.042052586	Yes	
row_2	PABPC1	PABPC1	48	0.2258893996477127	0.059482954	Yes	
row_3	ACTG1	ACTG1	52	0.220248281955719	0.07652348	Yes	
row_4	RPS26	RPS26	61	0.21281926333904266	0.092731655	Yes	
row_5	ACTB	ACTB	69	0.20709221065044403	0.108543284	Yes	
row_6	PRDX1	PRDX1	71	0.20691238343715668	0.12464383	Yes	
row_7	TOB1	TOB1	113	0.17564712464809418	0.1362842	Yes	
row_8	EIF1	EIF1	134	0.16562707722187042	0.14820278	Yes	
row_9	PTMA	PTMA	147	0.1591356098651886	0.16001858	Yes	
row_10	IER5L	IER5L	156	0.15552356839179993	0.1717544	Yes	
row_11	GADD45A	GADD45A	168	0.150201216340065	0.1829233	Yes	
row_12	RPS28	RPS28	174	0.14809729158878326	0.19423093	Yes	
row_13	ARL6IP1	ARL6IP1	179	0.1466151624917984	0.20547335	Yes	
row_14	TPI1	TPI1	183	0.14541293680667877	0.21667244	Yes	
row_15	CALR	CALR	198	0.14295247197151184	0.22712404	Yes	
row_16	CALM2	CALM2	201	0.14244018495082855	0.23814155	Yes	
row_17	C6orf62	C6orf62	221	0.13737912476062775	0.24790566	Yes	
row_18	NORAD	NORAD	234	0.13450999557971954	0.25779924	Yes	
row_19	SLC20A1	SLC20A1	257	0.13051269948482513	0.2668759	Yes	
row_20	SLC1A5	SLC1A5	260	0.12954246997833252	0.27688667	Yes	
row_21	NPM1	NPM1	267	0.12804928421974182	0.2865789	Yes	
row_22	EEF2	EEF2	288	0.12483912706375122	0.29531366	Yes	
row_23	CD44	CD44	307	0.12207717448472977	0.30393383	Yes	
row_24	RPL12	RPL12	363	0.1153448224067688	0.31016028	Yes	
row_25	MIR222HG	MIR222HG	422	0.10740844160318375	0.31561574	Yes	
row_26	ATF3	ATF3	424	0.1071043387055397	0.32392552	Yes	
row_27	EMP1	EMP1	447	0.10430599004030228	0.33095655	Yes	
row_28	HNRNPH1	HNRNPH1	498	0.0992773249745369	0.33618125	Yes	
row_29	ID2	ID2	539	0.09624046832323074	0.34167385	Yes	
row_30	WDR1	WDR1	543	0.09578238427639008	0.3489989	Yes	
row_31	SDC4	SDC4	544	0.09575626254081726	0.3564734	Yes	
row_32	SLC25A3	SLC25A3	567	0.09426535665988922	0.36272067	Yes	
row_33	CITED2	CITED2	629	0.08917524665594101	0.3666014	Yes	
row_34	RPS9	RPS9	634	0.08861605077981949	0.3733166	Yes	
row_35	HSPA8	HSPA8	661	0.08668504655361176	0.3787702	Yes	
row_36	NABP1	NABP1	679	0.08593150973320007	0.3846194	Yes	
row_37	ATF4	ATF4	698	0.0851021483540535	0.3903534	Yes	
row_38	THUMPD3-AS1	THUMPD3-AS1	710	0.08447302877902985	0.39639172	Yes	
row_39	MAT2A	MAT2A	718	0.0837862566113472	0.4025784	Yes	
row_40	RABGGTB	RABGGTB	756	0.08184715360403061	0.40709898	Yes	
row_41	PKM	PKM	761	0.08147107064723969	0.41325644	Yes	
row_42	RPS27	RPS27	784	0.079885333776474	0.41838124	Yes	
row_43	PA2G4	PA2G4	797	0.07946798950433731	0.4239784	Yes	
row_44	CCNL1	CCNL1	834	0.07786454260349274	0.42823857	Yes	
row_45	PHLDA2	PHLDA2	924	0.07345805317163467	0.4294787	Yes	
row_46	NFKBIZ	NFKBIZ	935	0.07316263765096664	0.43468466	Yes	
row_47	GAPDH	GAPDH	988	0.07071717083454132	0.43757907	Yes	
row_48	EEF1A1	EEF1A1	1021	0.06978526711463928	0.44141057	Yes	
row_49	CDC25B	CDC25B	1085	0.06741723418235779	0.44349197	Yes	
row_50	RBMX	RBMX	1242	0.06244637072086334	0.44048956	Yes	
row_51	UBC	UBC	1256	0.06198698282241821	0.44467172	Yes	
row_52	RPSA	RPSA	1261	0.06181573122739792	0.44929492	Yes	
row_53	HSP90AA1	HSP90AA1	1270	0.061538275331258774	0.4536945	Yes	
row_54	MCL1	MCL1	1272	0.06150023266673088	0.45844454	Yes	
row_55	SLC38A2	SLC38A2	1331	0.05972698703408241	0.46017814	Yes	
row_56	RPL28	RPL28	1352	0.05909810587763786	0.46378133	Yes	
row_57	RPL10	RPL10	1415	0.05766754969954491	0.46515217	Yes	
row_58	BRD2	BRD2	1453	0.05684825778007507	0.4677214	Yes	
row_59	TMSB10	TMSB10	1517	0.055160339921712875	0.46884605	Yes	
row_60	SRSF3	SRSF3	1611	0.052912332117557526	0.46828046	Yes	
row_61	MALAT1	MALAT1	1640	0.052156295627355576	0.47093785	Yes	
row_62	RPL3	RPL3	1690	0.05131318047642708	0.47246912	Yes	
row_63	SRSF2	SRSF2	1711	0.050971612334251404	0.47543797	Yes	
row_64	TMEM138	TMEM138	1744	0.050330985337495804	0.47775093	Yes	
row_65	IER5	IER5	1745	0.05031765252351761	0.48167858	Yes	
row_66	ZBTB37	ZBTB37	1827	0.04899041727185249	0.48141277	Yes	
