NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAFF	MAFF	185	0.145217627286911	0.10846071	No	
row_1	CCL2	CCL2	972	0.07150837033987045	0.1271501	No	
row_2	ICAM1	ICAM1	1078	0.06757084280252457	0.17667249	No	
row_3	BTBD1	BTBD1	1860	0.04838211089372635	0.17686708	No	
row_4	CREBRF	CREBRF	2804	0.0354885533452034	0.15851709	No	
row_5	TRAF4	TRAF4	4168	0.023694559931755066	0.10962341	No	
row_6	UBR1	UBR1	6351	0.012682248838245869	0.010884562	No	
row_7	SLC38A5	SLC38A5	8604	0.00585926603525877	-0.09688192	No	
row_8	APBA1	APBA1	8700	0.005565343890339136	-0.09711746	No	
row_9	SDHAF2	SDHAF2	13570	-0.002074139891192317	-0.33870384	No	
row_10	GEN1	GEN1	14964	-0.005879188887774944	-0.40353638	No	
row_11	ZNF112	ZNF112	16229	-0.010922231711447239	-0.45783615	No	
row_12	ASXL1	ASXL1	16890	-0.014496653340756893	-0.4790614	No	
row_13	HNRNPR	HNRNPR	16983	-0.015082097612321377	-0.4714334	No	
row_14	ELMO1	ELMO1	17325	-0.017367955297231674	-0.4743933	No	
row_15	IRF1	IRF1	19171	-0.05402453616261482	-0.5227855	Yes	
row_16	CISH	CISH	19338	-0.06195896863937378	-0.48085943	Yes	
row_17	IFT43	IFT43	19365	-0.06418252736330032	-0.43013635	Yes	
row_18	PROS1	PROS1	19385	-0.06601059436798096	-0.3775818	Yes	
row_19	SERPING1	SERPING1	20031	-0.5057871341705322	1.4987912E-4	Yes	
